active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2013-10-30,20,-7,ATLANTA HAWKS,AWAY,DALLAS MAVERICKS,LOSS,2145,9,15,0,2,2,4,2,3,3,1,1,2,4,14.8
True,2013-11-01,15,-3,ATLANTA HAWKS,HOME,TORONTO RAPTORS,WIN,1865,7,12,0,0,1,5,1,4,2,0,0,2,2,8.3
True,2013-11-03,14,3,ATLANTA HAWKS,AWAY,LOS ANGELES LAKERS,LOSS,1733,4,9,0,0,6,10,3,4,4,1,1,1,4,12.9
True,2013-11-05,25,5,ATLANTA HAWKS,AWAY,SACRAMENTO KINGS,WIN,2020,9,15,2,3,5,6,3,8,4,4,1,2,0,27.7
True,2013-11-07,29,13,ATLANTA HAWKS,AWAY,DENVER NUGGETS,LOSS,2068,10,15,2,3,7,11,2,8,5,2,1,0,4,29.3
True,2013-11-09,18,23,ATLANTA HAWKS,HOME,ORLANDO MAGIC,WIN,2044,8,16,0,1,2,4,2,9,4,4,2,0,2,20.7
True,2013-11-11,9,1,ATLANTA HAWKS,AWAY,CHARLOTTE BOBCATS,WIN,1577,2,7,1,2,4,4,1,4,0,0,1,1,2,5.7
True,2013-11-13,6,-3,ATLANTA HAWKS,HOME,NEW YORK KNICKS,LOSS,1887,3,9,0,2,0,0,1,5,4,1,3,2,3,5.8
True,2013-11-15,8,-3,ATLANTA HAWKS,HOME,PHILADELPHIA 76ERS,WIN,1740,3,8,0,1,2,6,0,4,3,2,0,3,4,2.7
True,2013-11-16,14,9,ATLANTA HAWKS,AWAY,NEW YORK KNICKS,WIN,1792,6,9,0,0,2,2,1,12,1,2,1,1,3,15.6
True,2013-11-20,19,4,ATLANTA HAWKS,HOME,DETROIT PISTONS,WIN,1697,8,14,0,2,3,4,1,1,0,1,0,4,1,9.6
True,2013-11-22,14,5,ATLANTA HAWKS,AWAY,DETROIT PISTONS,WIN,2064,6,14,0,1,2,3,2,5,1,2,0,0,3,10.6
True,2013-11-23,12,-18,ATLANTA HAWKS,HOME,BOSTON CELTICS,LOSS,1899,6,12,0,0,0,0,0,5,2,2,2,3,4,7.7
True,2013-11-26,10,-15,ATLANTA HAWKS,HOME,ORLANDO MAGIC,LOSS,1608,4,7,0,0,2,3,1,4,0,0,1,4,2,4.1
True,2013-11-27,16,-18,ATLANTA HAWKS,AWAY,HOUSTON ROCKETS,LOSS,1543,6,10,1,1,3,5,0,5,2,2,1,3,4,11.6
True,2013-11-29,15,7,ATLANTA HAWKS,HOME,DALLAS MAVERICKS,WIN,2314,6,14,1,2,2,2,1,5,4,3,0,2,3,12.4
True,2013-11-30,23,-3,ATLANTA HAWKS,AWAY,WASHINGTON WIZARDS,LOSS,2079,9,14,4,5,1,2,1,9,2,1,2,4,4,18.0
True,2013-12-02,15,8,ATLANTA HAWKS,AWAY,SAN ANTONIO SPURS,LOSS,2299,6,20,2,6,1,1,4,10,3,2,1,2,2,11.2
True,2013-12-04,25,20,ATLANTA HAWKS,HOME,LOS ANGELES CLIPPERS,WIN,2238,12,20,1,3,0,2,1,8,6,1,3,1,3,23.2
True,2013-12-06,16,15,ATLANTA HAWKS,HOME,CLEVELAND CAVALIERS,WIN,1638,7,14,1,3,1,3,7,7,5,1,0,0,0,19.7
True,2013-12-10,23,5,ATLANTA HAWKS,HOME,OKLAHOMA CITY THUNDER,LOSS,2235,5,18,2,4,11,12,2,10,3,0,1,1,3,17.0
True,2013-12-13,16,6,ATLANTA HAWKS,HOME,WASHINGTON WIZARDS,WIN,2414,6,17,0,2,4,7,4,7,4,1,1,1,5,11.7
True,2013-12-14,18,-20,ATLANTA HAWKS,AWAY,NEW YORK KNICKS,LOSS,2046,7,9,1,2,3,3,1,7,1,4,0,9,6,10.6
