active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2013-11-01,1,-9,HOUSTON ROCKETS,HOME,DALLAS MAVERICKS,WIN,238,0,1,0,0,1,2,0,0,0,0,0,0,0,-0.1
True,2013-11-04,0,0,HOUSTON ROCKETS,AWAY,LOS ANGELES CLIPPERS,LOSS,278,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2013-11-16,12,-6,HOUSTON ROCKETS,HOME,DENVER NUGGETS,WIN,972,5,6,1,1,1,2,2,1,1,1,1,0,5,11.5
True,2013-11-19,5,-3,HOUSTON ROCKETS,HOME,BOSTON CELTICS,WIN,1088,2,8,0,4,1,1,0,5,0,0,1,2,1,0.0
True,2013-11-23,0,0,HOUSTON ROCKETS,HOME,MINNESOTA TIMBERWOLVES,WIN,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2013-11-27,3,11,HOUSTON ROCKETS,HOME,ATLANTA HAWKS,WIN,260,1,3,0,0,1,2,0,1,0,0,0,0,0,1.2
True,2013-11-29,5,-7,HOUSTON ROCKETS,HOME,BROOKLYN NETS,WIN,437,2,5,1,2,0,0,0,1,0,0,1,1,1,1.9
True,2013-12-04,0,4,HOUSTON ROCKETS,HOME,PHOENIX SUNS,LOSS,337,0,1,0,0,0,0,1,0,0,0,0,1,0,-1.0
True,2013-12-06,9,0,HOUSTON ROCKETS,HOME,GOLDEN STATE WARRIORS,WIN,766,3,7,0,3,3,4,2,1,0,0,0,0,1,6.2
True,2013-12-08,0,-5,HOUSTON ROCKETS,HOME,ORLANDO MAGIC,WIN,246,0,1,0,1,0,0,0,2,0,0,0,1,2,-1.9
True,2013-12-13,2,-7,HOUSTON ROCKETS,AWAY,GOLDEN STATE WARRIORS,WIN,534,0,3,0,1,2,4,0,1,0,0,0,0,1,-1.0
True,2013-12-15,0,1,HOUSTON ROCKETS,AWAY,SACRAMENTO KINGS,LOSS,316,0,1,0,1,0,2,0,2,0,0,0,0,1,-1.3
True,2013-12-20,3,-3,HOUSTON ROCKETS,AWAY,INDIANA PACERS,LOSS,479,1,3,0,0,1,2,0,1,0,0,0,0,0,1.2
