active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2013-11-08,0,-3,NEW YORK KNICKS,AWAY,CHARLOTTE BOBCATS,WIN,89,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.4
True,2013-11-10,5,1,NEW YORK KNICKS,HOME,SAN ANTONIO SPURS,LOSS,256,2,3,0,0,1,2,1,0,0,0,0,0,0,4.0
True,2013-11-16,0,0,NEW YORK KNICKS,HOME,ATLANTA HAWKS,LOSS,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2013-11-23,0,1,NEW YORK KNICKS,AWAY,WASHINGTON WIZARDS,LOSS,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2013-12-05,3,-3,NEW YORK KNICKS,AWAY,BROOKLYN NETS,WIN,405,1,4,0,0,1,2,0,0,1,2,0,1,1,1.5
True,2013-12-06,6,8,NEW YORK KNICKS,HOME,ORLANDO MAGIC,WIN,393,3,5,0,0,0,0,0,2,0,0,0,2,2,1.5
True,2013-12-08,4,-2,NEW YORK KNICKS,HOME,BOSTON CELTICS,LOSS,358,2,4,0,0,0,0,0,0,0,0,0,0,0,2.0
True,2013-12-10,0,1,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,LOSS,119,0,0,0,0,0,0,0,0,2,0,0,1,0,0.4
True,2013-12-14,0,-10,NEW YORK KNICKS,HOME,ATLANTA HAWKS,WIN,104,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.1
True,2013-12-18,0,4,NEW YORK KNICKS,AWAY,MILWAUKEE BUCKS,WIN,592,0,1,0,0,0,0,0,2,1,1,0,0,3,0.4
True,2013-12-21,2,-1,NEW YORK KNICKS,HOME,MEMPHIS GRIZZLIES,LOSS,557,1,3,0,0,0,0,0,1,1,1,0,0,1,1.9
True,2013-12-25,6,-10,NEW YORK KNICKS,HOME,OKLAHOMA CITY THUNDER,LOSS,896,2,5,0,2,2,2,3,1,3,0,0,2,2,5.0
True,2013-12-27,4,-2,NEW YORK KNICKS,HOME,TORONTO RAPTORS,LOSS,559,1,4,0,1,2,2,1,1,1,1,0,2,2,1.5
True,2013-12-28,11,6,NEW YORK KNICKS,AWAY,TORONTO RAPTORS,LOSS,1642,5,11,0,2,1,2,0,3,6,3,0,2,4,9.4
True,2014-01-02,5,0,NEW YORK KNICKS,AWAY,SAN ANTONIO SPURS,WIN,910,2,3,1,1,0,0,0,2,2,2,0,0,1,7.3
True,2014-01-03,3,-1,NEW YORK KNICKS,AWAY,HOUSTON ROCKETS,LOSS,832,1,4,0,1,1,4,1,0,4,1,0,1,2,2.1
True,2014-01-05,5,0,NEW YORK KNICKS,AWAY,DALLAS MAVERICKS,WIN,882,2,5,0,0,1,2,0,2,2,0,0,0,2,3.1
True,2014-01-07,2,-5,NEW YORK KNICKS,HOME,DETROIT PISTONS,WIN,254,1,1,0,0,0,0,0,0,1,0,0,1,1,1.0
True,2014-01-09,3,5,NEW YORK KNICKS,HOME,MIAMI HEAT,WIN,571,1,1,0,0,1,2,0,0,1,2,0,0,2,4.2
True,2014-01-11,8,6,NEW YORK KNICKS,AWAY,PHILADELPHIA 76ERS,WIN,744,3,6,0,0,2,3,0,0,0,0,0,0,4,3.0
True,2014-01-13,2,-2,NEW YORK KNICKS,HOME,PHOENIX SUNS,WIN,539,1,2,0,0,0,0,1,0,0,0,0,1,0,0.7
True,2014-01-14,0,13,NEW YORK KNICKS,AWAY,CHARLOTTE BOBCATS,LOSS,496,0,3,0,0,0,0,0,1,2,0,0,0,0,-0.4
True,2014-01-16,0,1,NEW YORK KNICKS,AWAY,INDIANA PACERS,LOSS,158,0,2,0,0,0,0,0,0,0,0,0,0,0,-1.4
True,2014-01-17,3,-9,NEW YORK KNICKS,HOME,LOS ANGELES CLIPPERS,LOSS,596,1,3,0,0,1,2,0,1,1,0,0,2,3,-1.3
