active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2013-10-29,2,-4,CHICAGO BULLS,AWAY,MIAMI HEAT,LOSS,1209,1,4,0,0,0,2,2,9,2,2,2,2,2,4.9
True,2013-10-31,6,-5,CHICAGO BULLS,HOME,NEW YORK KNICKS,WIN,2158,2,7,0,0,2,2,4,11,5,1,1,1,4,10.6
True,2013-11-02,10,-11,CHICAGO BULLS,AWAY,PHILADELPHIA 76ERS,LOSS,1933,4,11,0,0,2,2,2,7,3,2,1,1,1,10.8
True,2013-11-06,4,-30,CHICAGO BULLS,AWAY,INDIANA PACERS,LOSS,1645,0,2,0,0,4,4,4,4,4,1,1,2,5,7.1
True,2013-11-08,14,10,CHICAGO BULLS,HOME,UTAH JAZZ,WIN,1497,6,9,0,0,2,4,4,4,1,1,1,3,3,11.5
True,2013-11-11,10,0,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,WIN,1630,4,5,0,0,2,2,1,5,1,3,1,2,5,10.7
True,2013-11-15,18,15,CHICAGO BULLS,AWAY,TORONTO RAPTORS,WIN,1993,7,10,0,0,4,4,3,6,3,1,0,3,2,17.0
True,2013-11-16,4,19,CHICAGO BULLS,HOME,INDIANA PACERS,WIN,1918,1,6,0,0,2,4,1,6,6,2,0,1,6,4.7
True,2013-11-18,11,4,CHICAGO BULLS,HOME,CHARLOTTE BOBCATS,WIN,2111,4,11,0,0,3,4,3,4,3,0,1,2,4,7.0
True,2013-11-21,11,-5,CHICAGO BULLS,AWAY,DENVER NUGGETS,LOSS,1969,4,10,0,0,3,4,7,5,8,0,1,1,3,15.7
True,2013-11-22,7,-19,CHICAGO BULLS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1622,3,6,0,0,1,2,0,2,3,1,1,2,3,4.8
True,2013-11-24,8,-21,CHICAGO BULLS,AWAY,LOS ANGELES CLIPPERS,LOSS,1348,4,6,0,0,0,2,1,3,2,0,0,1,1,6.2
True,2013-11-25,10,4,CHICAGO BULLS,AWAY,UTAH JAZZ,LOSS,1953,4,8,0,0,2,4,6,7,0,0,1,2,6,7.8
True,2013-11-27,13,16,CHICAGO BULLS,AWAY,DETROIT PISTONS,WIN,2010,6,11,0,0,1,3,3,2,3,1,0,1,3,10.5
True,2013-11-30,4,-10,CHICAGO BULLS,AWAY,CLEVELAND CAVALIERS,LOSS,2244,2,10,0,0,0,2,3,5,7,1,1,0,3,6.0
True,2013-12-02,19,-14,CHICAGO BULLS,HOME,NEW ORLEANS PELICANS,LOSS,3021,8,12,0,0,3,5,4,6,4,0,1,3,3,16.9
True,2013-12-05,17,7,CHICAGO BULLS,HOME,MIAMI HEAT,WIN,1982,6,9,0,0,5,6,3,12,3,1,0,0,2,20.7
True,2013-12-07,2,-2,CHICAGO BULLS,HOME,DETROIT PISTONS,LOSS,1718,1,7,0,0,0,0,4,5,2,0,4,2,2,3.2
True,2013-12-11,12,-5,CHICAGO BULLS,AWAY,NEW YORK KNICKS,LOSS,2214,3,5,0,0,6,8,5,6,4,0,3,5,3,12.9
True,2013-12-13,21,2,CHICAGO BULLS,AWAY,MILWAUKEE BUCKS,WIN,2109,10,15,0,0,1,2,9,9,5,3,3,2,5,27.7
True,2013-12-14,10,-12,CHICAGO BULLS,HOME,TORONTO RAPTORS,LOSS,2125,4,10,0,0,2,2,4,8,4,1,2,1,4,12.4
True,2013-12-16,13,-12,CHICAGO BULLS,HOME,ORLANDO MAGIC,LOSS,2008,4,9,0,0,5,6,1,7,4,2,0,0,3,14.3
True,2013-12-18,6,-7,CHICAGO BULLS,AWAY,HOUSTON ROCKETS,LOSS,1908,3,8,0,0,0,2,3,7,3,0,1,2,4,4.2
True,2013-12-19,23,-11,CHICAGO BULLS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1756,8,17,0,0,7,8,4,8,3,2,1,4,1,19.5
True,2013-12-21,11,20,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,WIN,1862,4,11,0,0,3,3,5,13,3,2,0,2,1,14.0
True,2013-12-25,10,11,CHICAGO BULLS,AWAY,BROOKLYN NETS,WIN,2042,3,8,0,0,4,4,2,6,3,2,0,3,4,8.3
True,2013-12-28,20,-4,CHICAGO BULLS,HOME,DALLAS MAVERICKS,LOSS,2192,8,11,0,0,4,5,3,7,3,1,1,2,2,20.3
True,2013-12-30,8,7,CHICAGO BULLS,AWAY,MEMPHIS GRIZZLIES,WIN,1921,2,9,0,0,4,5,3,7,0,3,3,4,4,5.8
True,2013-12-31,7,-9,CHICAGO BULLS,HOME,TORONTO RAPTORS,LOSS,2059,2,10,0,0,3,4,6,10,6,1,1,1,4,10.9
True,2014-01-02,17,19,CHICAGO BULLS,HOME,BOSTON CELTICS,WIN,2039,6,13,0,1,5,6,6,5,9,1,1,2,2,20.8
True,2014-01-04,10,4,CHICAGO BULLS,HOME,ATLANTA HAWKS,WIN,2061,3,7,0,0,4,6,3,9,2,0,5,3,2,11.4
True,2014-01-07,14,1,CHICAGO BULLS,HOME,PHOENIX SUNS,WIN,2156,5,15,0,0,4,6,5,11,6,1,1,3,3,13.2
True,2014-01-10,8,-5,CHICAGO BULLS,AWAY,MILWAUKEE BUCKS,WIN,2101,2,5,0,0,4,6,1,9,7,2,2,3,2,12.4
