active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2013-10-30,11,5,MINNESOTA TIMBERWOLVES,HOME,ORLANDO MAGIC,WIN,1781,5,11,0,0,1,1,1,6,0,0,0,2,3,4.6
True,2013-11-01,15,20,MINNESOTA TIMBERWOLVES,HOME,OKLAHOMA CITY THUNDER,WIN,1661,5,10,0,0,5,6,3,7,1,0,0,4,3,9.3
True,2013-11-03,11,8,MINNESOTA TIMBERWOLVES,AWAY,NEW YORK KNICKS,WIN,2448,4,10,0,0,3,4,4,8,0,0,1,2,1,8.7
True,2013-11-04,8,-12,MINNESOTA TIMBERWOLVES,AWAY,CLEVELAND CAVALIERS,LOSS,2128,3,12,0,0,2,4,5,7,1,2,0,3,2,4.5
True,2013-11-06,10,-9,MINNESOTA TIMBERWOLVES,HOME,GOLDEN STATE WARRIORS,LOSS,2247,4,11,0,0,2,3,2,5,3,0,0,2,3,5.3
True,2013-11-08,15,1,MINNESOTA TIMBERWOLVES,HOME,DALLAS MAVERICKS,WIN,1879,4,9,0,0,7,8,4,2,0,1,3,2,2,13.6
True,2013-11-10,14,16,MINNESOTA TIMBERWOLVES,AWAY,LOS ANGELES LAKERS,WIN,2064,6,14,0,0,2,3,4,6,4,1,1,3,2,11.5
True,2013-11-11,23,7,MINNESOTA TIMBERWOLVES,AWAY,LOS ANGELES CLIPPERS,LOSS,2132,10,14,0,0,3,4,4,6,1,2,0,0,4,22.5
True,2013-11-13,10,13,MINNESOTA TIMBERWOLVES,HOME,CLEVELAND CAVALIERS,WIN,1163,5,7,0,0,0,0,1,6,1,0,0,2,4,6.7
True,2013-11-15,14,-4,MINNESOTA TIMBERWOLVES,AWAY,DENVER NUGGETS,LOSS,2068,7,11,0,0,0,0,2,4,1,1,0,0,3,12.2
True,2013-11-16,20,7,MINNESOTA TIMBERWOLVES,HOME,BOSTON CELTICS,WIN,1830,8,9,0,0,4,5,8,4,0,1,0,0,0,24.3
True,2013-11-19,13,2,MINNESOTA TIMBERWOLVES,AWAY,WASHINGTON WIZARDS,LOSS,2166,5,10,0,0,3,5,2,4,1,1,0,2,2,8.7
True,2013-11-20,20,-2,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES CLIPPERS,LOSS,1918,9,13,0,0,2,2,1,6,0,0,1,1,2,15.9
True,2013-11-22,15,28,MINNESOTA TIMBERWOLVES,HOME,BROOKLYN NETS,WIN,1560,5,12,0,0,5,7,4,3,1,0,1,1,1,11.5
True,2013-11-23,14,-6,MINNESOTA TIMBERWOLVES,AWAY,HOUSTON ROCKETS,LOSS,2133,6,13,0,0,2,4,5,2,1,1,1,1,1,11.6
True,2013-11-25,20,-10,MINNESOTA TIMBERWOLVES,AWAY,INDIANA PACERS,LOSS,2242,8,15,0,0,4,6,5,6,0,0,0,3,3,13.0
True,2013-11-27,21,8,MINNESOTA TIMBERWOLVES,HOME,DENVER NUGGETS,LOSS,2258,8,14,0,0,5,6,4,6,1,0,0,0,3,18.1
True,2013-11-30,21,-4,MINNESOTA TIMBERWOLVES,AWAY,DALLAS MAVERICKS,WIN,1895,10,13,0,0,1,2,5,4,0,0,0,2,2,17.4
True,2013-12-01,22,-5,MINNESOTA TIMBERWOLVES,AWAY,OKLAHOMA CITY THUNDER,LOSS,2258,8,17,0,0,6,9,4,6,3,1,0,0,1,19.4
