active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2013-11-12,0,3,MILWAUKEE BUCKS,AWAY,MIAMI HEAT,LOSS,666,0,0,0,0,0,0,0,1,1,0,0,0,1,0.6
True,2013-11-13,2,-6,MILWAUKEE BUCKS,AWAY,ORLANDO MAGIC,LOSS,374,1,1,0,0,0,0,0,1,0,0,0,1,3,-0.2
True,2013-11-15,4,-18,MILWAUKEE BUCKS,AWAY,INDIANA PACERS,LOSS,1093,0,2,0,0,4,6,2,4,1,0,2,0,3,5.3
True,2013-11-23,2,-1,MILWAUKEE BUCKS,HOME,CHARLOTTE BOBCATS,LOSS,375,1,2,0,0,0,0,0,0,1,0,0,0,1,1.3
True,2013-11-25,2,-1,MILWAUKEE BUCKS,AWAY,DETROIT PISTONS,LOSS,283,1,1,0,0,0,0,1,0,1,0,0,0,0,3.1
True,2013-11-29,0,1,MILWAUKEE BUCKS,AWAY,CHARLOTTE BOBCATS,LOSS,211,0,1,0,0,0,0,0,1,0,0,0,1,1,-1.8
True,2013-12-04,2,-3,MILWAUKEE BUCKS,HOME,DETROIT PISTONS,LOSS,118,1,1,0,0,0,0,0,1,1,0,0,1,2,0.9
True,2013-12-07,8,-1,MILWAUKEE BUCKS,HOME,BROOKLYN NETS,LOSS,569,3,5,0,0,2,2,1,1,1,0,0,1,2,5.6
True,2013-12-10,0,-3,MILWAUKEE BUCKS,AWAY,CHICAGO BULLS,WIN,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2013-12-11,10,1,MILWAUKEE BUCKS,HOME,SAN ANTONIO SPURS,LOSS,1360,4,7,0,0,2,2,6,1,1,0,2,0,1,12.9
True,2013-12-13,0,-1,MILWAUKEE BUCKS,HOME,CHICAGO BULLS,LOSS,174,0,2,0,0,0,0,2,0,0,0,0,0,2,-0.8
True,2013-12-14,12,7,MILWAUKEE BUCKS,AWAY,DALLAS MAVERICKS,LOSS,853,6,8,0,0,0,0,1,1,1,0,0,1,1,9.1
True,2013-12-20,7,-4,MILWAUKEE BUCKS,AWAY,CLEVELAND CAVALIERS,LOSS,1035,2,6,0,0,3,5,3,1,0,0,2,1,4,4.0
True,2013-12-21,14,16,MILWAUKEE BUCKS,HOME,PHILADELPHIA 76ERS,WIN,1300,5,7,0,0,4,4,2,2,1,2,0,4,3,10.6
True,2013-12-23,8,13,MILWAUKEE BUCKS,AWAY,CHARLOTTE BOBCATS,LOSS,1154,3,3,0,0,2,2,0,4,0,0,1,1,3,6.8
True,2013-12-27,2,4,MILWAUKEE BUCKS,AWAY,BROOKLYN NETS,LOSS,361,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7
True,2013-12-28,8,-10,MILWAUKEE BUCKS,HOME,MINNESOTA TIMBERWOLVES,LOSS,812,3,6,0,0,2,2,4,1,1,0,0,1,1,7.4
True,2013-12-31,2,-5,MILWAUKEE BUCKS,AWAY,LOS ANGELES LAKERS,WIN,776,1,3,0,0,0,0,0,2,1,0,0,0,3,0.4
True,2014-01-02,7,-5,MILWAUKEE BUCKS,AWAY,UTAH JAZZ,LOSS,803,3,5,0,0,1,1,1,1,0,0,0,0,4,4.1
True,2014-01-04,0,4,MILWAUKEE BUCKS,AWAY,PHOENIX SUNS,LOSS,191,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2014-01-07,4,-1,MILWAUKEE BUCKS,HOME,GOLDEN STATE WARRIORS,LOSS,138,2,2,0,0,0,0,0,0,0,0,0,0,1,3.0
True,2014-01-10,10,3,MILWAUKEE BUCKS,HOME,CHICAGO BULLS,LOSS,1237,3,4,0,0,4,4,4,1,0,0,1,0,3,11.0
True,2014-01-11,9,-8,MILWAUKEE BUCKS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1003,3,6,0,0,3,3,1,2,0,1,0,0,5,6.3
True,2014-01-13,5,7,MILWAUKEE BUCKS,AWAY,TORONTO RAPTORS,LOSS,254,2,3,0,0,1,2,0,1,0,1,0,0,1,4.2
True,2014-01-15,1,-9,MILWAUKEE BUCKS,HOME,MEMPHIS GRIZZLIES,LOSS,291,0,0,0,0,1,2,0,0,0,0,0,1,1,-0.8
True,2014-01-18,0,-3,MILWAUKEE BUCKS,AWAY,HOUSTON ROCKETS,LOSS,500,0,1,0,0,0,0,1,0,0,0,0,1,1,-1.4
True,2014-01-19,2,-18,MILWAUKEE BUCKS,AWAY,SAN ANTONIO SPURS,LOSS,426,1,3,0,0,0,0,1,2,0,0,0,1,2,-0.2
True,2014-01-22,8,17,MILWAUKEE BUCKS,HOME,DETROIT PISTONS,WIN,1176,4,5,0,0,0,0,3,5,2,2,0,1,3,10.9
True,2014-01-24,4,3,MILWAUKEE BUCKS,AWAY,CLEVELAND CAVALIERS,LOSS,978,1,3,0,0,2,2,1,0,1,0,0,0,3,2.5
True,2014-01-25,0,4,MILWAUKEE BUCKS,HOME,ATLANTA HAWKS,LOSS,657,0,2,0,0,0,0,1,0,1,0,0,0,1,-0.4
True,2014-01-27,11,-5,MILWAUKEE BUCKS,HOME,LOS ANGELES CLIPPERS,LOSS,1387,4,6,0,0,3,4,4,2,1,0,1,0,1,12.4
True,2014-01-31,6,-6,MILWAUKEE BUCKS,AWAY,ORLANDO MAGIC,LOSS,704,3,4,0,0,0,0,2,3,0,0,2,3,4,3.5
True,2014-02-01,2,6,MILWAUKEE BUCKS,AWAY,MEMPHIS GRIZZLIES,LOSS,494,0,1,0,0,2,2,1,1,1,0,0,0,3,1.8
True,2014-02-08,2,-5,MILWAUKEE BUCKS,HOME,HOUSTON ROCKETS,LOSS,1154,1,4,0,0,0,0,2,1,2,1,1,2,3,1.2
True,2014-02-10,4,-8,MILWAUKEE BUCKS,HOME,BOSTON CELTICS,LOSS,431,2,3,0,0,0,0,1,2,0,0,0,0,1,3.6
True,2014-02-12,6,-9,MILWAUKEE BUCKS,HOME,NEW ORLEANS PELICANS,LOSS,613,3,4,0,0,0,0,0,2,0,0,0,0,1,4.6
True,2014-02-20,2,-1,MILWAUKEE BUCKS,HOME,DENVER NUGGETS,LOSS,115,0,0,0,0,2,2,0,1,0,0,0,0,2,1.5
True,2014-02-24,0,-10,MILWAUKEE BUCKS,AWAY,PHILADELPHIA 76ERS,WIN,226,0,1,0,0,0,0,2,0,1,0,0,2,1,-1.0
True,2014-03-03,0,-3,MILWAUKEE BUCKS,HOME,UTAH JAZZ,WIN,254,0,1,0,0,0,0,0,1,0,0,0,2,1,-2.8
True,2014-03-05,0,6,MILWAUKEE BUCKS,HOME,SACRAMENTO KINGS,LOSS,210,0,0,0,0,0,0,0,0,2,0,0,0,0,1.4
True,2014-03-07,0,5,MILWAUKEE BUCKS,AWAY,NEW ORLEANS PELICANS,LOSS,473,0,5,0,0,0,0,3,0,0,0,0,0,0,-1.4
True,2014-03-11,5,4,MILWAUKEE BUCKS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,189,1,2,0,0,3,4,1,0,0,0,0,0,1,3.9
True,2014-03-23,0,-13,MILWAUKEE BUCKS,AWAY,SACRAMENTO KINGS,LOSS,247,0,0,0,0,0,0,0,1,0,0,0,1,3,-1.9
True,2014-03-29,1,0,MILWAUKEE BUCKS,HOME,MIAMI HEAT,LOSS,181,0,0,0,0,1,2,0,0,0,0,0,0,1,0.2
True,2014-04-02,2,8,MILWAUKEE BUCKS,AWAY,MIAMI HEAT,LOSS,331,1,1,0,0,0,0,1,0,0,0,0,1,0,1.4
True,2014-04-11,1,1,MILWAUKEE BUCKS,HOME,CLEVELAND CAVALIERS,WIN,322,0,0,0,0,1,2,0,1,0,0,0,0,2,0.1
True,2014-04-12,6,-10,MILWAUKEE BUCKS,AWAY,WASHINGTON WIZARDS,LOSS,1025,2,4,0,0,2,2,1,5,1,0,1,0,2,6.8
True,2014-04-14,0,3,MILWAUKEE BUCKS,AWAY,TORONTO RAPTORS,LOSS,263,0,0,0,0,0,0,1,0,0,0,0,1,2,-1.1
