active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2013-10-30,0,-3,ATLANTA HAWKS,AWAY,DALLAS MAVERICKS,LOSS,442,0,1,0,0,0,0,0,1,0,0,0,2,4,-4.0
True,2013-11-01,4,-4,ATLANTA HAWKS,HOME,TORONTO RAPTORS,WIN,657,2,4,0,1,0,0,1,1,1,0,0,0,0,3.7
True,2013-11-03,13,-7,ATLANTA HAWKS,AWAY,LOS ANGELES LAKERS,LOSS,1296,5,13,0,1,3,4,1,4,1,1,0,1,1,7.7
True,2013-11-07,2,-8,ATLANTA HAWKS,AWAY,DENVER NUGGETS,LOSS,373,1,2,0,1,0,0,1,3,0,0,0,0,2,1.8
True,2013-11-09,17,-13,ATLANTA HAWKS,HOME,ORLANDO MAGIC,WIN,837,7,11,1,2,2,2,0,2,1,0,0,2,2,10.6
True,2013-11-11,8,5,ATLANTA HAWKS,AWAY,CHARLOTTE BOBCATS,WIN,1168,3,8,0,3,2,2,1,2,2,1,0,0,3,6.1
True,2013-11-13,8,-1,ATLANTA HAWKS,HOME,NEW YORK KNICKS,LOSS,993,3,6,0,1,2,2,3,2,1,0,0,0,2,7.6
True,2013-11-15,2,-5,ATLANTA HAWKS,HOME,PHILADELPHIA 76ERS,WIN,257,1,1,0,0,0,0,1,0,0,0,0,0,0,2.4
True,2013-11-16,11,8,ATLANTA HAWKS,AWAY,NEW YORK KNICKS,WIN,1007,4,10,1,3,2,2,0,1,1,0,0,0,3,5.4
True,2013-11-19,15,-15,ATLANTA HAWKS,AWAY,MIAMI HEAT,LOSS,1674,6,10,1,2,2,2,3,7,1,1,0,2,1,13.9
True,2013-11-20,11,3,ATLANTA HAWKS,HOME,DETROIT PISTONS,WIN,1116,4,9,0,1,3,5,1,3,0,0,0,4,3,1.9
True,2013-11-22,9,2,ATLANTA HAWKS,AWAY,DETROIT PISTONS,WIN,816,3,6,2,3,1,2,0,4,0,0,0,0,0,6.8
True,2013-11-23,10,11,ATLANTA HAWKS,HOME,BOSTON CELTICS,LOSS,926,4,6,2,3,0,0,2,2,0,1,0,1,3,8.2
True,2013-11-26,4,-6,ATLANTA HAWKS,HOME,ORLANDO MAGIC,LOSS,870,1,6,1,2,1,2,0,3,0,0,1,0,1,1.0
True,2013-11-27,9,-11,ATLANTA HAWKS,AWAY,HOUSTON ROCKETS,LOSS,1337,3,8,0,2,3,4,1,3,1,0,0,1,1,5.1
True,2013-11-29,2,-9,ATLANTA HAWKS,HOME,DALLAS MAVERICKS,WIN,328,1,2,0,1,0,2,0,0,0,1,0,0,1,0.8
True,2013-11-30,6,-3,ATLANTA HAWKS,AWAY,WASHINGTON WIZARDS,LOSS,691,2,7,0,2,2,2,0,4,0,0,0,0,1,2.7
True,2013-12-02,0,-13,ATLANTA HAWKS,AWAY,SAN ANTONIO SPURS,LOSS,590,0,1,0,1,0,0,0,2,1,0,0,1,1,-0.8
True,2013-12-04,2,-7,ATLANTA HAWKS,HOME,LOS ANGELES CLIPPERS,WIN,473,1,4,0,0,0,0,0,0,0,0,0,1,2,-2.2
True,2013-12-06,0,0,ATLANTA HAWKS,HOME,CLEVELAND CAVALIERS,WIN,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2013-12-10,4,-16,ATLANTA HAWKS,HOME,OKLAHOMA CITY THUNDER,LOSS,644,2,6,0,2,0,0,1,1,0,1,0,1,0,1.6
True,2013-12-14,4,5,ATLANTA HAWKS,AWAY,NEW YORK KNICKS,LOSS,791,1,1,0,0,2,2,1,3,3,0,0,1,1,6.0
True,2013-12-16,14,3,ATLANTA HAWKS,HOME,LOS ANGELES LAKERS,WIN,772,5,6,1,2,3,3,0,1,1,0,0,2,2,10.0
True,2013-12-18,10,22,ATLANTA HAWKS,HOME,SACRAMENTO KINGS,WIN,1151,4,5,2,2,0,0,1,1,3,0,1,0,1,11.5
True,2013-12-20,11,10,ATLANTA HAWKS,HOME,UTAH JAZZ,WIN,1270,3,5,1,3,4,4,1,5,3,0,0,0,0,13.0
True,2013-12-23,8,1,ATLANTA HAWKS,AWAY,MIAMI HEAT,LOSS,658,3,6,1,4,1,1,0,2,0,0,0,0,0,5.6
True,2013-12-26,0,7,ATLANTA HAWKS,AWAY,CLEVELAND CAVALIERS,WIN,477,0,2,0,2,0,0,1,0,0,1,0,0,2,-0.5
True,2013-12-28,18,-2,ATLANTA HAWKS,HOME,CHARLOTTE BOBCATS,WIN,1272,6,11,3,7,3,4,0,6,0,0,0,0,0,14.1
True,2013-12-29,5,-7,ATLANTA HAWKS,AWAY,ORLANDO MAGIC,LOSS,1049,2,6,1,4,0,2,1,3,0,1,0,1,0,2.4
True,2013-12-31,8,-9,ATLANTA HAWKS,AWAY,BOSTON CELTICS,WIN,1678,4,12,0,3,0,0,0,7,1,0,1,0,1,4.3
True,2014-01-03,12,-4,ATLANTA HAWKS,HOME,GOLDEN STATE WARRIORS,LOSS,1109,4,7,1,3,3,4,1,2,1,1,0,2,2,8.5
True,2014-01-04,12,-8,ATLANTA HAWKS,AWAY,CHICAGO BULLS,LOSS,1510,4,10,2,4,2,3,4,1,2,1,0,1,3,9.5
True,2014-01-06,9,7,ATLANTA HAWKS,AWAY,BROOKLYN NETS,LOSS,789,4,7,0,1,1,1,1,3,0,0,0,0,2,6.5
True,2014-01-08,15,0,ATLANTA HAWKS,HOME,INDIANA PACERS,WIN,998,5,9,1,2,4,4,1,3,1,0,0,0,0,13.0
True,2014-01-10,14,2,ATLANTA HAWKS,HOME,HOUSTON ROCKETS,WIN,1107,7,10,0,1,0,0,0,2,3,2,0,0,0,14.5
True,2014-01-12,15,11,ATLANTA HAWKS,AWAY,MEMPHIS GRIZZLIES,LOSS,1695,6,13,3,8,0,0,0,4,1,1,0,1,1,9.8
True,2014-01-16,17,-11,ATLANTA HAWKS,HOME,BROOKLYN NETS,LOSS,1692,6,9,1,3,4,4,2,2,4,0,0,0,1,17.5
True,2014-01-20,12,1,ATLANTA HAWKS,HOME,MIAMI HEAT,WIN,1241,4,9,1,3,3,3,1,3,1,2,0,1,2,9.8
True,2014-01-22,10,-7,ATLANTA HAWKS,AWAY,ORLANDO MAGIC,WIN,1086,5,9,0,1,0,0,1,3,0,0,1,1,0,7.0
True,2014-01-24,10,-10,ATLANTA HAWKS,HOME,SAN ANTONIO SPURS,LOSS,1330,2,7,0,2,6,9,1,1,0,0,0,2,1,3.3
True,2014-01-25,14,6,ATLANTA HAWKS,AWAY,MILWAUKEE BUCKS,WIN,1603,4,10,2,5,4,4,0,4,0,0,0,2,1,7.4
True,2014-01-27,16,-4,ATLANTA HAWKS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1222,6,9,2,3,2,2,3,3,1,0,0,1,1,14.4
True,2014-01-31,18,0,ATLANTA HAWKS,AWAY,PHILADELPHIA 76ERS,WIN,1419,8,14,0,0,2,2,3,6,4,0,0,1,2,16.3
True,2014-02-01,14,-11,ATLANTA HAWKS,HOME,MINNESOTA TIMBERWOLVES,WIN,1273,5,9,1,2,3,4,3,3,3,0,0,1,2,12.6
True,2014-02-04,15,5,ATLANTA HAWKS,HOME,INDIANA PACERS,LOSS,1466,4,8,2,5,5,5,0,5,2,0,0,2,1,11.5
True,2014-02-05,16,0,ATLANTA HAWKS,AWAY,NEW ORLEANS PELICANS,LOSS,1484,5,12,4,7,2,2,0,5,1,0,0,1,0,10.8
True,2014-02-08,0,-12,ATLANTA HAWKS,HOME,MEMPHIS GRIZZLIES,LOSS,947,0,5,0,2,0,0,0,1,1,0,0,1,3,-4.7
True,2014-02-11,8,-7,ATLANTA HAWKS,AWAY,CHICAGO BULLS,LOSS,1052,3,7,2,4,0,0,0,0,2,1,0,0,1,6.3
True,2014-02-12,6,-15,ATLANTA HAWKS,AWAY,TORONTO RAPTORS,LOSS,1177,3,9,0,1,0,0,2,3,2,0,0,2,2,1.8
True,2014-02-18,13,10,ATLANTA HAWKS,AWAY,INDIANA PACERS,LOSS,1498,5,9,1,3,2,2,1,6,1,0,0,0,1,11.5
True,2014-02-19,4,-8,ATLANTA HAWKS,HOME,WASHINGTON WIZARDS,LOSS,1178,2,5,0,0,0,0,0,5,0,0,0,1,0,1.8
True,2014-02-21,20,2,ATLANTA HAWKS,AWAY,DETROIT PISTONS,LOSS,1826,9,16,2,4,0,0,0,5,0,0,1,1,5,11.6
True,2014-02-22,30,4,ATLANTA HAWKS,HOME,NEW YORK KNICKS,WIN,1781,11,14,6,7,2,2,1,7,0,0,0,2,2,24.6
True,2014-02-25,12,-9,ATLANTA HAWKS,HOME,CHICAGO BULLS,LOSS,1954,5,12,2,5,0,0,2,5,3,1,0,4,3,6.4
True,2014-02-26,0,-10,ATLANTA HAWKS,AWAY,BOSTON CELTICS,LOSS,1031,0,6,0,2,0,0,0,1,1,0,0,1,3,-5.4
True,2014-03-02,20,-10,ATLANTA HAWKS,AWAY,PHOENIX SUNS,LOSS,2379,8,18,3,9,1,3,0,5,2,3,0,0,3,14.5
True,2014-03-05,4,0,ATLANTA HAWKS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1759,2,6,0,1,0,0,1,2,2,0,0,3,3,-0.9
True,2014-03-07,14,0,ATLANTA HAWKS,AWAY,GOLDEN STATE WARRIORS,LOSS,1432,6,14,1,7,1,1,0,3,1,1,0,2,3,6.0
True,2014-03-08,10,-6,ATLANTA HAWKS,AWAY,LOS ANGELES CLIPPERS,LOSS,888,4,6,1,2,1,2,1,0,0,1,0,1,2,6.9
True,2014-03-10,7,-6,ATLANTA HAWKS,AWAY,UTAH JAZZ,WIN,935,3,5,0,2,1,1,0,3,0,0,0,0,2,4.8
True,2014-03-13,2,6,ATLANTA HAWKS,HOME,MILWAUKEE BUCKS,WIN,1060,0,5,0,4,2,2,0,4,1,0,0,2,2,-2.4
True,2014-03-15,2,-19,ATLANTA HAWKS,HOME,DENVER NUGGETS,WIN,662,1,3,0,0,0,2,0,2,1,1,0,0,0,1.8
True,2014-03-17,10,0,ATLANTA HAWKS,AWAY,CHARLOTTE BOBCATS,WIN,827,5,10,0,2,0,1,1,2,1,0,0,2,2,3.8
True,2014-03-18,6,0,ATLANTA HAWKS,HOME,TORONTO RAPTORS,WIN,939,2,6,0,1,2,2,1,3,0,1,0,1,1,3.8
True,2014-03-21,10,3,ATLANTA HAWKS,HOME,NEW ORLEANS PELICANS,LOSS,922,4,8,0,2,2,3,0,1,0,0,0,1,2,4.1
