active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2013-10-30,38,30,GOLDEN STATE WARRIORS,HOME,LOS ANGELES LAKERS,WIN,1864,15,19,5,7,3,4,1,2,1,0,0,1,3,30.1
True,2013-10-31,10,-13,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES CLIPPERS,LOSS,2289,3,7,1,2,3,3,0,1,1,2,0,2,4,5.7
True,2013-11-02,27,19,GOLDEN STATE WARRIORS,HOME,SACRAMENTO KINGS,WIN,2414,10,17,3,8,4,4,1,6,2,1,0,1,3,21.8
True,2013-11-04,15,38,GOLDEN STATE WARRIORS,AWAY,PHILADELPHIA 76ERS,WIN,1778,5,12,4,8,1,2,1,2,2,2,0,1,3,10.7
True,2013-11-06,30,8,GOLDEN STATE WARRIORS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2238,11,21,6,9,2,2,0,2,1,1,2,0,4,21.8
True,2013-11-08,11,-1,GOLDEN STATE WARRIORS,AWAY,SAN ANTONIO SPURS,LOSS,2367,5,16,1,5,0,0,0,1,2,3,1,3,4,2.6
True,2013-11-09,12,-20,GOLDEN STATE WARRIORS,AWAY,MEMPHIS GRIZZLIES,LOSS,1706,5,13,2,8,0,0,0,1,2,0,1,0,3,6.1
True,2013-11-12,14,17,GOLDEN STATE WARRIORS,HOME,DETROIT PISTONS,WIN,1614,6,9,2,4,0,0,0,2,3,0,0,0,2,12.0
True,2013-11-14,27,0,GOLDEN STATE WARRIORS,HOME,OKLAHOMA CITY THUNDER,WIN,2282,10,15,6,9,1,1,2,3,2,0,3,0,3,25.1
True,2013-11-16,25,21,GOLDEN STATE WARRIORS,HOME,UTAH JAZZ,WIN,2393,9,14,5,8,2,2,1,3,2,0,0,2,0,19.8
True,2013-11-18,17,20,GOLDEN STATE WARRIORS,AWAY,UTAH JAZZ,WIN,2480,6,17,3,7,2,4,2,3,0,0,0,1,2,7.2
True,2013-11-20,21,1,GOLDEN STATE WARRIORS,HOME,MEMPHIS GRIZZLIES,LOSS,2884,9,19,2,7,1,2,1,0,0,0,0,3,2,7.8
