active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2013-10-30,18,-3,CLEVELAND CAVALIERS,HOME,BROOKLYN NETS,WIN,2091,8,13,0,0,2,4,3,6,0,0,0,1,2,13.4
True,2013-11-01,21,2,CLEVELAND CAVALIERS,AWAY,CHARLOTTE BOBCATS,LOSS,2080,6,11,0,0,9,10,4,7,0,1,1,4,5,15.9
True,2013-11-02,2,-4,CLEVELAND CAVALIERS,AWAY,INDIANA PACERS,LOSS,2128,1,5,0,0,0,0,1,3,0,0,0,1,1,-0.9
True,2013-11-04,12,3,CLEVELAND CAVALIERS,HOME,MINNESOTA TIMBERWOLVES,WIN,2247,5,13,0,0,2,3,3,8,1,1,0,6,3,3.5
True,2013-11-06,5,8,CLEVELAND CAVALIERS,AWAY,MILWAUKEE BUCKS,LOSS,2098,1,5,0,0,3,4,3,4,0,2,0,2,1,4.4
True,2013-11-08,13,-6,CLEVELAND CAVALIERS,AWAY,PHILADELPHIA 76ERS,LOSS,2120,5,15,0,0,3,4,9,7,0,0,2,2,4,10.3
True,2013-11-09,19,2,CLEVELAND CAVALIERS,HOME,PHILADELPHIA 76ERS,WIN,2909,6,10,0,0,7,8,6,4,0,1,2,0,3,20.6
True,2013-11-11,14,-21,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,LOSS,2310,6,11,0,0,2,4,4,9,0,1,1,1,4,12.5
True,2013-11-13,10,-17,CLEVELAND CAVALIERS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1439,3,7,0,0,4,5,2,4,2,0,0,1,3,7.7
True,2013-11-15,15,1,CLEVELAND CAVALIERS,HOME,CHARLOTTE BOBCATS,LOSS,2413,6,15,0,0,3,6,4,6,1,2,0,1,2,11.2
