active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2014-02-21,0,-5,CHICAGO BULLS,HOME,DENVER NUGGETS,WIN,123,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2014-03-01,0,3,PHILADELPHIA 76ERS,HOME,WASHINGTON WIZARDS,LOSS,175,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2014-03-02,2,-2,PHILADELPHIA 76ERS,AWAY,ORLANDO MAGIC,LOSS,878,0,0,0,0,2,4,0,3,0,0,3,0,3,3.0
True,2014-03-04,6,-8,PHILADELPHIA 76ERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1067,3,7,0,0,0,1,4,2,0,1,0,1,1,4.9
True,2014-03-08,2,0,PHILADELPHIA 76ERS,HOME,UTAH JAZZ,LOSS,854,1,2,0,0,0,0,1,4,1,0,0,0,5,1.6
True,2014-03-10,4,-16,PHILADELPHIA 76ERS,AWAY,NEW YORK KNICKS,LOSS,884,1,2,0,0,2,4,2,0,0,0,0,1,1,2.2
True,2014-03-12,4,-17,PHILADELPHIA 76ERS,HOME,SACRAMENTO KINGS,LOSS,576,1,2,0,0,2,2,1,1,1,1,0,0,5,3.7
True,2014-03-14,1,-5,PHILADELPHIA 76ERS,HOME,INDIANA PACERS,LOSS,360,0,0,0,0,1,2,0,1,0,0,0,0,0,0.9
True,2014-03-15,4,0,PHILADELPHIA 76ERS,HOME,MEMPHIS GRIZZLIES,LOSS,671,1,1,0,0,2,4,1,2,0,0,1,0,3,3.7
True,2014-03-17,2,-9,PHILADELPHIA 76ERS,AWAY,INDIANA PACERS,LOSS,518,1,2,0,0,0,0,0,0,1,0,0,1,2,-0.1
True,2014-03-19,7,5,PHILADELPHIA 76ERS,HOME,CHICAGO BULLS,LOSS,944,3,3,0,0,1,2,1,2,0,0,4,0,2,9.0
True,2014-03-21,3,-12,PHILADELPHIA 76ERS,HOME,NEW YORK KNICKS,LOSS,1008,1,1,0,0,1,2,0,3,0,0,0,0,3,2.0
True,2014-03-22,6,-1,PHILADELPHIA 76ERS,AWAY,CHICAGO BULLS,LOSS,871,3,5,0,0,0,0,3,1,0,0,1,0,4,5.2
True,2014-03-24,0,-18,PHILADELPHIA 76ERS,AWAY,SAN ANTONIO SPURS,LOSS,660,0,0,0,0,0,2,1,0,1,2,1,1,2,1.5
True,2014-03-27,5,-2,PHILADELPHIA 76ERS,AWAY,HOUSTON ROCKETS,LOSS,1319,2,2,0,0,1,2,2,2,2,1,2,2,3,6.6
True,2014-03-29,9,13,PHILADELPHIA 76ERS,HOME,DETROIT PISTONS,WIN,1256,4,8,0,0,1,1,2,1,1,0,6,0,5,9.6
True,2014-03-31,5,-16,PHILADELPHIA 76ERS,AWAY,ATLANTA HAWKS,LOSS,1239,2,3,0,0,1,7,1,8,0,0,3,2,1,4.1
True,2014-04-02,4,-7,PHILADELPHIA 76ERS,HOME,CHARLOTTE BOBCATS,LOSS,948,2,5,0,0,0,0,0,1,4,0,1,1,5,2.1
True,2014-04-04,7,9,PHILADELPHIA 76ERS,AWAY,BOSTON CELTICS,WIN,822,2,2,0,0,3,3,0,3,0,1,2,0,1,9.3
True,2014-04-05,4,-5,PHILADELPHIA 76ERS,HOME,BROOKLYN NETS,LOSS,1186,1,3,0,0,2,2,0,3,0,1,1,0,2,4.1
True,2014-04-09,6,-5,PHILADELPHIA 76ERS,AWAY,TORONTO RAPTORS,LOSS,1037,2,3,0,0,2,4,0,1,0,1,2,0,2,5.8
True,2014-04-11,6,-9,PHILADELPHIA 76ERS,AWAY,MEMPHIS GRIZZLIES,LOSS,1075,2,3,0,0,2,2,0,1,1,0,0,1,5,2.7
True,2014-04-14,4,-1,PHILADELPHIA 76ERS,HOME,BOSTON CELTICS,WIN,952,1,1,0,0,2,6,0,1,1,0,2,0,2,3.7
True,2014-04-16,8,13,PHILADELPHIA 76ERS,AWAY,MIAMI HEAT,WIN,938,3,5,0,0,2,2,0,3,0,2,0,0,4,7.0
