active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2014-12-15,2,1,PHILADELPHIA 76ERS,HOME,BOSTON CELTICS,LOSS,572,1,3,0,0,0,0,2,0,1,0,0,1,2,0.6
True,2014-12-26,0,-1,PHILADELPHIA 76ERS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,278,0,0,0,0,0,0,0,2,0,0,0,0,1,0.2
True,2014-12-27,0,-2,PHILADELPHIA 76ERS,AWAY,UTAH JAZZ,LOSS,363,0,1,0,0,0,0,1,0,0,0,0,0,2,-0.8
True,2014-12-30,4,-23,PHILADELPHIA 76ERS,AWAY,GOLDEN STATE WARRIORS,LOSS,964,2,2,0,0,0,0,3,5,0,2,0,0,3,7.8
True,2015-01-02,0,0,PHILADELPHIA 76ERS,AWAY,PHOENIX SUNS,LOSS,130,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0
True,2015-01-03,3,-15,PHILADELPHIA 76ERS,AWAY,LOS ANGELES CLIPPERS,LOSS,750,1,3,0,0,1,2,4,3,0,0,0,1,1,3.2
True,2015-01-05,0,9,PHILADELPHIA 76ERS,HOME,CLEVELAND CAVALIERS,WIN,1145,0,0,0,0,0,0,2,8,1,0,1,0,3,4.0
True,2015-01-07,4,2,PHILADELPHIA 76ERS,HOME,MILWAUKEE BUCKS,LOSS,1081,2,3,0,0,0,0,2,4,0,0,0,1,3,3.1
True,2015-01-09,0,-3,PHILADELPHIA 76ERS,AWAY,BROOKLYN NETS,WIN,442,0,1,0,0,0,0,1,1,1,1,0,2,5,-2.0
True,2015-01-10,0,2,PHILADELPHIA 76ERS,HOME,INDIANA PACERS,WIN,361,0,1,0,0,0,0,1,2,1,0,1,2,3,-1.2
True,2015-01-13,2,0,PHILADELPHIA 76ERS,HOME,ATLANTA HAWKS,LOSS,524,0,1,0,0,2,2,1,2,0,0,1,0,1,2.9
True,2015-01-14,2,-1,PHILADELPHIA 76ERS,AWAY,TORONTO RAPTORS,LOSS,890,1,1,0,0,0,0,1,4,1,0,0,0,2,3.5
True,2015-01-16,0,0,PHILADELPHIA 76ERS,HOME,NEW ORLEANS PELICANS,WIN,120,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2015-01-17,2,1,PHILADELPHIA 76ERS,AWAY,DETROIT PISTONS,LOSS,720,1,2,0,0,0,0,1,4,1,1,0,0,2,3.8
True,2015-01-19,2,-31,PHILADELPHIA 76ERS,AWAY,WASHINGTON WIZARDS,LOSS,1133,1,1,0,0,0,0,2,2,0,1,0,0,2,3.9
True,2015-01-21,0,-8,PHILADELPHIA 76ERS,HOME,NEW YORK KNICKS,LOSS,1142,0,1,0,0,0,0,2,3,0,0,3,0,2,2.9
True,2015-01-24,4,5,PHILADELPHIA 76ERS,AWAY,MEMPHIS GRIZZLIES,LOSS,1182,2,4,0,0,0,0,5,6,3,3,0,1,2,10.6
True,2015-01-26,2,-4,PHILADELPHIA 76ERS,AWAY,NEW ORLEANS PELICANS,LOSS,588,1,1,0,0,0,0,3,1,0,1,0,0,3,3.9
True,2015-01-31,0,6,PHILADELPHIA 76ERS,AWAY,ATLANTA HAWKS,LOSS,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2015-02-20,2,5,PHILADELPHIA 76ERS,HOME,INDIANA PACERS,LOSS,215,1,1,0,0,0,0,3,1,0,0,0,0,1,3.7
True,2015-02-22,0,-6,PHILADELPHIA 76ERS,AWAY,ORLANDO MAGIC,LOSS,505,0,1,0,0,0,0,3,0,0,1,0,1,1,1.0
True,2015-02-23,4,3,PHILADELPHIA 76ERS,AWAY,MIAMI HEAT,LOSS,114,2,2,0,0,0,0,1,1,0,0,0,0,0,4.4
True,2015-03-02,2,1,PHILADELPHIA 76ERS,HOME,TORONTO RAPTORS,LOSS,843,1,1,0,0,0,0,0,2,3,0,0,0,3,3.2
True,2015-03-06,2,3,PHILADELPHIA 76ERS,HOME,UTAH JAZZ,LOSS,684,0,0,0,0,2,4,1,0,2,0,1,0,2,3.2
True,2015-03-07,0,-8,PHILADELPHIA 76ERS,HOME,ATLANTA HAWKS,WIN,1090,0,2,0,1,0,2,4,4,2,1,2,1,0,4.6
True,2015-03-11,0,5,PHILADELPHIA 76ERS,HOME,CHICAGO BULLS,LOSS,529,0,0,0,0,0,0,1,1,0,0,1,0,1,1.3
True,2015-03-13,0,-9,PHILADELPHIA 76ERS,HOME,SACRAMENTO KINGS,WIN,344,0,0,0,0,0,0,0,0,0,0,1,1,3,-1.5
True,2015-03-18,2,1,PHILADELPHIA 76ERS,HOME,DETROIT PISTONS,WIN,569,1,2,0,0,0,0,2,2,0,0,1,0,2,2.9
True,2015-03-20,4,9,PHILADELPHIA 76ERS,HOME,NEW YORK KNICKS,WIN,957,2,3,0,0,0,0,2,7,0,0,0,1,3,4.0
True,2015-03-22,3,-1,PHILADELPHIA 76ERS,AWAY,LOS ANGELES LAKERS,LOSS,912,1,3,0,0,1,3,3,2,0,0,1,0,2,3.1
True,2015-03-24,2,1,PHILADELPHIA 76ERS,AWAY,SACRAMENTO KINGS,LOSS,621,1,2,0,1,0,0,1,1,1,1,0,0,4,2.1
True,2015-03-25,4,-10,PHILADELPHIA 76ERS,AWAY,DENVER NUGGETS,WIN,825,2,4,0,0,0,0,4,2,1,2,0,0,3,6.9
True,2015-03-27,0,5,PHILADELPHIA 76ERS,HOME,LOS ANGELES CLIPPERS,LOSS,720,0,0,0,0,0,2,0,1,0,1,0,0,1,0.1
True,2015-03-29,11,5,PHILADELPHIA 76ERS,AWAY,CLEVELAND CAVALIERS,LOSS,1593,5,6,0,1,1,2,7,3,0,1,0,0,2,14.4
True,2015-03-30,8,-4,PHILADELPHIA 76ERS,HOME,LOS ANGELES LAKERS,LOSS,1216,3,4,0,0,2,4,1,4,1,0,0,1,6,4.8
True,2015-04-01,4,-9,PHILADELPHIA 76ERS,AWAY,WASHINGTON WIZARDS,LOSS,1020,2,3,0,0,0,0,0,3,1,0,0,0,4,2.7
True,2015-04-04,8,-2,PHILADELPHIA 76ERS,AWAY,CHARLOTTE HORNETS,LOSS,1746,2,4,0,0,4,6,2,4,2,0,2,0,4,9.0
True,2015-04-05,4,6,PHILADELPHIA 76ERS,AWAY,NEW YORK KNICKS,LOSS,1729,2,7,0,2,0,0,5,4,2,0,0,0,4,4.4
True,2015-04-08,2,-17,PHILADELPHIA 76ERS,HOME,WASHINGTON WIZARDS,LOSS,788,1,3,0,0,0,0,1,2,1,0,0,0,3,1.1
True,2015-04-11,2,-13,PHILADELPHIA 76ERS,AWAY,CHICAGO BULLS,LOSS,1515,1,2,0,0,0,0,4,4,0,1,0,3,5,1.0
True,2015-04-13,2,-3,PHILADELPHIA 76ERS,HOME,MILWAUKEE BUCKS,LOSS,1330,1,2,0,0,0,0,2,3,3,0,0,1,4,2.8
