active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2014-10-29,16,7,PORTLAND TRAIL BLAZERS,HOME,OKLAHOMA CITY THUNDER,WIN,2052,5,12,2,5,4,4,0,5,6,1,1,2,2,14.2
True,2014-10-31,7,-16,PORTLAND TRAIL BLAZERS,AWAY,SACRAMENTO KINGS,LOSS,2102,3,10,1,3,0,0,0,5,5,2,0,3,3,4.0
True,2014-11-02,5,-5,PORTLAND TRAIL BLAZERS,HOME,GOLDEN STATE WARRIORS,LOSS,1906,2,7,1,3,0,0,1,8,4,2,0,3,4,4.2
True,2014-11-04,7,14,PORTLAND TRAIL BLAZERS,HOME,CLEVELAND CAVALIERS,WIN,2178,3,6,0,3,1,2,1,8,5,0,1,2,3,7.7
True,2014-11-06,8,13,PORTLAND TRAIL BLAZERS,HOME,DALLAS MAVERICKS,WIN,1731,2,8,2,6,2,2,2,7,9,0,1,2,2,10.9
True,2014-11-08,10,0,PORTLAND TRAIL BLAZERS,AWAY,LOS ANGELES CLIPPERS,LOSS,2045,3,6,2,4,2,2,1,7,8,1,2,1,2,16.0
True,2014-11-09,10,11,PORTLAND TRAIL BLAZERS,HOME,DENVER NUGGETS,WIN,2108,4,11,2,5,0,0,3,6,3,1,1,3,2,7.8
True,2014-11-21,9,13,PORTLAND TRAIL BLAZERS,HOME,CHICAGO BULLS,WIN,1250,4,6,1,2,0,0,0,3,1,1,0,1,1,7.6
True,2014-11-23,12,4,PORTLAND TRAIL BLAZERS,AWAY,BOSTON CELTICS,WIN,1942,5,11,2,6,0,0,1,4,3,1,0,0,2,10.5
True,2014-11-24,6,7,PORTLAND TRAIL BLAZERS,AWAY,PHILADELPHIA 76ERS,WIN,1847,3,8,0,4,0,0,0,6,6,1,0,3,0,5.6
