active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2014-10-29,6,-16,MINNESOTA TIMBERWOLVES,AWAY,MEMPHIS GRIZZLIES,LOSS,1591,2,7,0,2,2,2,2,2,0,1,0,2,3,1.7
True,2014-10-30,8,9,MINNESOTA TIMBERWOLVES,HOME,DETROIT PISTONS,WIN,1757,3,6,1,1,1,2,1,3,1,2,0,1,0,7.9
True,2014-11-01,4,-4,MINNESOTA TIMBERWOLVES,HOME,CHICAGO BULLS,LOSS,1003,2,5,0,0,0,0,0,0,0,1,0,2,1,-0.1
True,2014-11-05,0,-18,MINNESOTA TIMBERWOLVES,AWAY,BROOKLYN NETS,WIN,729,0,3,0,0,0,0,1,0,0,0,0,0,2,-2.2
True,2014-11-07,16,-4,MINNESOTA TIMBERWOLVES,AWAY,ORLANDO MAGIC,LOSS,1660,6,10,0,2,4,6,3,2,1,3,0,1,2,15.2
True,2014-11-08,5,1,MINNESOTA TIMBERWOLVES,AWAY,MIAMI HEAT,LOSS,1286,2,7,0,0,1,2,3,3,1,3,0,2,3,4.0
True,2014-11-12,18,-10,MINNESOTA TIMBERWOLVES,HOME,HOUSTON ROCKETS,LOSS,1452,7,7,1,1,3,5,0,4,2,1,0,1,1,17.3
True,2014-11-14,18,-21,MINNESOTA TIMBERWOLVES,AWAY,NEW ORLEANS PELICANS,LOSS,1138,6,10,0,2,6,9,0,1,2,4,0,1,0,16.9
True,2014-11-15,13,-2,MINNESOTA TIMBERWOLVES,AWAY,DALLAS MAVERICKS,LOSS,1743,5,14,0,2,3,5,2,1,6,0,0,2,2,7.5
True,2014-11-19,14,8,MINNESOTA TIMBERWOLVES,HOME,NEW YORK KNICKS,WIN,1719,5,8,0,0,4,4,1,1,2,6,0,1,4,16.2
True,2014-11-21,8,-22,MINNESOTA TIMBERWOLVES,HOME,SAN ANTONIO SPURS,LOSS,1936,3,10,0,0,2,3,1,2,4,3,0,0,3,7.7
True,2014-11-22,14,-13,MINNESOTA TIMBERWOLVES,HOME,SACRAMENTO KINGS,LOSS,1807,5,11,0,2,4,8,1,1,4,1,0,2,5,7.5
True,2014-11-26,19,-15,MINNESOTA TIMBERWOLVES,HOME,MILWAUKEE BUCKS,LOSS,2213,7,17,0,5,5,9,2,4,3,3,0,7,5,7.0
True,2014-11-28,13,-3,MINNESOTA TIMBERWOLVES,AWAY,LOS ANGELES LAKERS,WIN,1837,6,10,0,2,1,1,2,5,8,1,0,1,4,15.3
True,2014-11-30,8,-9,MINNESOTA TIMBERWOLVES,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1669,4,11,0,1,0,0,4,2,3,3,0,1,3,8.2
True,2014-12-01,9,-16,MINNESOTA TIMBERWOLVES,AWAY,LOS ANGELES CLIPPERS,LOSS,903,3,9,1,4,2,2,0,0,1,0,0,2,2,1.8
True,2014-12-03,7,3,MINNESOTA TIMBERWOLVES,HOME,PHILADELPHIA 76ERS,LOSS,2322,3,11,0,2,1,2,2,2,4,2,0,4,3,1.7
True,2014-12-05,15,2,MINNESOTA TIMBERWOLVES,HOME,HOUSTON ROCKETS,LOSS,2420,5,12,1,1,4,4,2,5,6,2,3,3,3,15.6
True,2014-12-06,7,-18,MINNESOTA TIMBERWOLVES,AWAY,SAN ANTONIO SPURS,LOSS,1425,3,10,1,4,0,0,0,2,3,1,0,1,3,2.7
True,2014-12-08,10,-11,MINNESOTA TIMBERWOLVES,HOME,GOLDEN STATE WARRIORS,LOSS,1991,4,12,0,2,2,4,3,1,4,5,0,2,2,9.8
True,2014-12-10,19,7,MINNESOTA TIMBERWOLVES,HOME,PORTLAND TRAIL BLAZERS,WIN,2255,4,11,1,2,10,10,2,6,5,5,0,4,4,19.0
True,2014-12-12,6,-10,MINNESOTA TIMBERWOLVES,HOME,OKLAHOMA CITY THUNDER,LOSS,2215,3,8,0,2,0,0,0,5,8,4,1,6,2,6.6
True,2014-12-14,10,-3,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES LAKERS,LOSS,1916,4,9,2,3,0,0,0,6,9,2,0,3,4,10.8
True,2014-12-16,4,-11,MINNESOTA TIMBERWOLVES,AWAY,WASHINGTON WIZARDS,LOSS,1825,2,7,0,1,0,0,0,4,1,1,0,1,1,1.4
True,2014-12-22,12,23,HOUSTON ROCKETS,HOME,PORTLAND TRAIL BLAZERS,WIN,1371,5,10,2,4,0,1,0,4,4,5,1,2,2,13.5
True,2014-12-26,13,-4,HOUSTON ROCKETS,AWAY,MEMPHIS GRIZZLIES,WIN,1354,5,10,3,5,0,0,1,1,0,0,1,1,3,7.5
True,2014-12-28,25,-6,HOUSTON ROCKETS,AWAY,SAN ANTONIO SPURS,LOSS,1413,8,11,6,8,3,4,1,1,1,0,0,3,1,18.4
True,2014-12-29,15,21,HOUSTON ROCKETS,HOME,WASHINGTON WIZARDS,LOSS,1687,5,13,2,5,3,4,0,0,3,2,1,1,1,10.9
True,2014-12-31,5,4,HOUSTON ROCKETS,HOME,CHARLOTTE HORNETS,WIN,1325,2,8,1,4,0,0,1,2,2,0,0,1,1,1.5
True,2015-01-02,12,-16,HOUSTON ROCKETS,AWAY,NEW ORLEANS PELICANS,LOSS,1631,4,12,0,5,4,4,0,2,1,0,0,2,2,3.7
True,2015-01-03,11,20,HOUSTON ROCKETS,HOME,MIAMI HEAT,WIN,1500,3,7,3,7,2,2,0,4,3,2,0,0,2,11.8
True,2015-01-05,7,-5,HOUSTON ROCKETS,AWAY,CHICAGO BULLS,LOSS,1122,3,6,1,3,0,0,0,1,1,0,0,1,1,3.6
True,2015-01-07,12,16,HOUSTON ROCKETS,AWAY,CLEVELAND CAVALIERS,WIN,1241,4,8,2,3,2,2,1,0,3,2,0,0,2,12.0
True,2015-01-08,11,-3,HOUSTON ROCKETS,AWAY,NEW YORK KNICKS,WIN,1332,3,10,1,6,4,4,0,2,3,0,1,2,1,6.2
True,2015-01-10,9,6,HOUSTON ROCKETS,HOME,UTAH JAZZ,WIN,1135,3,9,2,6,1,2,0,1,1,2,0,1,2,4.7
True,2015-01-12,7,4,HOUSTON ROCKETS,AWAY,BROOKLYN NETS,WIN,1599,3,9,0,5,1,2,1,1,4,3,0,1,2,6.5
True,2015-01-14,9,10,HOUSTON ROCKETS,AWAY,ORLANDO MAGIC,LOSS,1474,3,9,1,5,2,2,1,2,2,3,0,0,3,8.4
True,2015-01-15,5,-9,HOUSTON ROCKETS,HOME,OKLAHOMA CITY THUNDER,WIN,1612,2,7,1,4,0,0,1,1,2,0,1,1,2,2.2
True,2015-01-17,9,-20,HOUSTON ROCKETS,HOME,GOLDEN STATE WARRIORS,LOSS,1970,3,9,1,3,2,2,1,3,2,3,1,2,2,7.8
True,2015-01-19,13,3,HOUSTON ROCKETS,HOME,INDIANA PACERS,WIN,1029,6,10,1,4,0,0,0,1,0,0,0,1,1,7.3
True,2015-01-21,20,13,HOUSTON ROCKETS,AWAY,GOLDEN STATE WARRIORS,LOSS,1639,6,13,2,5,6,7,1,5,3,1,0,1,0,17.2
True,2015-01-23,14,2,HOUSTON ROCKETS,AWAY,PHOENIX SUNS,WIN,1270,7,12,0,2,0,0,1,2,0,1,0,0,2,9.9
True,2015-01-25,10,-4,HOUSTON ROCKETS,AWAY,LOS ANGELES LAKERS,WIN,1634,4,9,2,5,0,1,0,1,3,1,0,1,4,5.7
True,2015-01-28,14,9,HOUSTON ROCKETS,HOME,DALLAS MAVERICKS,WIN,1427,4,13,2,8,4,4,1,3,0,4,0,2,1,9.7
True,2015-01-30,10,5,HOUSTON ROCKETS,AWAY,BOSTON CELTICS,WIN,1384,4,7,0,1,2,2,1,3,1,0,0,2,2,6.2
