active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2014-11-22,3,7,NEW YORK KNICKS,HOME,PHILADELPHIA 76ERS,WIN,1263,1,6,1,3,0,0,0,3,3,2,0,1,1,2.8
True,2014-11-24,9,-3,NEW YORK KNICKS,AWAY,HOUSTON ROCKETS,LOSS,1536,3,7,1,3,2,2,0,1,5,0,0,0,0,9.1
True,2014-11-26,21,-9,NEW YORK KNICKS,AWAY,DALLAS MAVERICKS,LOSS,2308,7,13,7,9,0,0,3,7,4,0,0,2,3,18.5
True,2014-11-28,3,-27,NEW YORK KNICKS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1373,1,5,0,3,1,1,0,1,1,0,0,2,0,-1.1
True,2014-11-30,9,-2,NEW YORK KNICKS,HOME,MIAMI HEAT,LOSS,2049,4,9,1,5,0,0,3,7,6,0,0,5,2,6.9
True,2014-12-02,19,-8,NEW YORK KNICKS,HOME,BROOKLYN NETS,LOSS,1930,7,9,5,6,0,0,1,1,7,2,0,1,1,22.0
True,2014-12-04,3,-9,NEW YORK KNICKS,HOME,CLEVELAND CAVALIERS,LOSS,1707,1,5,1,4,0,0,0,1,3,1,0,2,3,0.1
True,2014-12-05,9,-14,NEW YORK KNICKS,AWAY,CHARLOTTE HORNETS,LOSS,1450,4,6,1,3,0,0,0,0,2,0,0,1,0,6.8
True,2014-12-07,4,-14,NEW YORK KNICKS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1427,2,7,0,2,0,0,0,1,3,1,0,1,2,1.5
True,2014-12-09,8,-7,NEW YORK KNICKS,AWAY,NEW ORLEANS PELICANS,LOSS,2173,3,5,2,2,0,0,1,0,6,3,0,1,2,11.8
True,2014-12-10,2,-13,NEW YORK KNICKS,AWAY,SAN ANTONIO SPURS,LOSS,1477,1,4,0,0,0,0,0,4,3,0,0,0,2,2.1
True,2014-12-12,9,11,NEW YORK KNICKS,AWAY,BOSTON CELTICS,WIN,2002,4,10,1,2,0,0,1,2,7,3,0,1,2,11.0
True,2014-12-14,13,-5,NEW YORK KNICKS,HOME,TORONTO RAPTORS,LOSS,2372,6,13,1,5,0,0,2,3,5,0,0,2,2,9.3
True,2014-12-16,3,-25,NEW YORK KNICKS,HOME,DALLAS MAVERICKS,LOSS,1904,1,6,1,5,0,0,0,4,2,0,0,1,1,0.4
