active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2014-12-04,2,-12,NEW ORLEANS PELICANS,AWAY,GOLDEN STATE WARRIORS,LOSS,709,1,6,0,0,0,0,1,2,0,1,0,1,2,-1.3
True,2014-12-06,2,7,NEW ORLEANS PELICANS,AWAY,LOS ANGELES CLIPPERS,LOSS,1245,1,3,0,0,0,0,0,2,1,0,1,0,1,1.9
True,2014-12-07,7,8,NEW ORLEANS PELICANS,AWAY,LOS ANGELES LAKERS,WIN,1488,3,6,0,0,1,2,2,4,0,0,0,1,3,4.0
True,2014-12-09,7,7,NEW ORLEANS PELICANS,HOME,NEW YORK KNICKS,WIN,1859,2,4,0,0,3,4,1,4,1,0,0,2,2,4.4
True,2014-12-10,4,-9,NEW ORLEANS PELICANS,AWAY,DALLAS MAVERICKS,LOSS,1631,2,3,0,0,0,0,2,3,0,0,0,0,0,5.0
True,2014-12-12,2,-1,NEW ORLEANS PELICANS,HOME,CLEVELAND CAVALIERS,WIN,668,1,1,0,0,0,0,1,1,1,0,1,0,4,2.5
True,2014-12-14,13,1,NEW ORLEANS PELICANS,HOME,GOLDEN STATE WARRIORS,LOSS,1776,6,7,0,0,1,2,0,5,0,2,1,2,3,11.1
True,2014-12-16,6,0,NEW ORLEANS PELICANS,HOME,UTAH JAZZ,WIN,1784,3,6,0,0,0,0,1,2,0,2,0,2,1,3.9
True,2014-12-18,15,1,NEW ORLEANS PELICANS,AWAY,HOUSTON ROCKETS,WIN,2025,6,10,1,1,2,2,2,3,0,0,1,0,1,13.0
True,2014-12-20,4,-6,NEW ORLEANS PELICANS,HOME,PORTLAND TRAIL BLAZERS,LOSS,925,2,3,0,0,0,0,0,0,0,1,0,0,1,3.3
True,2014-12-21,6,6,NEW ORLEANS PELICANS,AWAY,OKLAHOMA CITY THUNDER,WIN,1790,3,5,0,1,0,0,2,2,2,0,0,0,1,6.7
True,2014-12-23,4,-12,NEW ORLEANS PELICANS,AWAY,INDIANA PACERS,LOSS,1394,2,5,0,0,0,0,1,2,0,0,0,0,0,2.6
True,2014-12-26,2,6,NEW ORLEANS PELICANS,HOME,SAN ANTONIO SPURS,WIN,788,1,1,0,0,0,0,0,1,0,0,0,0,0,2.0
True,2014-12-27,0,-3,NEW ORLEANS PELICANS,AWAY,CHICAGO BULLS,LOSS,1092,0,1,0,0,0,0,0,2,0,0,0,1,1,-1.5
True,2014-12-30,4,0,NEW ORLEANS PELICANS,HOME,PHOENIX SUNS,WIN,1422,2,4,0,0,0,1,1,1,0,1,0,1,2,1.8
True,2014-12-31,2,-2,NEW ORLEANS PELICANS,AWAY,SAN ANTONIO SPURS,LOSS,1034,1,4,0,0,0,0,0,3,0,0,0,1,1,-0.9
True,2015-01-02,13,16,NEW ORLEANS PELICANS,HOME,HOUSTON ROCKETS,WIN,1700,5,7,0,0,3,3,0,0,0,3,1,0,1,13.4
True,2015-01-05,6,0,NEW ORLEANS PELICANS,HOME,WASHINGTON WIZARDS,LOSS,1556,3,6,0,0,0,0,2,2,0,2,0,0,2,6.2
True,2015-01-07,2,-6,NEW ORLEANS PELICANS,AWAY,CHARLOTTE HORNETS,LOSS,1282,1,3,0,0,0,0,0,3,0,0,0,0,2,0.4
True,2015-01-09,0,7,NEW ORLEANS PELICANS,HOME,MEMPHIS GRIZZLIES,WIN,1922,0,5,0,0,0,0,4,3,1,0,3,1,0,2.0
True,2015-01-12,4,-12,NEW ORLEANS PELICANS,AWAY,BOSTON CELTICS,LOSS,2186,2,3,0,0,0,0,2,3,1,0,0,0,2,4.9
True,2015-01-14,6,10,NEW ORLEANS PELICANS,AWAY,DETROIT PISTONS,WIN,1204,3,5,0,0,0,0,0,2,1,1,0,1,1,4.6
True,2015-01-16,6,-17,NEW ORLEANS PELICANS,AWAY,PHILADELPHIA 76ERS,LOSS,1698,3,7,0,0,0,0,1,3,1,1,1,1,3,4.1
True,2015-01-18,2,0,NEW ORLEANS PELICANS,AWAY,TORONTO RAPTORS,WIN,1694,1,5,0,0,0,2,1,3,1,3,0,0,1,3.0
True,2015-01-19,2,-5,NEW ORLEANS PELICANS,AWAY,NEW YORK KNICKS,LOSS,1393,1,3,0,0,0,0,1,3,2,0,0,0,4,1.7
True,2015-01-21,1,8,NEW ORLEANS PELICANS,HOME,LOS ANGELES LAKERS,WIN,1455,0,3,0,0,1,2,1,3,0,0,0,1,1,-1.3
True,2015-01-23,14,-3,NEW ORLEANS PELICANS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2079,7,12,0,0,0,0,3,2,1,2,1,1,0,13.5
True,2015-01-25,2,2,NEW ORLEANS PELICANS,HOME,DALLAS MAVERICKS,WIN,1284,1,3,0,0,0,0,0,0,2,2,0,0,4,2.1
