active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2015-02-06,5,-9,PHILADELPHIA 76ERS,AWAY,BOSTON CELTICS,LOSS,2078,2,9,0,1,1,5,1,4,11,2,0,2,4,5.9
True,2015-02-07,0,15,PHILADELPHIA 76ERS,HOME,CHARLOTTE HORNETS,WIN,2200,0,7,0,2,0,0,0,3,8,1,0,4,2,-2.2
True,2015-02-09,10,-2,PHILADELPHIA 76ERS,HOME,GOLDEN STATE WARRIORS,LOSS,2155,4,11,1,2,1,2,3,3,7,0,0,7,3,3.2
True,2015-02-20,13,7,PHILADELPHIA 76ERS,HOME,INDIANA PACERS,LOSS,1956,5,9,2,3,1,3,0,3,7,1,0,4,4,9.1
True,2015-02-22,6,-4,PHILADELPHIA 76ERS,AWAY,ORLANDO MAGIC,LOSS,1184,2,6,0,2,2,3,0,2,6,1,0,1,3,5.8
True,2015-02-23,0,-1,PHILADELPHIA 76ERS,AWAY,MIAMI HEAT,LOSS,715,0,1,0,1,0,2,0,0,4,1,0,0,0,2.3
True,2015-04-03,2,1,PORTLAND TRAIL BLAZERS,AWAY,LOS ANGELES LAKERS,WIN,291,1,1,0,0,0,0,1,0,0,2,0,1,1,3.0
True,2015-04-06,2,2,PORTLAND TRAIL BLAZERS,AWAY,BROOKLYN NETS,LOSS,39,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7
True,2015-04-08,3,0,PORTLAND TRAIL BLAZERS,HOME,MINNESOTA TIMBERWOLVES,WIN,322,1,2,0,1,1,2,0,0,0,0,0,0,1,1.2
True,2015-04-13,3,-8,PORTLAND TRAIL BLAZERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1619,1,8,1,3,0,0,0,4,7,0,0,1,5,0.9
True,2015-04-15,13,-7,PORTLAND TRAIL BLAZERS,AWAY,DALLAS MAVERICKS,LOSS,1811,4,6,1,2,4,4,1,3,10,0,0,5,3,12.8
