active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2014-10-30,0,-3,MINNESOTA TIMBERWOLVES,HOME,DETROIT PISTONS,WIN,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2014-11-07,4,-5,MINNESOTA TIMBERWOLVES,AWAY,ORLANDO MAGIC,LOSS,502,1,2,0,0,2,2,0,0,2,1,1,0,2,5.3
True,2014-11-08,5,-10,MINNESOTA TIMBERWOLVES,AWAY,MIAMI HEAT,LOSS,1545,2,5,1,2,0,0,0,6,4,1,0,2,1,5.5
True,2014-11-12,8,-5,MINNESOTA TIMBERWOLVES,HOME,HOUSTON ROCKETS,LOSS,2066,2,9,0,2,4,4,0,3,9,0,0,3,4,5.1
True,2014-11-14,13,-29,MINNESOTA TIMBERWOLVES,AWAY,NEW ORLEANS PELICANS,LOSS,1863,5,12,0,1,3,3,1,3,0,0,0,3,3,4.0
True,2014-11-15,4,-6,MINNESOTA TIMBERWOLVES,AWAY,DALLAS MAVERICKS,LOSS,1116,2,6,0,3,0,1,0,2,1,0,1,5,5,-4.8
True,2014-11-19,2,-13,MINNESOTA TIMBERWOLVES,HOME,NEW YORK KNICKS,WIN,996,1,5,0,2,0,0,0,1,2,0,0,0,1,0.2
True,2014-11-21,7,-16,MINNESOTA TIMBERWOLVES,HOME,SAN ANTONIO SPURS,LOSS,1186,3,8,1,3,0,0,0,2,3,2,0,3,0,4.3
True,2014-11-22,5,-4,MINNESOTA TIMBERWOLVES,HOME,SACRAMENTO KINGS,LOSS,781,1,4,1,1,2,2,0,2,0,1,0,0,3,3.0
True,2014-11-26,12,-14,MINNESOTA TIMBERWOLVES,HOME,MILWAUKEE BUCKS,LOSS,2193,5,12,0,2,2,3,1,2,4,2,0,3,5,6.3
True,2014-11-28,28,14,MINNESOTA TIMBERWOLVES,AWAY,LOS ANGELES LAKERS,WIN,1530,11,14,2,2,4,4,0,1,5,0,0,3,0,23.4
True,2014-11-30,0,-15,MINNESOTA TIMBERWOLVES,AWAY,PORTLAND TRAIL BLAZERS,LOSS,648,0,3,0,0,0,0,0,0,0,1,0,2,2,-3.9
True,2014-12-01,10,-10,MINNESOTA TIMBERWOLVES,AWAY,LOS ANGELES CLIPPERS,LOSS,1441,4,11,0,2,2,2,0,2,1,0,0,1,2,3.4
True,2014-12-03,6,-10,MINNESOTA TIMBERWOLVES,HOME,PHILADELPHIA 76ERS,LOSS,887,3,6,0,2,0,0,0,1,0,0,0,1,3,1.1
