active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2014-10-29,3,25,PHOENIX SUNS,HOME,LOS ANGELES LAKERS,WIN,1122,1,4,0,0,1,1,1,4,0,0,1,1,1,1.8
True,2014-10-31,10,12,PHOENIX SUNS,HOME,SAN ANTONIO SPURS,WIN,1900,4,6,0,0,2,3,4,7,1,0,1,0,2,12.5
True,2014-11-01,4,-7,PHOENIX SUNS,AWAY,UTAH JAZZ,LOSS,1068,2,2,0,0,0,0,1,2,2,0,4,0,5,6.9
True,2014-11-04,2,-1,PHOENIX SUNS,AWAY,LOS ANGELES LAKERS,WIN,1219,0,0,0,0,2,2,2,7,1,0,3,2,3,5.1
True,2014-11-05,2,4,PHOENIX SUNS,HOME,MEMPHIS GRIZZLIES,LOSS,1466,0,3,0,0,2,2,2,2,0,0,0,0,5,-0.1
True,2014-11-07,3,-10,PHOENIX SUNS,HOME,SACRAMENTO KINGS,LOSS,627,1,4,0,0,1,1,0,0,0,0,1,1,5,-1.7
True,2014-11-09,2,-6,PHOENIX SUNS,HOME,GOLDEN STATE WARRIORS,WIN,461,1,2,0,0,0,0,0,0,0,0,0,0,2,0.2
True,2014-11-12,5,-14,PHOENIX SUNS,HOME,BROOKLYN NETS,WIN,712,2,4,0,0,1,2,3,2,0,0,0,1,0,4.3
True,2014-11-14,4,-4,PHOENIX SUNS,HOME,CHARLOTTE HORNETS,LOSS,844,1,1,0,0,2,2,1,2,0,0,0,0,2,4.2
True,2014-11-15,17,-1,PHOENIX SUNS,AWAY,LOS ANGELES CLIPPERS,LOSS,1549,7,11,0,0,3,3,5,6,1,1,1,0,5,17.8
True,2014-11-17,19,6,PHOENIX SUNS,AWAY,BOSTON CELTICS,WIN,1724,8,10,0,0,3,3,3,4,0,1,0,3,3,15.3
True,2014-11-19,6,-7,PHOENIX SUNS,AWAY,DETROIT PISTONS,WIN,983,3,3,0,0,0,0,1,3,1,1,0,2,5,4.4
True,2014-11-21,4,17,PHOENIX SUNS,AWAY,PHILADELPHIA 76ERS,WIN,1140,2,2,0,0,0,0,1,3,1,1,0,0,3,5.5
True,2014-11-22,6,16,PHOENIX SUNS,AWAY,INDIANA PACERS,WIN,1252,3,3,0,0,0,0,3,2,0,4,0,0,5,9.8
True,2014-11-24,2,-16,PHOENIX SUNS,AWAY,TORONTO RAPTORS,LOSS,1226,1,4,0,0,0,0,1,6,0,1,0,0,2,2.3
True,2014-11-26,10,-2,PHOENIX SUNS,HOME,DENVER NUGGETS,WIN,701,4,5,0,0,2,2,1,2,0,0,0,2,2,6.6
True,2014-11-28,0,-5,PHOENIX SUNS,AWAY,DENVER NUGGETS,LOSS,1117,0,2,0,0,0,0,1,7,0,0,0,1,3,-0.8
True,2014-11-30,0,-16,PHOENIX SUNS,HOME,ORLANDO MAGIC,LOSS,951,0,6,0,0,0,0,3,2,1,0,1,0,2,-0.9
True,2014-12-02,0,-4,PHOENIX SUNS,HOME,INDIANA PACERS,WIN,905,0,2,0,0,0,0,0,2,1,1,2,1,3,0.1
True,2014-12-05,6,-1,PHOENIX SUNS,AWAY,DALLAS MAVERICKS,WIN,675,3,4,0,0,0,0,1,4,0,0,0,0,3,5.1
True,2014-12-06,9,-18,PHOENIX SUNS,AWAY,HOUSTON ROCKETS,LOSS,1041,2,4,1,1,4,6,1,0,0,0,2,1,3,6.1
True,2014-12-08,14,-13,PHOENIX SUNS,AWAY,LOS ANGELES CLIPPERS,LOSS,1580,6,11,0,0,2,5,2,5,0,0,0,0,6,8.0
True,2014-12-09,0,15,PHOENIX SUNS,HOME,MIAMI HEAT,LOSS,1238,0,2,0,0,0,0,2,2,0,0,4,0,1,3.0
True,2014-12-12,0,-3,PHOENIX SUNS,HOME,DETROIT PISTONS,LOSS,723,0,1,0,1,0,0,0,0,0,1,1,2,3,-2.2
True,2014-12-14,2,-3,PHOENIX SUNS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1070,1,2,0,0,0,0,2,2,0,1,1,1,2,2.9
True,2014-12-15,6,11,PHOENIX SUNS,HOME,MILWAUKEE BUCKS,LOSS,1148,2,7,0,0,2,3,4,2,0,1,3,1,6,4.6
True,2014-12-17,10,-4,PHOENIX SUNS,AWAY,CHARLOTTE HORNETS,WIN,1127,5,6,0,0,0,0,1,3,1,1,1,0,2,11.0
True,2014-12-20,4,13,PHOENIX SUNS,AWAY,NEW YORK KNICKS,WIN,1249,1,6,0,0,2,2,5,3,0,1,3,0,2,6.9
True,2014-12-21,8,2,PHOENIX SUNS,AWAY,WASHINGTON WIZARDS,WIN,1413,3,3,0,0,2,6,4,4,1,0,4,2,5,9.0
True,2014-12-23,17,7,PHOENIX SUNS,HOME,DALLAS MAVERICKS,WIN,1668,6,9,0,0,5,7,3,4,0,1,1,0,6,14.9
True,2014-12-26,10,4,PHOENIX SUNS,AWAY,SACRAMENTO KINGS,WIN,1407,5,9,0,0,0,0,5,6,0,0,5,1,2,12.7
True,2014-12-28,8,5,PHOENIX SUNS,AWAY,LOS ANGELES LAKERS,WIN,1510,4,6,0,0,0,0,2,6,1,2,2,0,3,11.5
True,2014-12-30,4,3,PHOENIX SUNS,AWAY,NEW ORLEANS PELICANS,LOSS,1201,2,3,0,0,0,0,1,5,1,0,0,1,2,3.8
True,2014-12-31,2,0,PHOENIX SUNS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1289,1,2,0,0,0,0,0,6,0,0,1,2,5,-0.5
True,2015-01-02,0,3,PHOENIX SUNS,HOME,PHILADELPHIA 76ERS,WIN,987,0,1,0,0,0,0,2,3,0,0,6,4,3,0.6
True,2015-01-04,10,5,PHOENIX SUNS,HOME,TORONTO RAPTORS,WIN,912,5,6,0,0,0,0,2,2,0,0,0,1,4,7.2
True,2015-01-06,9,4,PHOENIX SUNS,AWAY,MILWAUKEE BUCKS,WIN,1439,4,7,0,0,1,2,2,6,0,0,5,0,2,11.2
True,2015-01-07,9,5,PHOENIX SUNS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1622,4,6,0,1,1,1,3,5,2,0,5,3,3,10.7
True,2015-01-09,4,3,PHOENIX SUNS,AWAY,SAN ANTONIO SPURS,LOSS,1759,2,5,0,0,0,0,1,11,0,2,2,2,3,5.5
True,2015-01-11,14,-17,PHOENIX SUNS,AWAY,MEMPHIS GRIZZLIES,LOSS,1836,5,9,0,0,4,4,4,9,0,1,2,3,6,12.2
True,2015-01-13,13,19,PHOENIX SUNS,HOME,CLEVELAND CAVALIERS,WIN,2241,5,8,0,0,3,4,3,7,3,1,1,1,4,14.4
True,2015-01-16,6,2,PHOENIX SUNS,HOME,MINNESOTA TIMBERWOLVES,WIN,1309,3,6,0,0,0,0,5,7,0,1,2,1,1,9.6
True,2015-01-19,6,5,PHOENIX SUNS,HOME,LOS ANGELES LAKERS,WIN,1132,1,2,0,0,4,4,1,5,0,1,3,1,1,8.9
True,2015-01-21,6,0,PHOENIX SUNS,HOME,PORTLAND TRAIL BLAZERS,WIN,1163,3,4,0,0,0,0,2,1,1,0,0,0,4,5.2
True,2015-01-23,4,-11,PHOENIX SUNS,HOME,HOUSTON ROCKETS,LOSS,1444,2,3,0,0,0,2,3,8,0,0,2,0,1,7.4
True,2015-01-25,15,-8,PHOENIX SUNS,HOME,LOS ANGELES CLIPPERS,LOSS,1494,6,8,0,0,3,4,1,5,0,0,2,1,3,12.8
True,2015-01-28,8,-13,PHOENIX SUNS,HOME,WASHINGTON WIZARDS,WIN,1500,4,7,0,0,0,0,0,2,0,0,1,1,4,3.4
True,2015-01-30,7,5,PHOENIX SUNS,HOME,CHICAGO BULLS,WIN,1243,3,4,0,0,1,2,1,7,0,0,0,2,5,3.8
True,2015-01-31,0,-3,PHOENIX SUNS,AWAY,GOLDEN STATE WARRIORS,LOSS,1160,0,4,0,0,0,0,1,5,1,0,2,3,1,-1.9
True,2015-02-02,0,1,PHOENIX SUNS,HOME,MEMPHIS GRIZZLIES,LOSS,1328,0,2,0,0,0,2,2,5,0,2,2,2,2,1.3
True,2015-02-05,5,5,PHOENIX SUNS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,563,2,3,0,0,1,1,1,3,1,2,1,2,2,5.9
True,2015-02-20,11,-7,PHOENIX SUNS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2103,4,10,0,0,3,3,5,5,0,0,6,2,2,12.0
True,2015-02-21,8,3,PHOENIX SUNS,AWAY,CHICAGO BULLS,LOSS,2056,4,7,0,0,0,0,2,9,1,0,1,0,3,9.0
True,2015-02-23,10,-3,PHOENIX SUNS,HOME,BOSTON CELTICS,LOSS,1899,5,7,0,0,0,0,1,11,0,0,6,0,2,14.5
True,2015-02-25,6,0,PHOENIX SUNS,AWAY,DENVER NUGGETS,WIN,1245,2,8,0,0,2,4,5,5,0,0,1,1,4,3.5
True,2015-02-26,12,13,PHOENIX SUNS,HOME,OKLAHOMA CITY THUNDER,WIN,2250,6,11,0,0,0,0,1,10,1,0,3,1,5,10.2
True,2015-02-28,6,-6,PHOENIX SUNS,HOME,SAN ANTONIO SPURS,LOSS,1950,2,9,0,0,2,3,0,9,1,2,0,1,3,3.3
True,2015-03-02,10,-1,PHOENIX SUNS,AWAY,MIAMI HEAT,LOSS,1627,4,9,0,0,2,2,3,8,1,2,0,0,3,11.3
True,2015-03-04,2,-1,PHOENIX SUNS,AWAY,ORLANDO MAGIC,WIN,1337,1,5,0,0,0,0,2,2,0,0,0,3,3,-3.3
True,2015-03-06,5,-5,PHOENIX SUNS,AWAY,BROOKLYN NETS,WIN,997,1,2,0,0,3,5,2,4,0,0,0,0,4,4.2
True,2015-03-09,10,-19,PHOENIX SUNS,HOME,GOLDEN STATE WARRIORS,LOSS,1676,3,6,0,0,4,4,0,11,0,0,1,4,4,5.4
True,2015-03-11,2,-4,PHOENIX SUNS,HOME,MINNESOTA TIMBERWOLVES,WIN,1141,1,2,0,0,0,0,1,4,1,0,0,2,4,0.0
True,2015-03-13,0,12,PHOENIX SUNS,HOME,ATLANTA HAWKS,LOSS,1466,0,3,0,0,0,2,2,5,1,0,0,0,1,0.3
True,2015-03-21,5,10,PHOENIX SUNS,AWAY,HOUSTON ROCKETS,WIN,1074,2,10,0,0,1,3,4,2,1,1,0,0,1,2.7
True,2015-03-22,10,15,PHOENIX SUNS,HOME,DALLAS MAVERICKS,WIN,1544,5,7,0,0,0,0,2,4,1,0,3,1,5,9.5
True,2015-03-25,6,-2,PHOENIX SUNS,HOME,SACRAMENTO KINGS,LOSS,1500,2,7,0,0,2,2,6,3,2,1,4,3,3,8.0
True,2015-03-27,6,-10,PHOENIX SUNS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1789,3,5,0,0,0,0,2,3,0,0,0,1,4,3.4
True,2015-03-29,2,-8,PHOENIX SUNS,HOME,OKLAHOMA CITY THUNDER,LOSS,1487,1,3,0,0,0,0,3,8,0,0,2,3,3,2.0
True,2015-03-30,6,-20,PHOENIX SUNS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1502,3,8,0,0,0,0,1,3,1,0,0,0,1,3.5
