active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2014-10-29,0,-8,MEMPHIS GRIZZLIES,HOME,MINNESOTA TIMBERWOLVES,WIN,1154,0,4,0,0,0,0,0,3,0,0,1,0,1,-1.6
True,2014-10-31,0,-5,MEMPHIS GRIZZLIES,AWAY,INDIANA PACERS,WIN,478,0,0,0,0,0,0,1,0,1,0,0,0,1,1.0
True,2014-11-01,2,-6,MEMPHIS GRIZZLIES,AWAY,CHARLOTTE HORNETS,WIN,700,1,5,0,1,0,0,1,1,0,1,0,0,1,0.5
True,2014-11-03,2,-3,MEMPHIS GRIZZLIES,HOME,NEW ORLEANS PELICANS,WIN,375,0,3,0,0,2,2,0,0,1,0,0,0,0,0.6
True,2014-11-05,2,-10,MEMPHIS GRIZZLIES,AWAY,PHOENIX SUNS,WIN,973,1,4,0,0,0,0,2,4,0,0,0,2,0,0.2
True,2014-11-07,2,0,MEMPHIS GRIZZLIES,AWAY,OKLAHOMA CITY THUNDER,WIN,315,1,4,0,0,0,0,0,1,0,0,0,0,0,-0.1
True,2014-11-08,6,-2,MEMPHIS GRIZZLIES,AWAY,MILWAUKEE BUCKS,LOSS,967,3,6,0,0,0,0,3,3,0,0,0,1,3,3.8
True,2014-11-11,2,7,MEMPHIS GRIZZLIES,HOME,LOS ANGELES LAKERS,WIN,544,1,1,0,0,0,0,0,2,1,0,0,0,1,2.6
True,2014-11-13,8,0,MEMPHIS GRIZZLIES,HOME,SACRAMENTO KINGS,WIN,821,3,4,0,0,2,4,1,2,0,0,0,1,2,5.1
True,2014-11-15,3,-1,MEMPHIS GRIZZLIES,HOME,DETROIT PISTONS,WIN,442,1,1,0,0,1,2,0,1,0,0,0,0,0,2.6
True,2014-11-17,13,0,MEMPHIS GRIZZLIES,HOME,HOUSTON ROCKETS,WIN,1260,5,8,0,0,3,4,2,2,2,0,0,1,0,11.4
True,2014-11-21,19,10,MEMPHIS GRIZZLIES,HOME,BOSTON CELTICS,WIN,1335,9,13,1,2,0,0,1,6,4,2,1,1,4,18.9
True,2014-11-23,9,4,MEMPHIS GRIZZLIES,HOME,LOS ANGELES CLIPPERS,WIN,1122,4,8,1,2,0,0,1,4,1,0,0,1,2,5.8
True,2014-11-26,6,0,MEMPHIS GRIZZLIES,AWAY,LOS ANGELES LAKERS,WIN,1116,3,5,0,1,0,0,1,1,0,0,0,1,2,2.9
True,2014-11-28,7,1,MEMPHIS GRIZZLIES,AWAY,PORTLAND TRAIL BLAZERS,WIN,830,3,5,1,1,0,0,0,2,0,0,0,1,1,3.9
True,2014-11-30,8,-6,MEMPHIS GRIZZLIES,AWAY,SACRAMENTO KINGS,WIN,914,4,7,0,0,0,1,1,4,1,1,1,1,2,6.8
