active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2014-10-29,13,-1,TORONTO RAPTORS,HOME,ATLANTA HAWKS,WIN,1697,5,11,3,5,0,0,0,3,3,1,1,0,2,11.2
True,2014-11-01,10,17,TORONTO RAPTORS,AWAY,ORLANDO MAGIC,WIN,1718,3,7,2,5,2,2,1,2,0,1,1,1,3,7.1
True,2014-11-02,6,-13,TORONTO RAPTORS,AWAY,MIAMI HEAT,LOSS,1029,2,7,0,3,2,2,0,1,0,1,0,0,1,2.8
True,2014-11-04,9,10,TORONTO RAPTORS,HOME,OKLAHOMA CITY THUNDER,WIN,1486,4,10,1,6,0,0,0,3,1,0,0,2,2,2.4
True,2014-11-05,2,-4,TORONTO RAPTORS,AWAY,BOSTON CELTICS,WIN,1454,1,5,0,1,0,0,0,2,2,0,1,1,1,0.2
True,2014-11-07,18,19,TORONTO RAPTORS,HOME,WASHINGTON WIZARDS,WIN,1763,7,15,4,6,0,0,2,3,1,0,0,3,4,8.7
True,2014-11-09,17,28,TORONTO RAPTORS,HOME,PHILADELPHIA 76ERS,WIN,1756,6,11,4,7,1,2,1,4,1,2,2,1,0,16.3
True,2014-11-11,17,-2,TORONTO RAPTORS,HOME,ORLANDO MAGIC,WIN,1669,4,8,4,5,5,5,0,4,0,1,0,1,1,13.8
True,2014-11-13,12,1,TORONTO RAPTORS,HOME,CHICAGO BULLS,LOSS,1958,5,10,2,7,0,0,0,3,2,1,1,1,4,8.4
True,2014-11-15,4,9,TORONTO RAPTORS,HOME,UTAH JAZZ,WIN,1360,2,5,0,3,0,0,0,1,2,0,0,0,2,2.2
True,2014-11-19,16,-3,TORONTO RAPTORS,HOME,MEMPHIS GRIZZLIES,WIN,2028,6,14,3,6,1,1,0,2,1,1,1,1,2,9.8
True,2014-11-21,13,34,TORONTO RAPTORS,HOME,MILWAUKEE BUCKS,WIN,1425,5,8,3,5,0,0,0,2,2,1,0,0,1,12.0
True,2014-11-22,2,-17,TORONTO RAPTORS,AWAY,CLEVELAND CAVALIERS,WIN,1108,1,5,0,2,0,0,0,1,0,0,0,0,2,-1.6
True,2014-11-24,13,-3,TORONTO RAPTORS,HOME,PHOENIX SUNS,WIN,1757,4,11,2,5,3,3,0,4,1,1,0,0,2,9.0
True,2014-11-26,12,-1,TORONTO RAPTORS,AWAY,ATLANTA HAWKS,WIN,1302,4,7,2,4,2,2,0,1,0,0,0,0,1,8.6
True,2014-11-28,7,-7,TORONTO RAPTORS,HOME,DALLAS MAVERICKS,LOSS,1400,3,8,1,4,0,0,1,0,0,1,0,1,1,2.9
True,2014-11-30,20,-3,TORONTO RAPTORS,AWAY,LOS ANGELES LAKERS,LOSS,2281,8,12,4,7,0,0,1,4,1,0,0,1,3,15.2
True,2014-12-02,20,10,TORONTO RAPTORS,AWAY,SACRAMENTO KINGS,WIN,1812,8,15,4,8,0,0,2,2,0,0,0,1,5,11.7
True,2014-12-03,11,5,TORONTO RAPTORS,AWAY,UTAH JAZZ,WIN,1844,4,8,1,3,2,2,3,1,0,1,0,1,1,9.0
True,2014-12-05,6,-15,TORONTO RAPTORS,HOME,CLEVELAND CAVALIERS,LOSS,1843,2,9,2,5,0,0,1,5,0,1,1,1,0,3.4
True,2014-12-08,16,7,TORONTO RAPTORS,HOME,DENVER NUGGETS,WIN,2378,7,15,1,8,1,2,0,4,0,1,0,0,0,10.1
True,2014-12-09,18,-3,TORONTO RAPTORS,AWAY,CLEVELAND CAVALIERS,LOSS,1662,8,13,1,4,1,1,1,2,1,0,0,5,2,8.3
True,2014-12-12,8,-7,TORONTO RAPTORS,HOME,INDIANA PACERS,WIN,1601,3,11,0,4,2,2,0,7,1,1,0,3,4,0.7
True,2014-12-14,22,13,TORONTO RAPTORS,AWAY,NEW YORK KNICKS,WIN,2005,8,14,3,5,3,3,0,5,1,2,0,2,3,16.4
True,2014-12-15,9,14,TORONTO RAPTORS,HOME,ORLANDO MAGIC,WIN,1300,3,11,3,7,0,0,0,6,1,0,0,0,1,4.6
True,2014-12-17,9,4,TORONTO RAPTORS,HOME,BROOKLYN NETS,WIN,1331,3,10,2,5,1,1,0,1,0,0,0,2,2,0.7
True,2014-12-19,11,19,TORONTO RAPTORS,AWAY,DETROIT PISTONS,WIN,1299,5,13,1,5,0,0,1,5,1,1,0,0,0,7.8
True,2014-12-21,18,5,TORONTO RAPTORS,HOME,NEW YORK KNICKS,WIN,2154,7,15,4,9,0,1,0,2,1,0,0,0,1,10.8
True,2014-12-22,17,-13,TORONTO RAPTORS,AWAY,CHICAGO BULLS,LOSS,2106,6,16,5,11,0,0,1,3,1,2,1,2,6,8.8
True,2014-12-27,11,21,TORONTO RAPTORS,AWAY,LOS ANGELES CLIPPERS,WIN,2209,5,15,1,8,0,0,0,2,3,1,1,0,3,5.7
True,2014-12-28,8,6,TORONTO RAPTORS,AWAY,DENVER NUGGETS,WIN,2120,3,10,1,3,1,2,1,7,1,0,0,1,1,3.9
True,2014-12-30,12,-5,TORONTO RAPTORS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2296,5,15,2,6,0,0,1,4,1,2,0,0,0,8.1
True,2015-01-02,12,-19,TORONTO RAPTORS,AWAY,GOLDEN STATE WARRIORS,LOSS,1740,4,10,2,6,2,2,0,0,1,2,0,3,3,5.1
True,2015-01-04,12,-16,TORONTO RAPTORS,AWAY,PHOENIX SUNS,LOSS,1604,5,10,2,3,0,0,1,5,0,0,0,2,1,6.8
True,2015-01-08,7,-14,TORONTO RAPTORS,HOME,CHARLOTTE HORNETS,LOSS,1306,3,10,1,4,0,0,0,4,1,1,1,0,4,3.2
True,2015-01-10,6,-1,TORONTO RAPTORS,HOME,BOSTON CELTICS,WIN,1237,2,9,2,4,0,0,0,1,2,0,0,1,2,0.4
True,2015-01-12,12,1,TORONTO RAPTORS,HOME,DETROIT PISTONS,LOSS,1392,5,11,2,8,0,0,0,1,0,0,1,1,1,5.9
