active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2014-10-28,2,8,LOS ANGELES LAKERS,HOME,HOUSTON ROCKETS,LOSS,427,1,5,0,0,0,0,0,0,0,1,0,0,1,-0.5
True,2014-10-29,6,5,LOS ANGELES LAKERS,AWAY,PHOENIX SUNS,LOSS,720,2,4,0,0,2,2,0,1,1,0,0,1,0,4.0
True,2014-10-31,8,6,LOS ANGELES LAKERS,HOME,LOS ANGELES CLIPPERS,LOSS,826,2,3,0,0,4,4,1,1,0,0,0,3,2,3.9
True,2014-11-01,4,-6,LOS ANGELES LAKERS,AWAY,GOLDEN STATE WARRIORS,LOSS,417,2,4,0,0,0,0,1,0,0,0,0,2,1,0.3
True,2014-11-09,6,7,LOS ANGELES LAKERS,HOME,CHARLOTTE HORNETS,WIN,682,2,4,0,0,2,4,1,2,0,0,1,0,1,4.8
True,2014-11-11,2,-4,LOS ANGELES LAKERS,AWAY,MEMPHIS GRIZZLIES,LOSS,308,1,2,0,0,0,0,0,0,2,0,0,0,0,2.4
True,2014-11-12,0,10,LOS ANGELES LAKERS,AWAY,NEW ORLEANS PELICANS,LOSS,190,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0
True,2014-11-14,2,1,LOS ANGELES LAKERS,HOME,SAN ANTONIO SPURS,LOSS,864,1,5,0,0,0,0,1,2,0,0,0,0,0,0.2
True,2014-11-16,10,17,LOS ANGELES LAKERS,HOME,GOLDEN STATE WARRIORS,LOSS,912,5,8,0,0,0,0,1,2,1,1,0,0,1,9.0
True,2014-11-18,4,-4,LOS ANGELES LAKERS,AWAY,ATLANTA HAWKS,WIN,743,2,4,0,0,0,0,0,1,1,0,0,0,3,1.8
True,2014-11-19,2,-4,LOS ANGELES LAKERS,AWAY,HOUSTON ROCKETS,WIN,417,1,2,0,0,0,0,0,0,0,0,0,0,2,0.2
True,2014-11-21,10,-13,LOS ANGELES LAKERS,AWAY,DALLAS MAVERICKS,LOSS,968,5,5,0,0,0,2,1,3,1,0,0,1,3,7.8
True,2014-11-23,13,3,LOS ANGELES LAKERS,HOME,DENVER NUGGETS,LOSS,1089,4,6,0,0,5,6,2,1,1,3,1,0,2,15.3
True,2014-11-26,6,-4,LOS ANGELES LAKERS,HOME,MEMPHIS GRIZZLIES,LOSS,725,3,5,0,0,0,0,1,3,0,0,0,1,3,3.1
True,2014-11-28,6,2,LOS ANGELES LAKERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,495,3,5,0,0,0,0,0,0,0,0,0,0,0,3.7
True,2014-11-30,6,7,LOS ANGELES LAKERS,HOME,TORONTO RAPTORS,WIN,1130,2,4,0,0,2,3,3,3,0,0,2,1,0,7.0
True,2014-12-02,3,0,LOS ANGELES LAKERS,AWAY,DETROIT PISTONS,WIN,1041,1,8,0,0,1,2,0,1,0,0,1,0,3,-2.8
True,2014-12-03,6,9,LOS ANGELES LAKERS,AWAY,WASHINGTON WIZARDS,LOSS,1213,3,9,0,0,0,0,1,4,3,0,2,0,1,5.9
True,2014-12-05,2,8,LOS ANGELES LAKERS,AWAY,BOSTON CELTICS,LOSS,1575,1,10,0,0,0,0,1,2,1,0,1,1,3,-4.1
True,2014-12-07,2,-1,LOS ANGELES LAKERS,HOME,NEW ORLEANS PELICANS,LOSS,1001,1,2,0,0,0,0,0,2,0,1,0,0,0,2.6
True,2014-12-09,4,2,LOS ANGELES LAKERS,HOME,SACRAMENTO KINGS,WIN,846,2,3,0,0,0,0,3,1,1,0,1,0,2,5.7
True,2014-12-12,4,10,LOS ANGELES LAKERS,AWAY,SAN ANTONIO SPURS,WIN,1079,2,3,0,0,0,0,1,5,0,1,0,0,1,5.5
True,2014-12-14,4,6,LOS ANGELES LAKERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1127,2,3,0,0,0,0,1,4,1,0,0,1,4,2.7
True,2014-12-15,1,0,LOS ANGELES LAKERS,AWAY,INDIANA PACERS,LOSS,1403,0,2,0,0,1,2,2,4,0,1,1,0,1,3.1
True,2014-12-19,0,6,LOS ANGELES LAKERS,HOME,OKLAHOMA CITY THUNDER,LOSS,864,0,3,0,0,0,0,0,3,1,1,1,0,3,0.0
True,2014-12-21,3,5,LOS ANGELES LAKERS,AWAY,SACRAMENTO KINGS,LOSS,797,1,2,0,0,1,4,2,2,0,0,2,0,3,3.0
True,2014-12-23,6,8,LOS ANGELES LAKERS,HOME,GOLDEN STATE WARRIORS,WIN,1387,3,6,0,0,0,0,2,0,3,0,2,0,1,7.5
True,2014-12-25,2,-8,LOS ANGELES LAKERS,AWAY,CHICAGO BULLS,LOSS,880,1,2,0,0,0,0,1,0,1,0,2,0,2,3.0
True,2014-12-26,2,1,LOS ANGELES LAKERS,AWAY,DALLAS MAVERICKS,LOSS,936,1,2,0,0,0,0,2,3,0,0,0,1,1,1.9
True,2014-12-28,3,3,LOS ANGELES LAKERS,HOME,PHOENIX SUNS,LOSS,844,1,3,0,0,1,2,0,1,0,0,0,0,1,0.8
True,2014-12-30,0,-3,LOS ANGELES LAKERS,AWAY,DENVER NUGGETS,WIN,794,0,0,0,0,0,0,1,1,1,0,0,1,2,-0.1
True,2015-01-02,0,-9,LOS ANGELES LAKERS,HOME,MEMPHIS GRIZZLIES,LOSS,770,0,0,0,0,0,0,0,0,0,0,1,0,1,0.3
True,2015-01-04,0,-2,LOS ANGELES LAKERS,HOME,INDIANA PACERS,WIN,762,0,1,0,0,0,0,1,3,1,0,1,0,1,1.9
True,2015-01-05,3,7,LOS ANGELES LAKERS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,849,1,2,0,0,1,1,2,3,0,1,0,0,2,4.5
True,2015-01-07,0,-5,LOS ANGELES LAKERS,AWAY,LOS ANGELES CLIPPERS,LOSS,621,0,2,0,0,0,0,2,2,0,0,0,1,3,-1.6
True,2015-01-09,1,0,LOS ANGELES LAKERS,HOME,ORLANDO MAGIC,WIN,485,0,2,0,0,1,2,2,1,1,0,0,0,1,1.2
True,2015-01-21,0,-1,LOS ANGELES LAKERS,AWAY,NEW ORLEANS PELICANS,LOSS,629,0,2,0,0,0,0,0,2,0,1,1,0,2,0.1
True,2015-01-23,7,-4,LOS ANGELES LAKERS,AWAY,SAN ANTONIO SPURS,LOSS,1561,2,8,0,0,3,4,4,3,0,0,0,0,3,4.3
True,2015-01-25,5,-12,LOS ANGELES LAKERS,HOME,HOUSTON ROCKETS,LOSS,1276,2,4,0,0,1,2,1,7,1,0,0,2,3,2.9
True,2015-01-27,6,-2,LOS ANGELES LAKERS,HOME,WASHINGTON WIZARDS,LOSS,1731,3,9,0,0,0,0,1,7,1,2,2,1,3,5.6
True,2015-01-29,9,1,LOS ANGELES LAKERS,HOME,CHICAGO BULLS,WIN,1825,3,6,0,0,3,4,4,5,4,0,2,0,6,11.7
True,2015-02-01,2,-14,LOS ANGELES LAKERS,AWAY,NEW YORK KNICKS,LOSS,1324,0,6,0,0,2,2,4,4,0,1,2,0,1,3.8
True,2015-02-04,10,-1,LOS ANGELES LAKERS,AWAY,MILWAUKEE BUCKS,LOSS,1181,5,7,0,0,0,0,2,2,1,0,0,0,2,9.0
True,2015-02-06,10,1,LOS ANGELES LAKERS,AWAY,ORLANDO MAGIC,LOSS,1943,4,12,0,0,2,2,2,4,3,1,2,0,1,9.9
True,2015-02-08,4,-15,LOS ANGELES LAKERS,AWAY,CLEVELAND CAVALIERS,LOSS,1440,2,8,0,0,0,2,2,3,2,2,2,2,0,3.5
True,2015-02-10,4,-1,LOS ANGELES LAKERS,HOME,DENVER NUGGETS,LOSS,1139,2,4,0,0,0,2,4,3,0,0,0,0,4,3.3
True,2015-02-11,12,-12,LOS ANGELES LAKERS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1608,5,11,0,0,2,2,2,0,2,0,0,1,5,6.1
True,2015-02-20,13,-3,LOS ANGELES LAKERS,HOME,BROOKLYN NETS,LOSS,1184,5,9,0,0,3,4,4,3,2,1,1,2,1,12.7
True,2015-02-22,0,-7,LOS ANGELES LAKERS,HOME,BOSTON CELTICS,WIN,681,0,2,0,0,0,0,0,2,1,0,0,0,0,-0.1
True,2015-02-25,6,7,LOS ANGELES LAKERS,AWAY,UTAH JAZZ,WIN,1287,1,2,0,0,4,4,0,0,1,1,0,0,1,6.3
True,2015-02-27,12,-2,LOS ANGELES LAKERS,HOME,MILWAUKEE BUCKS,WIN,1171,4,7,0,0,4,6,2,3,0,1,0,0,2,10.4
True,2015-03-01,6,-14,LOS ANGELES LAKERS,HOME,OKLAHOMA CITY THUNDER,LOSS,1103,3,5,0,0,0,0,0,2,1,1,2,0,2,6.6
True,2015-03-03,6,-9,LOS ANGELES LAKERS,AWAY,CHARLOTTE HORNETS,LOSS,1310,2,6,0,0,2,2,1,4,0,1,1,0,4,4.6
True,2015-03-04,2,-6,LOS ANGELES LAKERS,AWAY,MIAMI HEAT,LOSS,1018,1,3,0,0,0,0,0,1,1,1,0,2,4,-1.3
True,2015-03-06,0,-7,LOS ANGELES LAKERS,AWAY,MEMPHIS GRIZZLIES,LOSS,915,0,3,0,0,0,0,1,1,2,0,1,0,2,0.2
True,2015-03-24,0,3,LOS ANGELES LAKERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1133,0,3,0,0,0,0,1,1,2,2,0,2,3,-0.9
True,2015-03-25,4,-11,LOS ANGELES LAKERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,942,2,5,0,0,0,0,1,1,2,0,0,1,2,1.9
True,2015-03-27,7,-3,LOS ANGELES LAKERS,AWAY,TORONTO RAPTORS,LOSS,1460,2,7,0,0,3,4,3,2,3,1,1,1,3,6.8
True,2015-03-29,4,4,LOS ANGELES LAKERS,AWAY,BROOKLYN NETS,LOSS,1186,2,5,0,0,0,0,0,0,1,1,0,1,0,2.0
True,2015-03-30,6,-10,LOS ANGELES LAKERS,AWAY,PHILADELPHIA 76ERS,WIN,1306,3,6,0,0,0,0,2,1,0,0,2,1,1,4.7
True,2015-04-03,0,-19,LOS ANGELES LAKERS,HOME,PORTLAND TRAIL BLAZERS,LOSS,720,0,2,0,0,0,0,1,1,1,0,1,0,0,1.0
True,2015-04-05,3,1,LOS ANGELES LAKERS,HOME,LOS ANGELES CLIPPERS,LOSS,720,1,2,0,0,1,2,1,1,0,0,2,1,1,2.6
True,2015-04-07,8,1,LOS ANGELES LAKERS,AWAY,LOS ANGELES CLIPPERS,LOSS,1339,4,6,0,0,0,0,3,3,0,0,0,0,3,7.2
True,2015-04-08,10,15,LOS ANGELES LAKERS,AWAY,DENVER NUGGETS,LOSS,1589,4,7,0,0,2,2,2,7,1,0,0,3,2,7.1
True,2015-04-10,7,-4,LOS ANGELES LAKERS,HOME,MINNESOTA TIMBERWOLVES,WIN,774,3,7,0,0,1,2,1,4,1,0,0,1,2,3.7
True,2015-04-12,5,-9,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,LOSS,1147,2,4,0,0,1,2,1,5,0,0,0,0,0,4.8
True,2015-04-15,6,-3,LOS ANGELES LAKERS,HOME,SACRAMENTO KINGS,LOSS,1169,3,7,0,1,0,0,3,1,1,0,2,1,3,4.6
