active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2014-10-29,0,-5,ATLANTA HAWKS,AWAY,TORONTO RAPTORS,LOSS,992,0,3,0,1,0,0,0,2,2,0,1,1,1,-0.8
True,2014-11-01,3,8,ATLANTA HAWKS,HOME,INDIANA PACERS,WIN,849,1,5,0,1,1,2,0,5,1,1,1,0,3,2.2
True,2014-11-05,4,6,ATLANTA HAWKS,AWAY,SAN ANTONIO SPURS,LOSS,1028,0,1,0,1,4,4,1,3,2,2,2,0,1,9.3
True,2014-11-07,3,-4,ATLANTA HAWKS,AWAY,CHARLOTTE HORNETS,LOSS,1694,1,5,0,1,1,2,0,8,1,0,0,1,5,-0.4
True,2014-11-08,8,5,ATLANTA HAWKS,HOME,NEW YORK KNICKS,WIN,983,3,9,0,2,2,2,4,1,2,1,0,1,2,6.6
True,2014-11-10,4,-6,ATLANTA HAWKS,AWAY,NEW YORK KNICKS,WIN,1287,2,5,0,1,0,0,1,1,3,1,0,0,3,4.2
True,2014-11-12,10,4,ATLANTA HAWKS,HOME,UTAH JAZZ,WIN,2084,5,8,0,1,0,1,1,4,1,1,0,1,1,8.2
True,2014-11-14,12,2,ATLANTA HAWKS,HOME,MIAMI HEAT,WIN,1951,4,7,1,2,3,4,1,5,1,1,3,3,3,10.1
True,2014-11-15,10,-3,ATLANTA HAWKS,AWAY,CLEVELAND CAVALIERS,LOSS,1247,4,10,0,3,2,2,1,4,2,2,1,1,0,9.6
True,2014-11-18,10,2,ATLANTA HAWKS,HOME,LOS ANGELES LAKERS,LOSS,1888,4,11,1,4,1,2,6,3,2,1,0,1,3,8.8
True,2014-11-21,4,5,ATLANTA HAWKS,HOME,DETROIT PISTONS,WIN,1044,1,4,0,2,2,2,2,5,0,0,0,0,3,3.3
True,2014-11-25,2,-6,ATLANTA HAWKS,AWAY,WASHINGTON WIZARDS,WIN,849,1,4,0,1,0,0,1,1,0,1,1,0,0,2.3
True,2014-11-29,0,-4,ATLANTA HAWKS,HOME,CHARLOTTE HORNETS,WIN,353,0,2,0,1,0,0,0,1,1,0,0,0,0,-0.4
True,2014-12-02,0,-11,ATLANTA HAWKS,HOME,BOSTON CELTICS,WIN,426,0,3,0,0,0,0,0,0,1,0,0,0,0,-1.4
True,2014-12-03,7,14,ATLANTA HAWKS,AWAY,MIAMI HEAT,WIN,1049,3,4,1,1,0,0,0,2,2,0,0,0,2,6.6
True,2014-12-05,5,7,ATLANTA HAWKS,AWAY,BROOKLYN NETS,WIN,1243,1,6,1,4,2,4,0,6,0,1,1,1,1,2.5
True,2014-12-07,2,7,ATLANTA HAWKS,HOME,DENVER NUGGETS,WIN,782,1,4,0,2,0,0,2,1,0,0,1,1,2,0.2
True,2014-12-08,8,1,ATLANTA HAWKS,AWAY,INDIANA PACERS,WIN,953,4,7,0,0,0,0,1,5,0,1,0,2,0,5.9
True,2014-12-10,0,8,ATLANTA HAWKS,HOME,PHILADELPHIA 76ERS,WIN,1214,0,4,0,2,0,0,1,8,4,0,0,1,1,1.7
True,2014-12-12,2,9,ATLANTA HAWKS,HOME,ORLANDO MAGIC,WIN,1301,1,4,0,2,0,0,1,2,1,0,1,0,1,1.9
True,2014-12-13,0,-3,ATLANTA HAWKS,AWAY,ORLANDO MAGIC,LOSS,631,0,0,0,0,0,0,0,1,1,0,1,1,1,0.3
True,2014-12-15,2,6,ATLANTA HAWKS,HOME,CHICAGO BULLS,WIN,907,0,1,0,0,2,2,0,3,2,1,0,0,2,3.8
True,2014-12-17,3,4,ATLANTA HAWKS,AWAY,CLEVELAND CAVALIERS,WIN,1004,1,3,1,1,0,0,2,5,4,0,0,1,1,5.6
True,2014-12-20,7,6,ATLANTA HAWKS,AWAY,HOUSTON ROCKETS,WIN,699,3,4,1,2,0,0,0,5,3,2,1,2,0,9.7
True,2014-12-22,7,3,ATLANTA HAWKS,AWAY,DALLAS MAVERICKS,WIN,1001,3,3,1,1,0,0,1,1,2,2,1,0,0,11.2
True,2014-12-23,9,22,ATLANTA HAWKS,HOME,LOS ANGELES CLIPPERS,WIN,1127,3,5,1,2,2,2,0,3,3,1,0,2,2,7.9
True,2014-12-26,8,-12,ATLANTA HAWKS,HOME,MILWAUKEE BUCKS,LOSS,1055,4,6,0,0,0,0,1,2,0,0,0,0,2,5.9
True,2014-12-27,8,-25,ATLANTA HAWKS,AWAY,MILWAUKEE BUCKS,WIN,1456,3,6,2,4,0,0,1,5,1,3,0,1,2,9.1
True,2014-12-30,6,8,ATLANTA HAWKS,HOME,CLEVELAND CAVALIERS,WIN,1470,2,6,1,3,1,2,1,4,1,3,0,2,2,5.0
True,2015-01-02,6,-9,ATLANTA HAWKS,AWAY,UTAH JAZZ,WIN,1065,2,5,0,2,2,2,1,0,4,3,0,1,1,8.4
True,2015-01-03,13,10,ATLANTA HAWKS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1652,3,4,1,1,6,6,2,10,3,2,0,2,2,17.1
True,2015-01-05,0,3,ATLANTA HAWKS,AWAY,LOS ANGELES CLIPPERS,WIN,1278,0,1,0,0,0,0,0,4,0,2,0,0,1,2.1
True,2015-01-07,4,12,ATLANTA HAWKS,HOME,MEMPHIS GRIZZLIES,WIN,1144,1,3,0,0,2,3,0,3,2,2,0,0,0,6.2
True,2015-01-09,12,5,ATLANTA HAWKS,AWAY,DETROIT PISTONS,WIN,911,5,5,2,2,0,0,0,2,1,0,0,0,2,11.0
True,2015-01-11,9,28,ATLANTA HAWKS,HOME,WASHINGTON WIZARDS,WIN,1210,3,5,1,1,2,2,5,3,2,1,0,1,1,12.1
True,2015-01-13,4,18,ATLANTA HAWKS,AWAY,PHILADELPHIA 76ERS,WIN,1849,2,5,0,1,0,1,0,4,2,0,1,2,0,2.2
True,2015-01-14,4,28,ATLANTA HAWKS,AWAY,BOSTON CELTICS,WIN,1642,1,4,0,2,2,2,0,5,3,3,2,0,0,9.6
True,2015-01-16,5,6,ATLANTA HAWKS,AWAY,TORONTO RAPTORS,WIN,1016,2,3,1,2,0,0,1,4,1,0,0,0,1,5.9
True,2015-01-17,4,-3,ATLANTA HAWKS,AWAY,CHICAGO BULLS,WIN,1199,2,6,0,0,0,0,2,3,2,4,1,0,2,8.2
True,2015-01-19,2,-4,ATLANTA HAWKS,HOME,DETROIT PISTONS,WIN,1039,1,2,0,0,0,0,1,5,1,1,0,0,2,4.1
True,2015-01-21,8,-1,ATLANTA HAWKS,HOME,INDIANA PACERS,WIN,1166,3,7,1,3,1,2,1,4,0,2,1,1,1,7.1
True,2015-01-23,4,-1,ATLANTA HAWKS,HOME,OKLAHOMA CITY THUNDER,WIN,952,2,2,0,0,0,0,0,4,0,0,0,2,1,2.2
True,2015-01-25,8,10,ATLANTA HAWKS,HOME,MINNESOTA TIMBERWOLVES,WIN,1319,3,5,2,2,0,2,2,0,1,0,1,0,0,7.7
True,2015-01-28,2,9,ATLANTA HAWKS,HOME,BROOKLYN NETS,WIN,1017,1,4,0,3,0,0,1,1,1,2,0,0,0,3.3
True,2015-01-30,0,1,ATLANTA HAWKS,HOME,PORTLAND TRAIL BLAZERS,WIN,141,0,2,0,1,0,0,1,0,0,0,0,0,1,-1.1
True,2015-03-25,0,-8,ATLANTA HAWKS,AWAY,ORLANDO MAGIC,WIN,447,0,1,0,1,0,0,0,0,0,1,0,1,1,-1.1
True,2015-03-27,2,-4,ATLANTA HAWKS,HOME,MIAMI HEAT,WIN,783,1,5,0,1,0,0,1,5,1,1,0,0,0,2.8
True,2015-03-28,3,1,ATLANTA HAWKS,AWAY,CHARLOTTE HORNETS,LOSS,1374,1,7,1,3,0,0,1,4,2,0,0,2,2,-1.0
True,2015-03-30,11,-3,ATLANTA HAWKS,HOME,MILWAUKEE BUCKS,WIN,773,4,6,1,1,2,2,2,2,0,1,0,0,2,10.6
True,2015-03-31,19,1,ATLANTA HAWKS,AWAY,DETROIT PISTONS,LOSS,1456,7,14,2,3,3,3,1,4,2,1,0,1,1,14.9
True,2015-04-04,12,6,ATLANTA HAWKS,HOME,BROOKLYN NETS,WIN,1365,4,9,2,4,2,2,1,3,3,2,0,2,1,10.6
True,2015-04-07,2,24,ATLANTA HAWKS,HOME,PHOENIX SUNS,WIN,1174,1,4,0,0,0,0,1,4,1,0,0,0,1,1.8
