active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2014-11-05,5,4,SAN ANTONIO SPURS,HOME,ATLANTA HAWKS,WIN,625,2,2,0,0,1,2,0,4,2,1,0,1,0,6.6
True,2014-12-10,3,6,SAN ANTONIO SPURS,HOME,NEW YORK KNICKS,WIN,482,1,2,0,0,1,2,0,1,1,0,2,1,1,2.6
True,2014-12-12,6,-8,SAN ANTONIO SPURS,HOME,LOS ANGELES LAKERS,LOSS,911,1,1,0,0,4,4,0,4,1,1,1,2,1,6.9
True,2014-12-14,11,4,SAN ANTONIO SPURS,AWAY,DENVER NUGGETS,WIN,1181,5,7,0,0,1,4,2,4,3,0,1,1,2,10.5
True,2014-12-17,4,12,SAN ANTONIO SPURS,HOME,MEMPHIS GRIZZLIES,LOSS,1463,2,6,0,0,0,0,2,3,2,1,2,1,5,3.7
True,2014-12-19,14,-14,SAN ANTONIO SPURS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1582,4,6,0,0,6,6,4,2,2,1,0,2,2,14.4
True,2014-12-22,6,2,SAN ANTONIO SPURS,HOME,LOS ANGELES CLIPPERS,WIN,1107,3,4,0,0,0,0,1,1,4,0,0,1,4,5.6
True,2014-12-25,14,-5,SAN ANTONIO SPURS,HOME,OKLAHOMA CITY THUNDER,LOSS,1145,7,10,0,0,0,0,2,5,1,0,1,2,3,10.9
True,2014-12-26,0,2,SAN ANTONIO SPURS,AWAY,NEW ORLEANS PELICANS,LOSS,733,0,1,0,0,0,0,0,1,2,0,0,1,1,-0.4
True,2014-12-28,4,-5,SAN ANTONIO SPURS,HOME,HOUSTON ROCKETS,WIN,1252,2,8,0,0,0,0,2,2,2,1,3,0,2,4.9
True,2014-12-30,6,-3,SAN ANTONIO SPURS,AWAY,MEMPHIS GRIZZLIES,LOSS,754,2,5,0,0,2,4,1,3,0,2,1,2,2,4.0
True,2014-12-31,6,10,SAN ANTONIO SPURS,HOME,NEW ORLEANS PELICANS,WIN,1512,3,7,0,0,0,0,2,3,2,0,1,0,1,6.3
True,2015-01-03,16,2,SAN ANTONIO SPURS,HOME,WASHINGTON WIZARDS,WIN,1653,7,8,0,0,2,2,0,3,2,0,1,1,0,15.2
True,2015-01-06,10,-10,SAN ANTONIO SPURS,HOME,DETROIT PISTONS,LOSS,1658,4,9,0,0,2,4,4,3,2,1,1,2,3,8.1
True,2015-01-09,7,-14,SAN ANTONIO SPURS,HOME,PHOENIX SUNS,WIN,1872,3,7,0,0,1,2,4,10,1,0,0,0,5,7.4
True,2015-01-10,7,2,SAN ANTONIO SPURS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1004,2,7,0,0,3,4,2,2,1,1,1,1,2,5.1
True,2015-01-13,10,1,SAN ANTONIO SPURS,AWAY,WASHINGTON WIZARDS,LOSS,1662,4,6,0,0,2,4,2,1,3,0,1,0,2,10.3
True,2015-01-14,9,13,SAN ANTONIO SPURS,AWAY,CHARLOTTE HORNETS,WIN,1038,3,4,0,0,3,4,0,4,2,0,1,0,4,8.7
True,2015-01-16,4,10,SAN ANTONIO SPURS,HOME,PORTLAND TRAIL BLAZERS,WIN,1021,2,4,0,0,0,0,2,2,3,0,0,2,5,2.1
True,2015-01-18,14,15,SAN ANTONIO SPURS,HOME,UTAH JAZZ,WIN,1305,5,12,0,0,4,4,0,4,3,1,0,1,0,10.9
True,2015-01-20,6,0,SAN ANTONIO SPURS,AWAY,DENVER NUGGETS,WIN,1056,2,4,0,0,2,2,3,0,1,2,1,0,1,9.1
True,2015-01-22,4,2,SAN ANTONIO SPURS,AWAY,CHICAGO BULLS,LOSS,1243,2,5,0,0,0,0,1,6,1,1,0,2,2,2.7
True,2015-01-23,2,8,SAN ANTONIO SPURS,HOME,LOS ANGELES LAKERS,WIN,1113,0,4,0,0,2,4,4,7,0,0,1,2,2,1.2
True,2015-01-25,8,4,SAN ANTONIO SPURS,HOME,MILWAUKEE BUCKS,WIN,996,3,3,0,0,2,2,2,0,2,1,0,0,1,10.5
True,2015-01-31,8,-9,SAN ANTONIO SPURS,HOME,LOS ANGELES CLIPPERS,LOSS,1022,3,3,0,0,2,2,0,1,1,1,0,3,1,5.7
True,2015-02-06,4,15,SAN ANTONIO SPURS,HOME,MIAMI HEAT,WIN,1087,2,5,0,0,0,0,2,1,1,1,1,1,4,2.8
True,2015-02-08,10,14,SAN ANTONIO SPURS,AWAY,TORONTO RAPTORS,LOSS,1120,4,8,0,0,2,2,4,3,2,1,1,1,1,11.4
True,2015-02-09,8,-7,SAN ANTONIO SPURS,AWAY,INDIANA PACERS,WIN,816,3,5,0,0,2,2,1,3,0,0,0,1,1,5.9
True,2015-02-11,6,2,SAN ANTONIO SPURS,AWAY,DETROIT PISTONS,WIN,999,3,6,0,0,0,0,3,4,1,0,0,1,2,5.2
True,2015-02-19,11,-2,SAN ANTONIO SPURS,AWAY,LOS ANGELES CLIPPERS,LOSS,948,3,4,0,0,5,6,1,0,2,1,0,2,3,8.9
True,2015-02-20,8,-6,SAN ANTONIO SPURS,AWAY,GOLDEN STATE WARRIORS,LOSS,972,3,5,0,0,2,2,1,4,2,1,0,1,1,8.6
True,2015-02-23,2,-4,SAN ANTONIO SPURS,AWAY,UTAH JAZZ,LOSS,444,1,2,0,0,0,0,0,0,0,0,1,0,1,1.3
True,2015-02-25,6,-8,SAN ANTONIO SPURS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1048,3,4,0,0,0,0,2,2,1,0,1,0,1,7.4
True,2015-02-27,6,0,SAN ANTONIO SPURS,AWAY,SACRAMENTO KINGS,WIN,1461,2,8,0,0,2,3,3,6,0,1,3,0,1,7.4
True,2015-02-28,8,6,SAN ANTONIO SPURS,AWAY,PHOENIX SUNS,WIN,919,4,5,0,0,0,2,1,2,0,0,1,0,2,6.5
True,2015-03-04,4,8,SAN ANTONIO SPURS,HOME,SACRAMENTO KINGS,WIN,1068,2,4,0,0,0,0,1,3,1,1,1,1,3,3.8
True,2015-03-06,10,6,SAN ANTONIO SPURS,HOME,DENVER NUGGETS,WIN,1541,3,5,0,0,4,5,1,6,1,0,1,1,2,9.4
True,2015-03-08,8,7,SAN ANTONIO SPURS,HOME,CHICAGO BULLS,WIN,1347,4,7,0,0,0,0,2,1,2,1,0,0,3,7.6
True,2015-03-10,6,29,SAN ANTONIO SPURS,HOME,TORONTO RAPTORS,WIN,1632,1,6,0,0,4,4,2,2,1,1,0,2,4,2.3
True,2015-03-12,9,5,SAN ANTONIO SPURS,HOME,CLEVELAND CAVALIERS,LOSS,1333,3,6,0,0,3,4,1,0,1,1,0,2,4,4.4
True,2015-03-15,12,23,SAN ANTONIO SPURS,HOME,MINNESOTA TIMBERWOLVES,WIN,1198,5,6,0,0,2,2,0,5,2,1,1,2,1,12.0
True,2015-03-17,12,12,SAN ANTONIO SPURS,AWAY,NEW YORK KNICKS,LOSS,1673,5,10,0,0,2,2,7,6,2,0,1,0,1,15.4
True,2015-03-18,6,4,SAN ANTONIO SPURS,AWAY,MILWAUKEE BUCKS,WIN,1116,2,2,0,0,2,5,0,4,1,1,2,2,2,5.7
True,2015-03-20,18,20,SAN ANTONIO SPURS,HOME,BOSTON CELTICS,WIN,1499,8,10,0,0,2,3,2,4,3,2,0,0,2,19.7
True,2015-03-22,23,24,SAN ANTONIO SPURS,AWAY,ATLANTA HAWKS,WIN,1629,10,14,0,0,3,4,5,3,2,0,0,2,1,20.2
True,2015-03-24,8,-8,SAN ANTONIO SPURS,AWAY,DALLAS MAVERICKS,LOSS,1307,3,6,0,0,2,2,0,4,1,3,1,4,3,5.4
True,2015-03-25,9,13,SAN ANTONIO SPURS,HOME,OKLAHOMA CITY THUNDER,WIN,971,3,6,0,0,3,4,1,3,1,0,1,2,2,5.8
True,2015-03-27,13,7,SAN ANTONIO SPURS,HOME,DALLAS MAVERICKS,WIN,1518,5,7,0,0,3,4,3,4,3,1,1,2,2,14.0
True,2015-03-29,15,9,SAN ANTONIO SPURS,HOME,MEMPHIS GRIZZLIES,WIN,1757,6,9,0,0,3,3,2,6,2,2,0,1,1,16.3
True,2015-03-31,7,17,SAN ANTONIO SPURS,AWAY,MIAMI HEAT,WIN,1357,3,6,0,0,1,2,0,6,0,1,1,3,2,3.3
True,2015-04-01,8,4,SAN ANTONIO SPURS,AWAY,ORLANDO MAGIC,WIN,1251,3,8,0,0,2,2,4,3,2,0,0,1,1,7.3
True,2015-04-03,7,12,SAN ANTONIO SPURS,HOME,DENVER NUGGETS,WIN,387,3,4,0,0,1,1,2,0,0,0,0,0,0,6.8
