active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2014-11-17,4,-5,MEMPHIS GRIZZLIES,HOME,HOUSTON ROCKETS,WIN,376,2,2,0,0,0,0,1,1,0,0,0,0,0,4.4
True,2014-11-19,4,-3,MEMPHIS GRIZZLIES,AWAY,TORONTO RAPTORS,LOSS,535,1,1,0,0,2,4,1,2,0,0,0,0,3,3.0
True,2014-11-21,0,2,MEMPHIS GRIZZLIES,HOME,BOSTON CELTICS,WIN,83,0,0,0,0,0,0,1,0,1,0,0,0,1,1.0
True,2014-11-23,0,-1,MEMPHIS GRIZZLIES,HOME,LOS ANGELES CLIPPERS,WIN,155,0,0,0,0,0,0,0,1,0,0,0,1,2,-1.5
True,2014-11-28,0,-2,MEMPHIS GRIZZLIES,AWAY,PORTLAND TRAIL BLAZERS,WIN,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2014-11-30,0,0,MEMPHIS GRIZZLIES,AWAY,SACRAMENTO KINGS,WIN,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2014-12-03,12,17,MEMPHIS GRIZZLIES,AWAY,HOUSTON ROCKETS,LOSS,720,5,7,0,0,2,4,2,1,0,0,2,0,2,10.6
True,2014-12-07,0,2,MEMPHIS GRIZZLIES,HOME,MIAMI HEAT,WIN,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2014-12-13,0,-4,MEMPHIS GRIZZLIES,AWAY,PHILADELPHIA 76ERS,WIN,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2014-12-21,0,1,MEMPHIS GRIZZLIES,AWAY,CLEVELAND CAVALIERS,LOSS,235,0,3,0,0,0,0,2,2,1,1,0,0,0,1.6
True,2014-12-30,0,4,MEMPHIS GRIZZLIES,HOME,SAN ANTONIO SPURS,WIN,240,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.4
True,2015-01-02,2,-3,MEMPHIS GRIZZLIES,AWAY,LOS ANGELES LAKERS,WIN,341,1,1,0,0,0,0,0,1,0,0,0,0,0,2.0
True,2015-01-03,7,-7,MEMPHIS GRIZZLIES,AWAY,DENVER NUGGETS,LOSS,993,2,5,0,0,3,5,2,1,0,0,1,0,6,3.5
True,2015-01-05,3,2,MEMPHIS GRIZZLIES,HOME,NEW YORK KNICKS,WIN,1010,1,4,0,0,1,2,1,0,0,0,0,2,4,-2.7
True,2015-01-07,0,1,MEMPHIS GRIZZLIES,AWAY,ATLANTA HAWKS,LOSS,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2015-01-14,1,-2,MEMPHIS GRIZZLIES,AWAY,BROOKLYN NETS,WIN,145,0,1,0,0,1,2,1,0,0,0,0,0,0,0.6
True,2015-03-12,13,-8,MEMPHIS GRIZZLIES,AWAY,WASHINGTON WIZARDS,LOSS,1328,4,6,0,0,5,9,4,4,1,3,1,3,4,12.6
True,2015-04-08,4,1,MEMPHIS GRIZZLIES,HOME,NEW ORLEANS PELICANS,WIN,388,2,2,0,0,0,0,0,3,0,0,0,1,1,2.9
True,2015-04-13,7,21,MEMPHIS GRIZZLIES,AWAY,GOLDEN STATE WARRIORS,LOSS,529,3,4,0,0,1,2,1,1,1,1,1,0,2,7.6
