active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2014-10-29,0,4,PORTLAND TRAIL BLAZERS,HOME,OKLAHOMA CITY THUNDER,WIN,290,0,1,0,1,0,0,0,1,0,0,1,0,1,-0.1
True,2014-10-31,3,3,PORTLAND TRAIL BLAZERS,AWAY,SACRAMENTO KINGS,LOSS,398,1,2,0,0,1,1,0,1,1,1,0,0,0,4.0
True,2014-11-06,3,-3,PORTLAND TRAIL BLAZERS,HOME,DALLAS MAVERICKS,WIN,364,1,3,1,2,0,0,1,2,1,0,0,0,2,2.5
True,2014-11-11,0,-8,PORTLAND TRAIL BLAZERS,HOME,CHARLOTTE HORNETS,WIN,346,0,3,0,3,0,0,0,0,1,0,0,0,2,-2.2
True,2014-11-12,3,-9,PORTLAND TRAIL BLAZERS,AWAY,DENVER NUGGETS,WIN,318,1,2,1,1,0,0,0,0,1,0,0,0,0,2.7
True,2014-11-21,2,-6,PORTLAND TRAIL BLAZERS,HOME,CHICAGO BULLS,WIN,720,1,4,0,1,0,0,0,4,0,1,0,0,1,1.4
True,2014-11-23,0,2,PORTLAND TRAIL BLAZERS,AWAY,BOSTON CELTICS,WIN,359,0,1,0,1,0,0,0,4,0,0,1,1,0,0.2
True,2014-12-07,3,5,PORTLAND TRAIL BLAZERS,AWAY,NEW YORK KNICKS,WIN,151,1,1,1,1,0,0,0,0,0,0,0,0,1,2.3
True,2014-12-10,2,3,PORTLAND TRAIL BLAZERS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,271,0,1,0,1,2,2,0,0,0,0,0,0,0,1.3
True,2014-12-19,12,17,PORTLAND TRAIL BLAZERS,AWAY,SAN ANTONIO SPURS,WIN,1990,4,8,4,5,0,0,0,8,0,0,0,3,2,6.6
True,2014-12-22,4,-8,PORTLAND TRAIL BLAZERS,AWAY,HOUSTON ROCKETS,LOSS,477,0,1,0,1,4,4,1,1,1,0,0,0,1,4.6
True,2014-12-23,2,13,PORTLAND TRAIL BLAZERS,AWAY,OKLAHOMA CITY THUNDER,WIN,466,1,1,0,0,0,0,1,2,0,0,0,0,0,3.0
True,2014-12-26,8,5,PORTLAND TRAIL BLAZERS,HOME,PHILADELPHIA 76ERS,WIN,1160,3,6,2,4,0,0,0,2,3,2,2,1,2,9.3
True,2014-12-28,0,4,PORTLAND TRAIL BLAZERS,HOME,NEW YORK KNICKS,WIN,806,0,2,0,1,0,0,1,2,1,1,0,0,2,0.8
True,2014-12-30,4,-1,PORTLAND TRAIL BLAZERS,HOME,TORONTO RAPTORS,WIN,959,1,7,0,3,2,2,1,3,2,0,2,2,0,1.9
True,2015-01-03,10,-6,PORTLAND TRAIL BLAZERS,HOME,ATLANTA HAWKS,LOSS,570,3,5,3,4,1,2,0,0,0,1,0,1,4,5.7
True,2015-01-08,5,-6,PORTLAND TRAIL BLAZERS,HOME,MIAMI HEAT,WIN,424,2,4,1,2,0,0,1,1,1,0,0,0,1,4.3
True,2015-01-10,7,1,PORTLAND TRAIL BLAZERS,HOME,ORLANDO MAGIC,WIN,775,1,1,1,1,4,5,0,1,1,0,0,0,1,6.9
True,2015-01-11,1,12,PORTLAND TRAIL BLAZERS,AWAY,LOS ANGELES LAKERS,WIN,527,0,1,0,1,1,2,0,1,1,0,0,0,1,0.5
True,2015-01-16,0,-1,PORTLAND TRAIL BLAZERS,AWAY,SAN ANTONIO SPURS,LOSS,381,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0
True,2015-01-17,0,7,PORTLAND TRAIL BLAZERS,AWAY,MEMPHIS GRIZZLIES,LOSS,923,0,2,0,2,0,0,0,2,0,0,0,0,1,-1.2
True,2015-01-19,9,8,PORTLAND TRAIL BLAZERS,HOME,SACRAMENTO KINGS,WIN,984,3,6,1,3,2,2,0,2,3,2,0,2,2,7.9
True,2015-01-21,15,10,PORTLAND TRAIL BLAZERS,AWAY,PHOENIX SUNS,LOSS,2093,4,10,3,6,4,6,0,3,5,2,0,2,6,10.8
True,2015-01-22,1,4,PORTLAND TRAIL BLAZERS,HOME,BOSTON CELTICS,LOSS,596,0,3,0,2,1,2,0,1,0,2,1,0,0,1.5
True,2015-01-24,10,16,PORTLAND TRAIL BLAZERS,HOME,WASHINGTON WIZARDS,WIN,1261,3,5,3,5,1,1,1,5,3,0,0,0,0,12.0
True,2015-01-28,0,-2,PORTLAND TRAIL BLAZERS,AWAY,CLEVELAND CAVALIERS,LOSS,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2015-01-30,5,-14,PORTLAND TRAIL BLAZERS,AWAY,ATLANTA HAWKS,LOSS,917,2,4,1,2,0,0,0,4,0,1,0,2,2,2.4
True,2015-01-31,6,-8,PORTLAND TRAIL BLAZERS,AWAY,MILWAUKEE BUCKS,LOSS,814,2,8,2,4,0,0,0,3,0,0,0,0,1,1.7
True,2015-02-20,0,3,PORTLAND TRAIL BLAZERS,AWAY,UTAH JAZZ,LOSS,156,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.4
True,2015-02-22,9,-7,PORTLAND TRAIL BLAZERS,HOME,MEMPHIS GRIZZLIES,LOSS,1008,4,9,0,2,1,1,0,5,1,1,0,1,1,6.1
True,2015-02-25,0,-2,PORTLAND TRAIL BLAZERS,HOME,SAN ANTONIO SPURS,WIN,80,0,0,0,0,0,0,0,1,0,0,1,0,1,0.6
True,2015-02-27,0,6,PORTLAND TRAIL BLAZERS,HOME,OKLAHOMA CITY THUNDER,WIN,365,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2015-03-04,3,-4,PORTLAND TRAIL BLAZERS,AWAY,LOS ANGELES CLIPPERS,WIN,412,1,4,1,3,0,0,0,0,0,0,0,0,0,0.6
True,2015-03-05,8,12,PORTLAND TRAIL BLAZERS,HOME,DALLAS MAVERICKS,WIN,780,3,4,2,2,0,0,1,0,1,0,0,0,3,6.6
True,2015-03-07,8,4,PORTLAND TRAIL BLAZERS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,642,3,7,2,5,0,0,0,1,0,0,0,0,2,3.8
True,2015-03-11,3,3,PORTLAND TRAIL BLAZERS,HOME,HOUSTON ROCKETS,WIN,592,1,4,1,4,0,0,1,0,1,0,0,0,0,2.0
True,2015-03-13,4,5,PORTLAND TRAIL BLAZERS,HOME,DETROIT PISTONS,WIN,1009,2,3,0,1,0,0,0,4,1,1,0,0,0,5.6
True,2015-03-15,7,3,PORTLAND TRAIL BLAZERS,AWAY,TORONTO RAPTORS,WIN,667,3,3,1,1,0,0,0,1,0,1,0,1,1,6.0
True,2015-03-16,2,-2,PORTLAND TRAIL BLAZERS,AWAY,WASHINGTON WIZARDS,LOSS,504,0,2,0,1,2,2,0,1,0,0,0,0,4,-0.7
True,2015-03-18,3,3,PORTLAND TRAIL BLAZERS,AWAY,MIAMI HEAT,LOSS,989,1,4,1,4,0,0,0,1,0,0,0,0,3,-0.3
True,2015-03-20,0,-2,PORTLAND TRAIL BLAZERS,AWAY,ORLANDO MAGIC,LOSS,297,0,1,0,1,0,0,0,1,0,0,0,0,0,-0.4
True,2015-03-21,10,16,PORTLAND TRAIL BLAZERS,AWAY,MEMPHIS GRIZZLIES,LOSS,1485,4,11,2,4,0,0,1,5,2,2,1,2,1,7.8
True,2015-03-24,12,-4,PORTLAND TRAIL BLAZERS,HOME,GOLDEN STATE WARRIORS,LOSS,1252,4,10,2,4,2,2,1,4,2,0,0,0,0,9.9
True,2015-03-25,15,1,PORTLAND TRAIL BLAZERS,AWAY,UTAH JAZZ,WIN,1625,6,14,3,7,0,0,1,4,2,1,0,0,2,11.1
True,2015-03-27,8,6,PORTLAND TRAIL BLAZERS,AWAY,PHOENIX SUNS,WIN,1216,3,8,1,5,1,1,0,5,1,1,1,0,1,7.1
True,2015-03-28,3,7,PORTLAND TRAIL BLAZERS,HOME,DENVER NUGGETS,WIN,1192,1,5,0,1,1,2,1,2,2,0,1,0,3,1.7
True,2015-03-30,3,0,PORTLAND TRAIL BLAZERS,HOME,PHOENIX SUNS,WIN,895,1,3,1,2,0,0,0,1,1,0,0,0,0,2.3
True,2015-04-01,6,-13,PORTLAND TRAIL BLAZERS,HOME,LOS ANGELES CLIPPERS,LOSS,1037,1,4,0,3,4,5,1,6,1,0,0,0,0,6.4
