active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2015-10-28,24,-6,LOS ANGELES LAKERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1736,8,24,3,13,5,5,0,4,1,2,0,0,1,13.9
True,2015-10-30,13,-18,LOS ANGELES LAKERS,AWAY,SACRAMENTO KINGS,LOSS,1332,5,12,1,8,2,3,2,2,3,0,0,3,2,6.5
True,2015-11-01,15,-2,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,LOSS,1881,3,15,2,8,7,7,2,3,1,0,0,1,5,5.7
True,2015-11-03,11,-4,LOS ANGELES LAKERS,HOME,DENVER NUGGETS,LOSS,1750,4,11,1,5,2,3,1,1,5,2,0,1,5,8.0
True,2015-11-06,18,-6,LOS ANGELES LAKERS,AWAY,BROOKLYN NETS,WIN,1862,5,16,1,4,7,8,0,3,3,0,0,3,3,7.2
True,2015-11-08,18,-1,LOS ANGELES LAKERS,AWAY,NEW YORK KNICKS,LOSS,1925,6,19,2,10,4,7,0,2,3,1,0,1,2,7.8
True,2015-11-13,19,7,LOS ANGELES LAKERS,AWAY,DALLAS MAVERICKS,LOSS,1945,7,15,3,8,2,2,0,5,3,0,0,6,2,8.1
True,2015-11-15,17,14,LOS ANGELES LAKERS,HOME,DETROIT PISTONS,WIN,2143,6,19,1,4,4,4,0,8,9,2,0,4,3,11.6
True,2015-11-20,10,-1,LOS ANGELES LAKERS,HOME,TORONTO RAPTORS,LOSS,2224,5,13,0,5,0,0,0,4,5,2,0,3,2,5.8
True,2015-11-22,18,-8,LOS ANGELES LAKERS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1883,6,22,0,5,6,7,1,3,4,1,1,0,1,10.3
True,2015-11-24,4,-20,LOS ANGELES LAKERS,AWAY,GOLDEN STATE WARRIORS,LOSS,1481,1,14,1,7,1,2,0,6,2,2,0,3,0,-3.6
True,2015-11-28,21,-12,LOS ANGELES LAKERS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2048,7,20,1,5,6,7,0,2,2,0,0,1,1,10.0
True,2015-11-29,13,-6,LOS ANGELES LAKERS,HOME,INDIANA PACERS,LOSS,2009,4,20,2,7,3,4,1,3,3,1,0,1,1,3.5
True,2015-12-01,20,-21,LOS ANGELES LAKERS,AWAY,PHILADELPHIA 76ERS,LOSS,1902,7,26,4,17,2,4,1,4,2,1,0,3,3,3.9
True,2015-12-02,31,-5,LOS ANGELES LAKERS,AWAY,WASHINGTON WIZARDS,WIN,2134,10,24,4,11,7,8,0,2,3,1,0,2,1,19.1
True,2015-12-04,14,-15,LOS ANGELES LAKERS,AWAY,ATLANTA HAWKS,LOSS,2120,4,19,2,10,4,5,0,3,5,2,2,2,2,6.9
