active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2015-10-30,5,1,PORTLAND TRAIL BLAZERS,AWAY,PHOENIX SUNS,LOSS,162,1,2,1,1,2,2,0,0,0,0,0,0,0,4.0
True,2015-11-05,0,-5,PORTLAND TRAIL BLAZERS,HOME,MEMPHIS GRIZZLIES,WIN,215,0,1,0,0,0,0,0,0,0,0,0,1,0,-1.7
True,2015-11-11,0,-2,PORTLAND TRAIL BLAZERS,HOME,SAN ANTONIO SPURS,LOSS,55,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0
True,2015-11-15,0,2,PORTLAND TRAIL BLAZERS,AWAY,CHARLOTTE HORNETS,LOSS,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2015-11-28,0,-2,PORTLAND TRAIL BLAZERS,HOME,LOS ANGELES LAKERS,WIN,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2015-11-30,0,2,PORTLAND TRAIL BLAZERS,AWAY,LOS ANGELES CLIPPERS,LOSS,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2015-12-16,0,4,PORTLAND TRAIL BLAZERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,234,0,1,0,1,0,0,0,1,0,0,0,1,0,-1.4
True,2015-12-21,0,-1,PORTLAND TRAIL BLAZERS,AWAY,ATLANTA HAWKS,LOSS,74,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2015-12-23,0,-2,PORTLAND TRAIL BLAZERS,AWAY,NEW ORLEANS PELICANS,LOSS,376,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2015-12-26,0,1,PORTLAND TRAIL BLAZERS,HOME,CLEVELAND CAVALIERS,WIN,358,0,2,0,0,0,0,0,2,0,0,0,0,0,-0.8
True,2015-12-31,3,5,PORTLAND TRAIL BLAZERS,AWAY,UTAH JAZZ,LOSS,182,1,2,1,2,0,0,0,0,0,0,0,0,0,2.0
True,2016-01-04,0,0,PORTLAND TRAIL BLAZERS,HOME,MEMPHIS GRIZZLIES,LOSS,65,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0
True,2016-01-08,2,-1,PORTLAND TRAIL BLAZERS,HOME,GOLDEN STATE WARRIORS,LOSS,282,1,2,0,1,0,0,1,2,1,2,0,2,1,2.6
True,2016-01-13,0,-3,PORTLAND TRAIL BLAZERS,HOME,UTAH JAZZ,WIN,196,0,2,0,1,0,0,1,1,0,0,0,0,0,-0.4
True,2016-01-15,0,0,PORTLAND TRAIL BLAZERS,AWAY,BROOKLYN NETS,WIN,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2016-01-16,0,4,PORTLAND TRAIL BLAZERS,AWAY,PHILADELPHIA 76ERS,LOSS,377,0,2,0,2,0,0,0,1,0,0,0,0,0,-1.1
True,2016-01-18,0,-3,PORTLAND TRAIL BLAZERS,AWAY,WASHINGTON WIZARDS,WIN,97,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2016-01-23,2,-2,PORTLAND TRAIL BLAZERS,HOME,LOS ANGELES LAKERS,WIN,223,1,1,0,0,0,0,0,0,1,0,0,0,1,2.0
True,2016-01-26,0,-5,PORTLAND TRAIL BLAZERS,HOME,SACRAMENTO KINGS,WIN,202,0,2,0,1,0,0,2,1,0,0,0,1,0,-0.7
True,2016-02-02,0,-3,PORTLAND TRAIL BLAZERS,HOME,MILWAUKEE BUCKS,WIN,110,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7
True,2016-02-10,0,-3,PORTLAND TRAIL BLAZERS,HOME,HOUSTON ROCKETS,WIN,55,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2016-02-19,0,-4,PORTLAND TRAIL BLAZERS,HOME,GOLDEN STATE WARRIORS,WIN,231,0,1,0,1,0,0,0,0,0,0,0,0,1,-1.1
True,2016-03-01,0,0,PORTLAND TRAIL BLAZERS,AWAY,NEW YORK KNICKS,WIN,151,0,1,0,0,0,0,0,2,0,0,0,0,0,-0.1
True,2016-03-02,7,0,PORTLAND TRAIL BLAZERS,AWAY,BOSTON CELTICS,LOSS,465,2,5,1,2,2,2,0,2,1,0,0,2,0,3.6
True,2016-03-06,0,1,PORTLAND TRAIL BLAZERS,AWAY,DETROIT PISTONS,LOSS,174,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2016-03-11,7,8,PORTLAND TRAIL BLAZERS,AWAY,GOLDEN STATE WARRIORS,LOSS,720,3,6,1,2,0,0,2,0,2,0,0,0,0,6.8
