active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2015-10-28,11,-5,LOS ANGELES CLIPPERS,AWAY,SACRAMENTO KINGS,WIN,1268,5,9,0,1,1,2,0,0,1,1,0,0,2,7.2
True,2015-10-29,15,12,LOS ANGELES CLIPPERS,HOME,DALLAS MAVERICKS,WIN,1044,6,11,2,4,1,1,0,2,2,0,0,0,0,11.7
True,2015-10-31,10,-12,LOS ANGELES CLIPPERS,HOME,SACRAMENTO KINGS,WIN,1379,3,10,0,3,4,4,0,1,0,0,0,0,1,4.1
True,2015-11-02,11,8,LOS ANGELES CLIPPERS,HOME,PHOENIX SUNS,WIN,1577,2,8,1,4,6,6,0,2,3,1,0,0,2,9.1
True,2015-11-04,8,-10,LOS ANGELES CLIPPERS,AWAY,GOLDEN STATE WARRIORS,LOSS,1208,4,15,0,3,0,0,2,3,1,1,0,0,0,3.1
True,2015-11-07,2,-1,LOS ANGELES CLIPPERS,HOME,HOUSTON ROCKETS,LOSS,1121,1,3,0,1,0,0,0,0,4,1,0,3,0,1.1
True,2015-11-09,13,17,LOS ANGELES CLIPPERS,HOME,MEMPHIS GRIZZLIES,WIN,1208,2,7,1,3,8,9,0,1,1,0,0,2,0,7.5
True,2015-11-11,11,-9,LOS ANGELES CLIPPERS,AWAY,DALLAS MAVERICKS,LOSS,1721,3,8,1,3,4,4,0,0,1,0,0,1,4,4.7
True,2015-11-12,18,-8,LOS ANGELES CLIPPERS,AWAY,PHOENIX SUNS,LOSS,1488,7,14,1,3,3,3,0,1,2,3,0,5,2,9.9
True,2015-11-14,37,21,LOS ANGELES CLIPPERS,HOME,DETROIT PISTONS,WIN,2431,12,27,3,7,10,10,1,5,8,0,1,3,4,26.8
True,2015-11-19,15,-9,LOS ANGELES CLIPPERS,HOME,GOLDEN STATE WARRIORS,LOSS,2370,6,16,1,7,2,2,0,5,2,0,0,2,5,5.1
