active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2015-10-30,12,-24,BROOKLYN NETS,AWAY,SAN ANTONIO SPURS,LOSS,1617,5,13,2,3,0,0,0,6,7,1,0,2,0,10.6
True,2015-10-31,15,-6,BROOKLYN NETS,AWAY,MEMPHIS GRIZZLIES,LOSS,2122,7,17,0,3,1,1,1,2,9,0,0,2,3,10.3
True,2015-11-02,15,3,BROOKLYN NETS,HOME,MILWAUKEE BUCKS,LOSS,2074,5,11,1,1,4,5,0,3,4,0,0,5,3,6.4
True,2015-11-04,6,-3,BROOKLYN NETS,AWAY,ATLANTA HAWKS,LOSS,1628,3,10,0,2,0,0,2,3,5,0,1,2,5,2.7
True,2015-11-06,18,7,BROOKLYN NETS,HOME,LOS ANGELES LAKERS,LOSS,2255,8,22,1,6,1,2,1,6,12,1,0,2,4,13.7
True,2015-11-07,10,-15,BROOKLYN NETS,AWAY,MILWAUKEE BUCKS,LOSS,1783,3,10,1,2,3,3,0,6,2,0,0,5,1,2.0
True,2015-11-11,7,-11,BROOKLYN NETS,AWAY,HOUSTON ROCKETS,WIN,1660,3,10,1,3,0,0,0,6,6,1,0,1,3,6.0
True,2015-11-13,21,1,BROOKLYN NETS,AWAY,SACRAMENTO KINGS,LOSS,1983,5,10,1,3,10,11,0,1,12,1,0,1,1,23.9
True,2015-11-14,28,-3,BROOKLYN NETS,AWAY,GOLDEN STATE WARRIORS,LOSS,2625,9,20,2,5,8,8,0,4,9,2,0,2,3,23.9
True,2015-11-17,14,5,BROOKLYN NETS,HOME,ATLANTA HAWKS,WIN,2069,5,10,3,5,1,3,0,3,8,1,0,2,3,12.5
True,2015-11-18,16,4,BROOKLYN NETS,AWAY,CHARLOTTE HORNETS,LOSS,2004,6,12,2,4,2,2,0,8,9,0,2,3,3,15.9
True,2015-11-20,11,-15,BROOKLYN NETS,AWAY,BOSTON CELTICS,LOSS,1437,3,8,1,3,4,4,0,2,5,0,0,7,1,3.3
True,2015-11-22,22,3,BROOKLYN NETS,HOME,BOSTON CELTICS,WIN,1962,7,11,0,1,8,10,0,4,4,1,0,2,3,18.1
True,2015-11-25,9,-4,BROOKLYN NETS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1543,4,8,1,2,0,0,0,2,3,1,0,3,5,3.7
True,2015-11-28,12,6,BROOKLYN NETS,AWAY,CLEVELAND CAVALIERS,LOSS,2124,3,13,2,5,4,4,0,5,14,0,0,3,2,11.6
True,2015-11-29,11,0,BROOKLYN NETS,HOME,DETROIT PISTONS,WIN,1602,4,9,1,2,2,2,0,5,4,1,0,5,2,5.8
True,2015-12-01,11,0,BROOKLYN NETS,HOME,PHOENIX SUNS,WIN,1775,4,11,0,2,3,3,0,4,8,3,0,3,3,10.5
True,2015-12-04,5,-24,BROOKLYN NETS,AWAY,NEW YORK KNICKS,LOSS,1418,2,6,1,2,0,0,0,3,1,1,0,2,2,1.4
True,2015-12-06,11,-15,BROOKLYN NETS,HOME,GOLDEN STATE WARRIORS,LOSS,2243,3,13,0,3,5,6,0,4,5,1,0,3,2,4.6
True,2015-12-08,10,8,BROOKLYN NETS,HOME,HOUSTON ROCKETS,WIN,2246,4,8,0,1,2,2,1,4,9,3,0,5,2,11.4
True,2015-12-10,5,-4,BROOKLYN NETS,HOME,PHILADELPHIA 76ERS,WIN,1625,2,7,1,2,0,0,1,5,8,0,0,3,2,4.9
True,2015-12-12,16,-12,BROOKLYN NETS,HOME,LOS ANGELES CLIPPERS,LOSS,2233,4,10,1,4,7,9,0,5,11,1,0,3,3,15.8
True,2015-12-14,15,-14,BROOKLYN NETS,HOME,ORLANDO MAGIC,LOSS,1578,5,9,1,3,4,5,0,5,7,0,0,3,1,13.3
True,2015-12-16,22,0,BROOKLYN NETS,HOME,MIAMI HEAT,LOSS,2139,7,14,1,5,7,8,0,2,10,2,0,2,2,21.4
True,2015-12-18,26,-3,BROOKLYN NETS,AWAY,INDIANA PACERS,LOSS,2335,8,15,3,6,7,7,0,9,6,3,2,3,2,26.2
True,2015-12-20,4,-14,BROOKLYN NETS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1778,2,9,0,5,0,0,0,3,6,1,0,3,5,-0.4
True,2015-12-21,6,7,BROOKLYN NETS,AWAY,CHICAGO BULLS,WIN,1920,2,9,0,2,2,2,1,2,8,1,1,4,0,5.1
True,2015-12-23,13,7,BROOKLYN NETS,HOME,DALLAS MAVERICKS,LOSS,2705,4,14,2,5,3,3,1,4,8,1,0,2,1,10.9
True,2015-12-26,15,-17,BROOKLYN NETS,HOME,WASHINGTON WIZARDS,LOSS,1947,7,15,1,4,0,0,0,2,11,3,0,4,4,13.0
True,2015-12-28,18,-4,BROOKLYN NETS,AWAY,MIAMI HEAT,WIN,1819,4,8,1,3,9,9,1,3,6,2,0,3,2,18.0
True,2015-12-30,5,-2,BROOKLYN NETS,AWAY,ORLANDO MAGIC,LOSS,1982,2,11,0,4,1,1,0,5,10,2,0,3,2,4.8
True,2016-01-02,2,8,BROOKLYN NETS,AWAY,BOSTON CELTICS,WIN,1368,0,5,0,1,2,2,0,1,9,0,1,1,2,4.0
