active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2015-10-28,23,8,TORONTO RAPTORS,HOME,INDIANA PACERS,WIN,2338,8,17,2,4,5,6,1,2,6,2,0,5,4,14.8
True,2015-10-30,14,3,TORONTO RAPTORS,AWAY,BOSTON CELTICS,WIN,2054,3,11,0,1,8,10,1,6,9,3,2,3,4,15.3
True,2015-11-01,15,19,TORONTO RAPTORS,HOME,MILWAUKEE BUCKS,WIN,1758,5,10,1,5,4,4,2,3,7,4,0,1,3,19.0
True,2015-11-03,27,25,TORONTO RAPTORS,AWAY,DALLAS MAVERICKS,WIN,2208,9,15,4,5,5,5,0,5,10,3,2,4,4,27.4
True,2015-11-04,17,3,TORONTO RAPTORS,AWAY,OKLAHOMA CITY THUNDER,WIN,2031,5,14,3,8,4,6,0,4,1,2,0,5,4,5.7
True,2015-11-06,17,-2,TORONTO RAPTORS,AWAY,ORLANDO MAGIC,LOSS,1904,6,16,3,7,2,3,1,4,3,1,0,3,3,8.6
True,2015-11-08,15,-16,TORONTO RAPTORS,AWAY,MIAMI HEAT,LOSS,2212,4,16,2,8,5,6,1,5,8,1,0,2,2,11.0
True,2015-11-10,23,9,TORONTO RAPTORS,HOME,NEW YORK KNICKS,LOSS,2219,8,18,2,5,5,7,1,5,9,3,1,4,5,19.0
True,2015-11-11,23,14,TORONTO RAPTORS,AWAY,PHILADELPHIA 76ERS,WIN,1737,6,12,2,6,9,10,0,3,8,2,0,2,2,22.3
True,2015-11-13,20,9,TORONTO RAPTORS,HOME,NEW ORLEANS PELICANS,WIN,2078,4,13,4,8,8,8,0,6,5,4,1,2,1,20.1
True,2015-11-15,22,-5,TORONTO RAPTORS,AWAY,SACRAMENTO KINGS,LOSS,2335,8,19,6,12,0,0,0,2,7,4,1,5,3,15.9
True,2015-11-17,28,0,TORONTO RAPTORS,AWAY,GOLDEN STATE WARRIORS,LOSS,2317,7,15,2,7,12,12,3,3,3,2,1,2,6,23.7
True,2015-11-18,20,0,TORONTO RAPTORS,AWAY,UTAH JAZZ,LOSS,2233,6,17,1,7,7,7,0,3,6,3,0,5,2,12.8
True,2015-11-20,25,14,TORONTO RAPTORS,AWAY,LOS ANGELES LAKERS,WIN,2173,7,16,7,11,4,4,0,5,5,3,0,1,2,22.8
True,2015-11-22,13,14,TORONTO RAPTORS,AWAY,LOS ANGELES CLIPPERS,WIN,2256,2,11,1,4,8,8,1,2,10,3,0,4,4,11.8
True,2015-11-25,27,10,TORONTO RAPTORS,HOME,CLEVELAND CAVALIERS,WIN,2255,11,17,2,6,3,5,1,2,6,4,1,0,2,28.1
True,2015-11-28,27,6,TORONTO RAPTORS,AWAY,WASHINGTON WIZARDS,WIN,2036,9,19,6,11,3,4,1,6,3,2,1,6,5,16.2
True,2015-11-29,17,-7,TORONTO RAPTORS,HOME,PHOENIX SUNS,LOSS,2011,5,14,4,9,3,3,1,7,5,1,0,3,4,11.9
True,2015-12-02,31,10,TORONTO RAPTORS,AWAY,ATLANTA HAWKS,WIN,2235,9,17,2,7,11,12,0,5,5,2,0,2,5,25.3
True,2015-12-03,16,-3,TORONTO RAPTORS,HOME,DENVER NUGGETS,LOSS,2199,4,16,3,10,5,7,1,5,8,4,2,3,2,15.0
True,2015-12-05,41,8,TORONTO RAPTORS,HOME,GOLDEN STATE WARRIORS,LOSS,2309,14,26,6,10,7,8,1,2,7,4,1,1,2,37.1
True,2015-12-07,27,6,TORONTO RAPTORS,HOME,LOS ANGELES LAKERS,WIN,2278,9,19,5,11,4,4,1,6,6,0,0,2,1,21.6
True,2015-12-09,19,5,TORONTO RAPTORS,HOME,SAN ANTONIO SPURS,WIN,2232,6,11,1,3,6,6,0,5,8,1,0,4,2,17.0
True,2015-12-11,12,0,TORONTO RAPTORS,HOME,MILWAUKEE BUCKS,WIN,2117,5,16,2,8,0,0,0,7,5,1,2,5,3,4.6
True,2015-12-13,16,15,TORONTO RAPTORS,HOME,PHILADELPHIA 76ERS,WIN,2099,5,15,3,8,3,4,0,5,3,1,3,2,1,11.4
True,2015-12-14,20,-11,TORONTO RAPTORS,AWAY,INDIANA PACERS,LOSS,2048,7,14,2,5,4,4,0,2,4,1,0,5,5,10.4
True,2015-12-17,20,-9,TORONTO RAPTORS,AWAY,CHARLOTTE HORNETS,LOSS,2543,6,29,3,17,5,7,1,3,7,1,0,0,3,7.6
True,2015-12-18,21,17,TORONTO RAPTORS,AWAY,MIAMI HEAT,WIN,2274,8,18,1,4,4,4,0,3,4,4,0,1,2,17.5
True,2015-12-20,13,-8,TORONTO RAPTORS,HOME,SACRAMENTO KINGS,LOSS,1482,4,13,1,6,4,5,3,2,4,1,0,1,2,9.8
True,2015-12-22,17,2,TORONTO RAPTORS,HOME,DALLAS MAVERICKS,WIN,2277,6,13,2,4,3,3,0,10,7,0,1,2,2,16.1
True,2015-12-26,16,4,TORONTO RAPTORS,AWAY,MILWAUKEE BUCKS,WIN,1901,6,15,2,6,2,2,0,2,9,1,0,4,1,11.4
True,2015-12-28,28,12,TORONTO RAPTORS,AWAY,CHICAGO BULLS,LOSS,2406,9,15,3,4,7,8,0,6,9,3,0,3,0,28.8
True,2015-12-30,11,0,TORONTO RAPTORS,HOME,WASHINGTON WIZARDS,WIN,2097,2,12,2,8,5,5,0,3,6,2,0,6,2,3.7
True,2016-01-01,18,14,TORONTO RAPTORS,HOME,CHARLOTTE HORNETS,WIN,2477,6,16,2,7,4,4,3,3,11,2,0,6,4,14.3
True,2016-01-03,22,-6,TORONTO RAPTORS,HOME,CHICAGO BULLS,LOSS,2354,8,22,3,9,3,4,0,5,10,1,1,3,2,15.8
True,2016-01-04,23,-16,TORONTO RAPTORS,AWAY,CLEVELAND CAVALIERS,LOSS,2100,7,13,3,5,6,6,0,4,10,2,1,0,1,27.2
True,2016-01-06,17,1,TORONTO RAPTORS,AWAY,BROOKLYN NETS,WIN,2136,7,14,0,7,3,3,0,8,6,5,0,2,2,18.8
True,2016-01-08,21,4,TORONTO RAPTORS,AWAY,WASHINGTON WIZARDS,WIN,2469,8,18,3,6,2,2,1,9,4,4,1,6,2,15.7
True,2016-01-09,25,20,TORONTO RAPTORS,AWAY,PHILADELPHIA 76ERS,WIN,2320,10,17,1,4,4,5,2,4,5,2,0,3,3,20.6
True,2016-01-14,24,-9,TORONTO RAPTORS,AWAY,ORLANDO MAGIC,WIN,2804,5,20,2,9,12,14,1,7,6,1,1,2,2,17.1
True,2016-01-18,31,22,TORONTO RAPTORS,HOME,BROOKLYN NETS,WIN,2374,10,13,7,9,4,6,0,2,8,3,0,1,2,32.5
True,2016-01-20,14,16,TORONTO RAPTORS,HOME,BOSTON CELTICS,WIN,2196,4,11,4,9,2,2,0,2,8,3,0,6,4,9.5
True,2016-01-22,15,17,TORONTO RAPTORS,HOME,MIAMI HEAT,WIN,2285,5,12,2,7,3,3,0,4,6,2,1,2,1,14.3
True,2016-01-24,21,11,TORONTO RAPTORS,HOME,LOS ANGELES CLIPPERS,WIN,2180,7,14,3,6,4,5,1,3,6,0,0,3,3,15.2
True,2016-01-26,29,12,TORONTO RAPTORS,HOME,WASHINGTON WIZARDS,WIN,2181,8,14,5,9,8,8,1,3,4,2,0,3,4,24.2
True,2016-01-28,26,15,TORONTO RAPTORS,HOME,NEW YORK KNICKS,WIN,2467,8,16,3,5,7,8,3,3,10,3,0,3,2,26.8
True,2016-01-30,18,-5,TORONTO RAPTORS,HOME,DETROIT PISTONS,WIN,2375,4,15,1,5,9,12,1,7,0,3,0,2,4,10.1
True,2016-02-01,10,-20,TORONTO RAPTORS,AWAY,DENVER NUGGETS,LOSS,1920,3,12,1,6,3,8,1,1,2,3,0,2,2,3.4
True,2016-02-02,26,3,TORONTO RAPTORS,AWAY,PHOENIX SUNS,WIN,2495,8,15,5,10,5,5,1,2,4,2,0,1,1,23.4
True,2016-02-04,30,-2,TORONTO RAPTORS,AWAY,PORTLAND TRAIL BLAZERS,WIN,2396,10,19,7,10,3,5,0,6,8,2,2,7,2,22.9
True,2016-02-08,25,18,TORONTO RAPTORS,AWAY,DETROIT PISTONS,WIN,2265,9,14,2,5,5,5,0,3,7,2,0,2,1,24.2
True,2016-02-10,14,-6,TORONTO RAPTORS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2321,4,15,1,7,5,8,2,2,7,1,1,1,5,9.5
True,2016-02-19,27,-8,TORONTO RAPTORS,AWAY,CHICAGO BULLS,LOSS,2221,9,18,2,7,7,8,1,2,8,1,1,1,3,24.0
True,2016-02-21,18,10,TORONTO RAPTORS,HOME,MEMPHIS GRIZZLIES,WIN,2393,6,13,2,6,4,5,0,4,7,1,0,2,2,15.2
True,2016-02-22,22,19,TORONTO RAPTORS,AWAY,NEW YORK KNICKS,WIN,2116,7,13,2,4,6,6,4,7,11,0,0,2,1,25.9
True,2016-02-24,21,1,TORONTO RAPTORS,HOME,MINNESOTA TIMBERWOLVES,WIN,2354,6,14,3,8,6,6,1,2,6,1,0,0,3,18.9
True,2016-02-26,43,11,TORONTO RAPTORS,HOME,CLEVELAND CAVALIERS,WIN,2569,15,20,2,5,11,15,0,5,9,4,0,2,4,41.6
True,2016-03-02,32,11,TORONTO RAPTORS,HOME,UTAH JAZZ,WIN,2413,13,20,3,8,3,3,0,4,5,3,1,5,3,25.4
True,2016-03-04,28,9,TORONTO RAPTORS,HOME,PORTLAND TRAIL BLAZERS,WIN,2199,8,15,3,5,9,15,1,4,6,2,0,3,3,22.2
True,2016-03-06,17,-2,TORONTO RAPTORS,HOME,HOUSTON ROCKETS,LOSS,2297,5,10,4,7,3,5,1,3,9,3,0,3,3,17.9
True,2016-03-08,23,7,TORONTO RAPTORS,HOME,BROOKLYN NETS,WIN,2517,7,16,4,8,5,9,1,3,9,1,0,5,0,16.9
True,2016-03-10,19,4,TORONTO RAPTORS,HOME,ATLANTA HAWKS,WIN,2277,6,14,1,8,6,8,0,1,7,2,0,3,5,13.0
True,2016-03-12,16,9,TORONTO RAPTORS,HOME,MIAMI HEAT,WIN,2675,4,16,2,8,6,6,1,6,2,2,0,4,5,6.3
True,2016-03-14,33,-1,TORONTO RAPTORS,HOME,CHICAGO BULLS,LOSS,2436,10,20,2,5,11,13,1,10,7,3,0,3,4,29.2
True,2016-03-15,25,21,TORONTO RAPTORS,AWAY,MILWAUKEE BUCKS,WIN,1691,5,9,4,6,11,13,1,3,11,0,0,2,1,26.8
True,2016-03-17,28,12,TORONTO RAPTORS,AWAY,INDIANA PACERS,WIN,2604,8,21,4,11,8,9,0,8,4,3,0,8,3,15.1
True,2016-03-18,32,20,TORONTO RAPTORS,HOME,BOSTON CELTICS,WIN,2219,9,14,5,8,9,14,1,3,5,2,1,3,2,27.8
True,2016-03-20,18,3,TORONTO RAPTORS,HOME,ORLANDO MAGIC,WIN,2407,5,15,1,4,7,10,0,5,7,3,0,3,1,14.3
True,2016-03-25,15,-3,TORONTO RAPTORS,AWAY,HOUSTON ROCKETS,LOSS,2497,4,19,3,10,4,9,0,2,8,1,1,0,4,7.6
True,2016-03-26,11,28,TORONTO RAPTORS,AWAY,NEW ORLEANS PELICANS,WIN,1706,3,13,0,8,5,7,1,1,8,2,0,1,4,8.3
True,2016-03-28,14,-19,TORONTO RAPTORS,HOME,OKLAHOMA CITY THUNDER,LOSS,2187,4,14,2,8,4,8,1,1,4,0,0,4,4,2.4
True,2016-03-30,17,4,TORONTO RAPTORS,HOME,ATLANTA HAWKS,WIN,2402,4,19,2,4,7,8,0,6,11,2,0,5,1,11.0
True,2016-04-01,22,-4,TORONTO RAPTORS,AWAY,MEMPHIS GRIZZLIES,WIN,2186,7,17,4,10,4,4,0,3,2,1,1,5,4,10.3
True,2016-04-05,21,-1,TORONTO RAPTORS,HOME,CHARLOTTE HORNETS,WIN,2383,8,16,3,8,2,3,0,4,6,0,1,4,4,13.1
True,2016-04-07,16,-6,TORONTO RAPTORS,AWAY,ATLANTA HAWKS,LOSS,2059,6,15,2,6,2,5,1,3,6,1,0,2,4,9.9
True,2016-04-10,15,-3,TORONTO RAPTORS,AWAY,NEW YORK KNICKS,WIN,1916,5,15,4,7,1,2,0,0,7,2,1,0,2,12.9
True,2016-04-12,11,12,TORONTO RAPTORS,HOME,PHILADELPHIA 76ERS,WIN,1576,4,13,3,8,0,0,1,3,4,2,0,2,1,7.5
