active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2015-11-04,0,0,ATLANTA HAWKS,HOME,BROOKLYN NETS,WIN,465,0,2,0,0,0,0,0,2,0,0,0,2,1,-3.2
True,2015-11-13,0,0,ATLANTA HAWKS,AWAY,BOSTON CELTICS,LOSS,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2015-11-15,7,-11,ATLANTA HAWKS,HOME,UTAH JAZZ,LOSS,870,3,7,0,1,1,1,0,0,2,2,0,2,1,4.3
True,2015-11-17,8,4,ATLANTA HAWKS,AWAY,BROOKLYN NETS,LOSS,1123,3,8,2,4,0,0,0,2,2,2,0,0,1,7.2
True,2015-11-18,6,3,ATLANTA HAWKS,HOME,SACRAMENTO KINGS,WIN,932,2,6,0,3,2,2,0,4,5,1,0,1,0,7.3
True,2015-11-21,4,6,ATLANTA HAWKS,AWAY,CLEVELAND CAVALIERS,LOSS,357,2,3,0,0,0,0,0,0,2,0,0,0,0,4.1
True,2015-11-24,2,0,ATLANTA HAWKS,HOME,BOSTON CELTICS,WIN,191,1,2,0,0,0,0,0,1,1,0,0,0,0,2.0
True,2015-11-28,2,6,ATLANTA HAWKS,AWAY,SAN ANTONIO SPURS,LOSS,496,1,2,0,0,0,0,1,1,5,0,0,0,0,5.5
True,2015-12-12,4,-3,ATLANTA HAWKS,HOME,SAN ANTONIO SPURS,LOSS,429,2,4,0,2,0,0,0,0,1,0,0,0,0,2.7
True,2015-12-16,8,-2,ATLANTA HAWKS,HOME,PHILADELPHIA 76ERS,WIN,479,4,6,0,1,0,0,0,0,1,1,0,1,0,6.1
True,2015-12-26,2,-1,ATLANTA HAWKS,HOME,NEW YORK KNICKS,WIN,144,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7
True,2015-12-29,5,-17,ATLANTA HAWKS,AWAY,HOUSTON ROCKETS,WIN,866,2,9,0,5,1,1,0,0,3,0,0,1,1,0.2
True,2016-01-03,10,-4,ATLANTA HAWKS,AWAY,NEW YORK KNICKS,LOSS,1106,5,10,0,1,0,0,1,0,5,1,0,3,1,6.8
True,2016-01-07,8,-2,ATLANTA HAWKS,AWAY,PHILADELPHIA 76ERS,WIN,441,3,5,2,3,0,0,0,1,2,0,0,0,1,7.0
True,2016-01-09,0,-2,ATLANTA HAWKS,HOME,CHICAGO BULLS,WIN,158,0,2,0,1,0,0,0,0,0,0,0,1,0,-2.4
