active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2015-11-11,0,-1,ORLANDO MAGIC,HOME,LOS ANGELES LAKERS,WIN,353,0,4,0,2,0,0,0,1,0,1,0,0,0,-1.5
True,2015-11-13,0,-5,ORLANDO MAGIC,HOME,UTAH JAZZ,WIN,62,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2015-11-25,0,-2,ORLANDO MAGIC,HOME,NEW YORK KNICKS,WIN,42,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2015-11-27,2,0,ORLANDO MAGIC,HOME,MILWAUKEE BUCKS,WIN,178,1,1,0,0,0,1,0,0,0,0,0,1,0,0.3
True,2015-11-29,0,3,ORLANDO MAGIC,HOME,BOSTON CELTICS,WIN,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2015-12-28,0,-3,ORLANDO MAGIC,HOME,NEW ORLEANS PELICANS,WIN,122,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2016-01-18,0,2,ORLANDO MAGIC,AWAY,ATLANTA HAWKS,LOSS,212,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0
True,2016-01-20,0,0,ORLANDO MAGIC,HOME,PHILADELPHIA 76ERS,LOSS,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2016-02-25,0,0,ORLANDO MAGIC,HOME,GOLDEN STATE WARRIORS,LOSS,229,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2016-02-26,0,2,ORLANDO MAGIC,AWAY,NEW YORK KNICKS,LOSS,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2016-03-01,8,3,ORLANDO MAGIC,AWAY,DALLAS MAVERICKS,LOSS,1365,2,7,2,5,2,2,1,5,3,2,0,1,3,8.0
True,2016-03-02,0,-7,ORLANDO MAGIC,HOME,CHICAGO BULLS,WIN,361,0,1,0,1,0,0,0,0,0,0,0,1,1,-2.1
True,2016-03-04,0,-13,ORLANDO MAGIC,HOME,PHOENIX SUNS,LOSS,946,0,6,0,3,0,0,2,5,0,1,1,2,2,-2.4
True,2016-03-08,2,6,ORLANDO MAGIC,AWAY,LOS ANGELES LAKERS,LOSS,104,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7
True,2016-03-12,3,-15,ORLANDO MAGIC,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1157,1,6,0,2,1,2,0,2,2,1,0,0,1,1.4
True,2016-03-16,9,14,ORLANDO MAGIC,AWAY,CHARLOTTE HORNETS,LOSS,918,3,5,3,3,0,0,0,1,0,1,0,0,1,7.6
True,2016-03-18,0,-8,ORLANDO MAGIC,HOME,CLEVELAND CAVALIERS,LOSS,321,0,1,0,1,0,0,0,0,1,1,0,0,1,0.6
True,2016-03-20,4,12,ORLANDO MAGIC,AWAY,TORONTO RAPTORS,LOSS,720,2,2,0,0,0,0,0,0,0,0,0,0,2,2.6
True,2016-03-21,0,4,ORLANDO MAGIC,AWAY,BOSTON CELTICS,LOSS,398,0,2,0,0,0,2,0,1,0,0,0,0,1,-2.3
True,2016-03-23,0,-2,ORLANDO MAGIC,AWAY,DETROIT PISTONS,LOSS,152,0,2,0,1,0,0,0,0,0,0,0,0,0,-1.4
True,2016-03-25,0,-3,ORLANDO MAGIC,AWAY,MIAMI HEAT,LOSS,809,0,1,0,0,0,0,0,0,1,2,0,0,3,0.8
True,2016-03-26,8,14,ORLANDO MAGIC,HOME,CHICAGO BULLS,WIN,1332,3,6,1,2,1,1,1,6,0,0,0,0,1,7.1
True,2016-03-29,4,4,ORLANDO MAGIC,HOME,BROOKLYN NETS,WIN,404,2,3,0,1,0,2,0,0,1,0,0,0,1,2.2
True,2016-03-31,0,0,ORLANDO MAGIC,AWAY,INDIANA PACERS,WIN,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2016-04-08,0,5,ORLANDO MAGIC,HOME,MIAMI HEAT,WIN,283,0,1,0,0,0,0,0,2,0,1,0,0,2,0.1
True,2016-04-10,9,-8,ORLANDO MAGIC,AWAY,MIAMI HEAT,LOSS,1594,2,6,1,3,4,6,0,2,1,1,0,2,1,4.7
True,2016-04-11,9,-11,ORLANDO MAGIC,HOME,MILWAUKEE BUCKS,WIN,1149,3,8,1,3,2,6,1,0,1,1,0,0,1,5.0
True,2016-04-13,2,-3,ORLANDO MAGIC,AWAY,CHARLOTTE HORNETS,LOSS,1224,1,6,0,4,0,2,0,6,2,1,0,0,2,0.8
