active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2016-02-08,2,-2,BROOKLYN NETS,HOME,DENVER NUGGETS,WIN,649,1,3,0,0,0,0,1,1,0,1,1,1,3,0.8
True,2016-02-10,5,-5,BROOKLYN NETS,HOME,MEMPHIS GRIZZLIES,LOSS,839,2,5,1,3,0,0,0,1,0,0,0,2,3,-0.6
True,2016-02-19,2,0,BROOKLYN NETS,HOME,NEW YORK KNICKS,WIN,364,1,3,0,0,0,0,0,0,0,1,0,0,0,1.3
True,2016-02-21,2,-2,BROOKLYN NETS,HOME,CHARLOTTE HORNETS,LOSS,590,1,4,0,1,0,0,1,0,0,0,0,0,0,0.3
True,2016-02-25,4,-2,BROOKLYN NETS,AWAY,PHOENIX SUNS,WIN,551,1,3,0,0,2,2,0,1,0,2,0,0,2,3.8
True,2016-02-29,0,-2,BROOKLYN NETS,AWAY,LOS ANGELES CLIPPERS,LOSS,613,0,2,0,1,0,0,0,1,0,2,0,1,2,-0.9
True,2016-03-04,6,2,BROOKLYN NETS,AWAY,DENVER NUGGETS,WIN,742,3,3,0,0,0,0,0,1,0,0,2,0,2,6.0
True,2016-03-05,2,3,BROOKLYN NETS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,951,1,2,0,1,0,0,2,3,1,0,0,0,2,3.2
True,2016-03-11,0,-5,BROOKLYN NETS,AWAY,PHILADELPHIA 76ERS,LOSS,486,0,2,0,0,0,0,1,0,0,0,1,0,1,-0.4
True,2016-03-13,4,3,BROOKLYN NETS,HOME,MILWAUKEE BUCKS,LOSS,685,1,1,1,1,1,2,0,0,0,0,2,0,2,3.9
True,2016-03-15,1,1,BROOKLYN NETS,HOME,PHILADELPHIA 76ERS,WIN,397,0,1,0,0,1,2,0,1,0,1,0,0,2,0.4
True,2016-03-17,5,-22,BROOKLYN NETS,AWAY,CHICAGO BULLS,LOSS,913,2,4,1,1,0,0,2,1,1,1,0,0,2,5.6
True,2016-03-24,5,6,BROOKLYN NETS,HOME,CLEVELAND CAVALIERS,WIN,1029,2,6,1,2,0,0,3,3,1,2,0,0,2,6.5
True,2016-03-26,0,-2,BROOKLYN NETS,HOME,INDIANA PACERS,WIN,770,0,4,0,0,0,0,0,3,0,1,0,0,1,-1.3
True,2016-03-28,5,-9,BROOKLYN NETS,AWAY,MIAMI HEAT,LOSS,1025,2,6,1,2,0,0,1,2,0,1,0,2,0,1.9
True,2016-03-29,5,-13,BROOKLYN NETS,AWAY,ORLANDO MAGIC,LOSS,981,2,3,1,2,0,0,0,1,1,1,1,1,3,4.2
True,2016-03-31,7,4,BROOKLYN NETS,AWAY,CLEVELAND CAVALIERS,LOSS,1211,3,6,0,1,1,2,2,4,1,2,1,1,4,7.0
True,2016-04-01,5,-2,BROOKLYN NETS,AWAY,NEW YORK KNICKS,LOSS,1247,2,7,1,4,0,0,1,7,0,0,0,2,1,1.3
True,2016-04-03,6,-20,BROOKLYN NETS,HOME,NEW ORLEANS PELICANS,LOSS,1263,2,9,0,3,2,2,3,2,0,0,0,1,2,1.4
True,2016-04-06,10,-7,BROOKLYN NETS,AWAY,WASHINGTON WIZARDS,LOSS,1473,3,6,1,2,3,4,0,3,1,5,1,0,2,13.1
True,2016-04-08,12,-5,BROOKLYN NETS,AWAY,CHARLOTTE HORNETS,LOSS,1471,5,9,2,3,0,2,0,3,1,3,0,1,1,10.1
True,2016-04-10,6,-22,BROOKLYN NETS,AWAY,INDIANA PACERS,LOSS,763,2,4,2,2,0,2,2,1,1,1,0,1,0,5.6
True,2016-04-11,12,-17,BROOKLYN NETS,HOME,WASHINGTON WIZARDS,LOSS,1426,5,9,1,2,1,5,4,1,0,1,2,1,2,9.8
True,2016-04-13,6,-1,BROOKLYN NETS,HOME,TORONTO RAPTORS,LOSS,1304,3,7,0,3,0,0,2,3,1,3,1,1,0,8.0
