active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2015-10-28,5,-14,SACRAMENTO KINGS,HOME,LOS ANGELES CLIPPERS,LOSS,1204,2,5,1,2,0,0,0,0,0,1,0,0,4,1.7
True,2015-10-30,7,25,SACRAMENTO KINGS,HOME,LOS ANGELES LAKERS,WIN,1499,2,8,1,3,2,2,1,2,1,0,0,1,4,1.6
True,2015-10-31,3,-9,SACRAMENTO KINGS,AWAY,LOS ANGELES CLIPPERS,LOSS,625,1,3,0,0,1,1,0,1,0,0,0,0,1,1.2
True,2015-11-03,2,-12,SACRAMENTO KINGS,HOME,MEMPHIS GRIZZLIES,LOSS,1227,1,5,0,2,0,0,0,2,2,0,0,2,3,-2.3
True,2015-11-04,9,-2,SACRAMENTO KINGS,AWAY,PHOENIX SUNS,LOSS,869,4,6,1,1,0,0,0,2,1,0,0,3,4,3.1
True,2015-11-06,11,12,SACRAMENTO KINGS,HOME,HOUSTON ROCKETS,LOSS,1358,3,8,1,5,4,6,0,4,4,3,0,3,2,9.0
True,2015-11-07,2,2,SACRAMENTO KINGS,HOME,GOLDEN STATE WARRIORS,LOSS,984,1,4,0,1,0,1,1,0,0,1,0,4,2,-3.9
True,2015-11-09,7,-10,SACRAMENTO KINGS,HOME,SAN ANTONIO SPURS,LOSS,775,2,6,1,3,2,2,1,0,0,0,0,0,0,4.3
True,2015-11-11,0,3,SACRAMENTO KINGS,HOME,DETROIT PISTONS,WIN,177,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2015-11-13,15,2,SACRAMENTO KINGS,HOME,BROOKLYN NETS,WIN,1497,5,8,3,4,2,2,1,0,3,1,0,1,2,13.4
True,2015-11-15,8,10,SACRAMENTO KINGS,HOME,TORONTO RAPTORS,WIN,1522,3,6,2,4,0,0,1,3,1,1,0,0,1,7.9
True,2015-11-18,11,-6,SACRAMENTO KINGS,AWAY,ATLANTA HAWKS,LOSS,1075,4,8,3,3,0,0,1,0,0,1,0,0,0,8.7
True,2015-11-19,17,-2,SACRAMENTO KINGS,AWAY,MIAMI HEAT,LOSS,1931,7,12,3,4,0,1,0,1,3,0,0,4,1,9.0
True,2015-11-21,8,-7,SACRAMENTO KINGS,AWAY,ORLANDO MAGIC,WIN,1510,3,12,0,3,2,2,1,2,2,0,0,4,3,-1.7
True,2015-11-23,10,10,SACRAMENTO KINGS,AWAY,CHARLOTTE HORNETS,LOSS,1163,4,6,0,2,2,2,0,1,1,1,1,2,5,6.1
True,2015-11-25,8,4,SACRAMENTO KINGS,AWAY,MILWAUKEE BUCKS,WIN,1634,2,5,0,1,4,4,0,4,1,3,0,3,4,5.6
True,2015-11-27,6,0,SACRAMENTO KINGS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1565,3,9,0,2,0,0,0,2,0,2,0,2,0,1.5
True,2015-11-28,10,-6,SACRAMENTO KINGS,AWAY,GOLDEN STATE WARRIORS,LOSS,1645,3,7,2,3,2,3,0,3,5,3,1,2,0,12.0
True,2015-11-30,4,7,SACRAMENTO KINGS,HOME,DALLAS MAVERICKS,WIN,1053,2,6,0,2,0,0,0,2,0,0,0,0,0,1.2
True,2015-12-03,11,-13,SACRAMENTO KINGS,HOME,BOSTON CELTICS,LOSS,1485,3,6,0,2,5,6,1,3,1,0,0,0,4,8.3
True,2015-12-05,19,8,SACRAMENTO KINGS,AWAY,HOUSTON ROCKETS,LOSS,2493,8,14,3,5,0,0,2,7,2,3,1,1,3,18.8
True,2015-12-06,2,-8,SACRAMENTO KINGS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1188,1,2,0,0,0,0,0,1,0,0,0,1,2,-0.5
True,2015-12-08,10,10,SACRAMENTO KINGS,HOME,UTAH JAZZ,WIN,1576,4,6,2,4,0,0,2,0,2,2,0,1,2,10.4
True,2015-12-10,7,8,SACRAMENTO KINGS,HOME,NEW YORK KNICKS,WIN,1412,2,5,1,2,2,2,0,2,0,1,0,0,0,5.9
True,2015-12-15,8,4,SACRAMENTO KINGS,HOME,HOUSTON ROCKETS,WIN,1422,3,4,0,0,2,3,0,0,2,2,0,3,3,5.2
True,2015-12-18,6,-14,SACRAMENTO KINGS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1235,3,5,0,1,0,1,0,0,1,2,0,1,3,3.8
True,2015-12-20,12,22,SACRAMENTO KINGS,AWAY,TORONTO RAPTORS,WIN,1146,5,7,2,4,0,1,1,2,0,0,1,1,3,8.5
True,2015-12-21,9,-6,SACRAMENTO KINGS,AWAY,WASHINGTON WIZARDS,LOSS,1469,3,6,1,1,2,2,2,4,0,1,0,1,0,8.6
True,2015-12-23,2,-10,SACRAMENTO KINGS,AWAY,INDIANA PACERS,WIN,768,1,4,0,2,0,0,0,2,0,0,0,0,1,-0.2
True,2015-12-27,5,3,SACRAMENTO KINGS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1151,1,1,1,1,2,2,0,2,0,0,0,2,1,2.9
True,2015-12-28,3,-16,SACRAMENTO KINGS,AWAY,GOLDEN STATE WARRIORS,LOSS,1262,1,5,0,3,1,2,1,2,0,0,0,1,3,-1.4
True,2015-12-30,9,-10,SACRAMENTO KINGS,HOME,PHILADELPHIA 76ERS,LOSS,1122,3,4,2,3,1,2,0,1,1,0,0,2,2,5.2
True,2016-01-02,3,-6,SACRAMENTO KINGS,HOME,PHOENIX SUNS,WIN,1327,0,3,0,2,3,4,0,1,3,0,0,4,1,-1.5
True,2016-01-04,3,-13,SACRAMENTO KINGS,AWAY,OKLAHOMA CITY THUNDER,WIN,439,1,2,1,1,0,0,0,0,0,0,0,1,0,1.0
True,2016-01-05,4,-3,SACRAMENTO KINGS,AWAY,DALLAS MAVERICKS,LOSS,1138,2,5,0,2,0,0,0,1,3,1,0,1,2,2.9
True,2016-01-07,16,8,SACRAMENTO KINGS,HOME,LOS ANGELES LAKERS,WIN,1491,7,15,1,5,1,3,2,2,1,1,0,3,1,7.8
