active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2015-11-05,0,-10,MIAMI HEAT,AWAY,MINNESOTA TIMBERWOLVES,WIN,410,0,1,0,0,0,0,0,0,0,0,0,1,2,-2.5
True,2015-11-10,1,-13,MIAMI HEAT,HOME,LOS ANGELES LAKERS,WIN,885,0,1,0,1,1,2,0,0,2,1,0,0,1,1.9
True,2015-11-12,8,2,MIAMI HEAT,HOME,UTAH JAZZ,WIN,1246,3,5,2,3,0,0,0,3,0,0,0,0,4,5.0
True,2015-11-21,0,-12,MIAMI HEAT,HOME,PHILADELPHIA 76ERS,WIN,264,0,1,0,0,0,0,0,0,0,0,0,1,0,-1.7
True,2015-11-25,0,5,MIAMI HEAT,AWAY,DETROIT PISTONS,LOSS,339,0,1,0,0,0,0,0,1,1,0,0,0,0,0.3
True,2015-11-27,3,1,MIAMI HEAT,AWAY,NEW YORK KNICKS,WIN,108,1,2,1,2,0,0,0,1,0,0,0,0,0,2.3
True,2015-12-03,1,1,MIAMI HEAT,HOME,OKLAHOMA CITY THUNDER,WIN,500,0,0,0,0,1,2,1,1,0,0,0,0,0,1.6
True,2015-12-05,0,-11,MIAMI HEAT,HOME,CLEVELAND CAVALIERS,WIN,454,0,0,0,0,0,0,0,1,0,0,0,1,2,-1.5
True,2015-12-07,0,-6,MIAMI HEAT,HOME,WASHINGTON WIZARDS,LOSS,495,0,0,0,0,0,0,0,1,0,0,0,0,2,-0.5
True,2015-12-09,5,7,MIAMI HEAT,AWAY,CHARLOTTE HORNETS,LOSS,926,1,3,1,3,2,4,0,2,2,1,0,0,2,4.7
True,2015-12-11,0,3,MIAMI HEAT,AWAY,INDIANA PACERS,LOSS,525,0,1,0,1,0,0,0,1,0,0,0,1,3,-2.6
True,2015-12-18,0,-2,MIAMI HEAT,HOME,TORONTO RAPTORS,LOSS,206,0,0,0,0,0,0,0,0,0,0,1,0,2,-0.1
True,2015-12-22,4,-13,MIAMI HEAT,HOME,DETROIT PISTONS,LOSS,842,1,4,0,0,2,2,1,1,2,0,0,0,1,3.6
True,2016-01-03,0,-5,MIAMI HEAT,AWAY,WASHINGTON WIZARDS,WIN,223,0,1,0,0,0,0,0,1,1,0,0,2,2,-2.5
True,2016-01-11,0,-6,MIAMI HEAT,AWAY,GOLDEN STATE WARRIORS,LOSS,230,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2016-01-13,2,2,MIAMI HEAT,AWAY,LOS ANGELES CLIPPERS,LOSS,198,0,0,0,0,2,2,0,0,2,0,1,1,0,3.1
True,2016-01-15,2,-11,MIAMI HEAT,AWAY,DENVER NUGGETS,WIN,626,1,4,0,1,0,0,0,1,0,0,0,0,2,-0.9
True,2016-01-17,3,-14,MIAMI HEAT,AWAY,OKLAHOMA CITY THUNDER,LOSS,1188,1,4,1,1,0,0,0,2,0,0,0,0,0,1.2
True,2016-01-19,3,7,MIAMI HEAT,HOME,MILWAUKEE BUCKS,LOSS,1813,1,8,0,5,1,2,1,1,1,3,0,0,3,0.9
True,2016-01-20,6,-15,MIAMI HEAT,AWAY,WASHINGTON WIZARDS,LOSS,2106,2,7,0,3,2,2,0,3,4,1,2,4,3,2.8
True,2016-01-22,6,-6,MIAMI HEAT,AWAY,TORONTO RAPTORS,LOSS,2008,3,9,0,3,0,0,1,1,4,2,1,1,5,4.4
True,2016-01-31,0,2,MIAMI HEAT,HOME,ATLANTA HAWKS,WIN,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2016-02-02,0,4,MIAMI HEAT,AWAY,HOUSTON ROCKETS,LOSS,196,0,1,0,1,0,0,0,1,0,0,0,0,1,-0.8
True,2016-02-19,7,3,MIAMI HEAT,AWAY,ATLANTA HAWKS,WIN,1181,3,4,1,1,0,0,0,1,0,1,0,0,2,5.9
True,2016-02-20,5,15,MIAMI HEAT,HOME,WASHINGTON WIZARDS,WIN,2114,2,8,1,3,0,0,0,6,3,0,3,0,2,5.4
