active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2015-10-28,0,-1,HOUSTON ROCKETS,HOME,DENVER NUGGETS,LOSS,649,0,1,0,1,0,0,0,1,2,1,0,0,0,2.0
True,2015-11-01,3,4,HOUSTON ROCKETS,AWAY,MIAMI HEAT,LOSS,302,1,3,1,3,0,0,0,0,0,0,0,0,0,1.3
True,2015-11-04,2,-7,HOUSTON ROCKETS,HOME,ORLANDO MAGIC,WIN,552,1,1,0,0,0,0,0,2,3,0,0,0,1,4.0
True,2015-11-06,2,-25,HOUSTON ROCKETS,AWAY,SACRAMENTO KINGS,WIN,796,1,3,0,2,0,0,0,1,0,0,0,1,0,-0.4
True,2015-11-07,2,10,HOUSTON ROCKETS,AWAY,LOS ANGELES CLIPPERS,WIN,778,1,5,0,3,0,0,0,0,1,1,0,0,0,0.6
True,2015-11-11,0,2,HOUSTON ROCKETS,HOME,BROOKLYN NETS,LOSS,517,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2015-11-13,9,-4,HOUSTON ROCKETS,AWAY,DENVER NUGGETS,LOSS,970,3,6,3,6,0,0,0,0,0,1,0,3,2,3.2
True,2015-11-14,19,7,HOUSTON ROCKETS,HOME,DALLAS MAVERICKS,LOSS,1578,6,10,5,9,2,2,0,0,1,0,0,1,5,12.1
True,2015-11-16,3,-18,HOUSTON ROCKETS,HOME,BOSTON CELTICS,LOSS,1095,1,4,0,2,1,1,0,1,3,0,1,3,3,-0.5
True,2015-11-18,5,8,HOUSTON ROCKETS,HOME,PORTLAND TRAIL BLAZERS,WIN,1734,2,3,1,2,0,0,2,2,3,1,0,2,5,4.8
True,2015-11-20,2,-1,HOUSTON ROCKETS,AWAY,MEMPHIS GRIZZLIES,LOSS,1271,1,5,0,3,0,0,0,3,1,0,1,2,4,-2.4
True,2015-11-21,11,-3,HOUSTON ROCKETS,HOME,NEW YORK KNICKS,LOSS,1862,4,11,3,8,0,0,0,0,1,1,0,0,4,5.0
True,2015-11-25,13,4,HOUSTON ROCKETS,HOME,MEMPHIS GRIZZLIES,LOSS,1748,4,9,3,8,2,2,0,2,3,2,1,2,4,10.1
True,2015-11-27,0,0,HOUSTON ROCKETS,HOME,PHILADELPHIA 76ERS,WIN,3,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2015-11-29,7,-15,HOUSTON ROCKETS,AWAY,NEW YORK KNICKS,WIN,1212,2,4,2,4,1,2,0,0,0,3,0,1,3,5.4
True,2015-12-04,7,9,HOUSTON ROCKETS,AWAY,DALLAS MAVERICKS,WIN,710,3,5,1,1,0,0,0,1,1,1,0,0,2,5.9
True,2015-12-05,6,5,HOUSTON ROCKETS,HOME,SACRAMENTO KINGS,WIN,1059,2,4,2,4,0,0,0,0,0,1,1,2,0,3.7
True,2015-12-08,8,14,HOUSTON ROCKETS,AWAY,BROOKLYN NETS,LOSS,881,2,5,2,4,2,2,1,1,1,2,0,0,1,8.6
True,2015-12-09,7,7,HOUSTON ROCKETS,AWAY,WASHINGTON WIZARDS,WIN,1008,3,5,1,3,0,0,0,0,1,0,0,0,1,5.0
