active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2015-10-28,13,20,NEW YORK KNICKS,AWAY,MILWAUKEE BUCKS,WIN,1171,5,5,0,0,3,3,1,2,1,0,0,1,1,12.1
True,2015-10-29,8,-4,NEW YORK KNICKS,HOME,ATLANTA HAWKS,LOSS,1343,2,6,2,3,2,2,0,3,1,0,0,2,3,3.0
True,2015-10-31,12,0,NEW YORK KNICKS,AWAY,WASHINGTON WIZARDS,WIN,1568,6,8,0,0,0,1,0,1,1,1,0,2,2,7.6
True,2015-11-02,2,3,NEW YORK KNICKS,HOME,SAN ANTONIO SPURS,LOSS,967,1,4,0,0,0,0,0,0,0,0,0,0,0,-0.4
True,2015-11-04,2,-10,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,LOSS,926,1,3,0,0,0,1,1,0,1,0,0,1,3,-0.9
True,2015-11-06,5,-9,NEW YORK KNICKS,HOME,MILWAUKEE BUCKS,LOSS,1048,2,5,0,1,1,1,0,2,0,0,0,0,1,2.5
True,2015-11-08,7,-3,NEW YORK KNICKS,HOME,LOS ANGELES LAKERS,WIN,1094,2,3,0,0,3,4,0,2,0,0,0,0,0,5.9
True,2015-11-10,17,0,NEW YORK KNICKS,AWAY,TORONTO RAPTORS,WIN,1334,5,7,3,3,4,4,1,2,0,0,0,0,2,14.6
True,2015-11-11,0,-9,NEW YORK KNICKS,AWAY,CHARLOTTE HORNETS,LOSS,895,0,3,0,3,0,0,1,0,1,0,0,0,2,-1.5
True,2015-11-13,0,-9,NEW YORK KNICKS,HOME,CLEVELAND CAVALIERS,LOSS,961,0,3,0,1,0,0,0,1,0,1,0,3,3,-5.0
True,2015-11-15,7,5,NEW YORK KNICKS,HOME,NEW ORLEANS PELICANS,WIN,1200,2,8,1,3,2,2,0,1,0,0,0,1,1,1.1
True,2015-11-17,0,-7,NEW YORK KNICKS,HOME,CHARLOTTE HORNETS,WIN,591,0,2,0,0,0,0,0,0,0,0,0,0,1,-1.8
True,2015-11-20,12,5,NEW YORK KNICKS,AWAY,OKLAHOMA CITY THUNDER,WIN,1172,5,9,2,3,0,0,2,1,1,0,0,0,0,10.1
True,2015-11-21,8,-4,NEW YORK KNICKS,AWAY,HOUSTON ROCKETS,WIN,1462,3,8,0,2,2,2,1,2,2,1,0,1,2,5.5
True,2015-11-23,0,-13,NEW YORK KNICKS,AWAY,MIAMI HEAT,LOSS,317,0,4,0,3,0,0,0,1,0,0,0,0,2,-3.3
True,2015-11-25,6,-8,NEW YORK KNICKS,AWAY,ORLANDO MAGIC,LOSS,1121,1,3,0,1,4,4,1,0,0,0,0,0,0,5.0
True,2015-11-27,4,-7,NEW YORK KNICKS,HOME,MIAMI HEAT,LOSS,815,1,4,0,1,2,2,1,0,1,0,0,0,1,2.6
True,2015-11-29,15,-11,NEW YORK KNICKS,HOME,HOUSTON ROCKETS,LOSS,2182,6,10,1,2,2,2,1,2,0,0,0,2,2,8.9
True,2015-12-02,10,8,NEW YORK KNICKS,HOME,PHILADELPHIA 76ERS,WIN,1292,4,7,0,1,2,3,1,1,0,0,1,1,1,6.6
True,2015-12-04,9,2,NEW YORK KNICKS,HOME,BROOKLYN NETS,WIN,1304,3,9,1,4,2,2,1,1,0,1,0,2,2,3.1
True,2015-12-05,17,3,NEW YORK KNICKS,AWAY,MILWAUKEE BUCKS,LOSS,1481,6,11,2,4,3,4,0,0,1,0,0,1,1,10.6
True,2015-12-07,11,5,NEW YORK KNICKS,HOME,DALLAS MAVERICKS,LOSS,1637,4,9,2,5,1,1,0,2,0,0,0,2,3,3.7
True,2015-12-09,8,-11,NEW YORK KNICKS,AWAY,UTAH JAZZ,LOSS,1310,3,10,1,3,1,2,0,4,1,0,0,0,2,2.9
True,2015-12-10,10,1,NEW YORK KNICKS,AWAY,SACRAMENTO KINGS,LOSS,1435,3,7,2,4,2,2,1,5,2,3,0,2,1,10.5
True,2015-12-12,13,10,NEW YORK KNICKS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1501,3,3,1,1,6,6,0,1,0,0,0,1,3,10.2
True,2015-12-16,14,6,NEW YORK KNICKS,HOME,MINNESOTA TIMBERWOLVES,WIN,1351,5,10,1,1,3,3,2,5,2,0,0,1,1,11.9
True,2015-12-18,12,10,NEW YORK KNICKS,AWAY,PHILADELPHIA 76ERS,WIN,1172,4,6,1,2,3,4,2,1,1,1,0,2,1,10.0
True,2015-12-19,13,16,NEW YORK KNICKS,HOME,CHICAGO BULLS,WIN,1450,4,5,2,2,3,3,0,0,2,2,0,0,1,14.1
True,2015-12-21,24,-7,NEW YORK KNICKS,HOME,ORLANDO MAGIC,LOSS,1593,9,9,3,3,3,3,1,1,2,1,0,3,0,21.7
True,2015-12-23,8,-2,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,LOSS,2054,4,11,0,2,0,0,1,3,3,1,0,1,6,3.2
True,2015-12-26,12,-19,NEW YORK KNICKS,AWAY,ATLANTA HAWKS,LOSS,1502,6,12,0,3,0,0,2,2,0,1,1,3,3,5.5
True,2015-12-27,10,5,NEW YORK KNICKS,AWAY,BOSTON CELTICS,LOSS,1028,3,6,2,3,2,2,0,2,1,2,0,0,0,10.3
True,2015-12-29,7,14,NEW YORK KNICKS,HOME,DETROIT PISTONS,WIN,1760,2,6,1,2,2,2,0,1,2,1,0,1,2,4.5
True,2016-01-01,11,4,NEW YORK KNICKS,AWAY,CHICAGO BULLS,LOSS,1590,3,9,0,2,5,5,0,0,1,0,0,1,3,4.4
True,2016-01-03,2,3,NEW YORK KNICKS,HOME,ATLANTA HAWKS,WIN,1147,0,5,0,2,2,2,0,3,1,0,0,1,4,-2.5
True,2016-01-05,7,-1,NEW YORK KNICKS,AWAY,ATLANTA HAWKS,WIN,1153,3,5,1,2,0,0,0,1,0,1,0,1,1,4.6
