active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2016-10-26,10,10,PHOENIX SUNS,HOME,SACRAMENTO KINGS,LOSS,717,4,5,2,3,0,0,1,1,0,0,0,0,0,9.1
True,2016-10-28,0,-3,PHOENIX SUNS,AWAY,OKLAHOMA CITY THUNDER,LOSS,436,0,1,0,0,0,0,0,1,0,1,1,0,1,0.9
True,2016-10-30,0,-4,PHOENIX SUNS,HOME,GOLDEN STATE WARRIORS,LOSS,203,0,2,0,2,0,0,0,0,0,0,0,0,1,-1.8
True,2016-10-31,0,1,PHOENIX SUNS,AWAY,LOS ANGELES CLIPPERS,LOSS,412,0,1,0,0,0,0,0,1,2,1,0,0,0,2.0
True,2016-11-08,10,19,PHOENIX SUNS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1381,4,9,2,4,0,0,1,1,1,0,1,2,2,4.9
True,2016-11-09,0,-3,PHOENIX SUNS,HOME,DETROIT PISTONS,WIN,487,0,4,0,2,0,0,0,0,0,0,0,1,4,-5.4
True,2016-11-12,5,-7,PHOENIX SUNS,HOME,BROOKLYN NETS,LOSS,458,2,3,1,2,0,0,0,1,0,0,0,0,1,3.6
True,2016-11-13,5,7,PHOENIX SUNS,AWAY,GOLDEN STATE WARRIORS,LOSS,855,2,2,1,1,0,0,1,1,0,0,1,0,2,5.3
True,2016-11-16,0,-4,PHOENIX SUNS,AWAY,DENVER NUGGETS,LOSS,146,0,1,0,1,0,0,0,0,1,0,0,0,1,-0.4
True,2016-11-19,2,0,PHOENIX SUNS,AWAY,PHILADELPHIA 76ERS,LOSS,693,1,3,0,2,0,1,0,1,0,0,1,2,1,-1.5
True,2016-11-23,3,7,PHOENIX SUNS,AWAY,ORLANDO MAGIC,WIN,784,1,3,1,1,0,0,0,4,0,0,2,1,2,2.1
True,2016-11-25,3,7,PHOENIX SUNS,HOME,MINNESOTA TIMBERWOLVES,LOSS,448,1,2,1,2,0,2,0,1,0,0,0,1,0,0.5
True,2016-11-27,0,-10,PHOENIX SUNS,HOME,DENVER NUGGETS,LOSS,815,0,2,0,1,0,0,0,1,0,0,0,2,0,-3.1
True,2016-11-30,0,6,PHOENIX SUNS,HOME,ATLANTA HAWKS,WIN,706,0,2,0,2,0,0,0,1,0,0,0,0,1,-1.5
True,2016-12-03,10,-19,PHOENIX SUNS,AWAY,GOLDEN STATE WARRIORS,LOSS,1473,4,6,2,4,0,0,0,4,1,0,1,0,0,10.0
True,2016-12-06,3,8,PHOENIX SUNS,AWAY,UTAH JAZZ,LOSS,1696,1,5,1,5,0,0,0,3,1,0,0,1,4,-1.1
True,2016-12-07,0,-6,PHOENIX SUNS,HOME,INDIANA PACERS,LOSS,649,0,0,0,0,0,0,0,3,0,1,0,2,0,-0.1
