active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2016-10-26,18,-5,PHOENIX SUNS,HOME,SACRAMENTO KINGS,LOSS,1473,8,12,0,3,2,5,0,2,3,0,0,4,5,8.3
True,2016-10-28,21,-1,PHOENIX SUNS,AWAY,OKLAHOMA CITY THUNDER,LOSS,2633,8,25,2,8,3,5,2,4,1,0,0,1,3,7.0
True,2016-10-30,7,-10,PHOENIX SUNS,HOME,GOLDEN STATE WARRIORS,LOSS,1699,3,12,1,4,0,0,0,0,2,0,1,2,0,-0.1
True,2016-11-02,15,8,PHOENIX SUNS,HOME,PORTLAND TRAIL BLAZERS,WIN,2311,6,15,1,2,2,4,0,3,2,2,0,2,3,7.2
True,2016-11-04,38,2,PHOENIX SUNS,AWAY,NEW ORLEANS PELICANS,WIN,2487,13,22,3,7,9,9,0,4,3,0,0,6,6,22.7
True,2016-11-06,39,-4,PHOENIX SUNS,AWAY,LOS ANGELES LAKERS,LOSS,2715,13,29,3,7,10,10,1,2,7,0,0,2,3,26.9
True,2016-11-08,23,-9,PHOENIX SUNS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1870,8,18,2,6,5,5,0,0,0,1,0,2,3,11.4
True,2016-11-09,11,10,PHOENIX SUNS,HOME,DETROIT PISTONS,WIN,2009,3,9,1,5,4,5,0,2,4,1,2,3,2,7.5
True,2016-11-12,11,-12,PHOENIX SUNS,HOME,BROOKLYN NETS,LOSS,1921,5,18,0,4,1,1,1,5,3,1,0,0,2,4.9
True,2016-11-13,19,-18,PHOENIX SUNS,AWAY,GOLDEN STATE WARRIORS,LOSS,1935,6,18,1,5,6,6,1,3,3,2,1,1,1,13.8
True,2016-11-16,24,-16,PHOENIX SUNS,AWAY,DENVER NUGGETS,LOSS,2248,10,18,2,3,2,3,1,3,2,1,0,4,4,13.4
True,2016-11-18,13,11,PHOENIX SUNS,AWAY,INDIANA PACERS,WIN,1371,4,11,1,5,4,4,0,1,3,1,0,1,3,8.1
True,2016-11-19,10,-18,PHOENIX SUNS,AWAY,PHILADELPHIA 76ERS,LOSS,1058,4,13,0,2,2,3,0,1,0,2,0,5,0,-0.6
True,2016-11-21,30,-17,PHOENIX SUNS,AWAY,WASHINGTON WIZARDS,LOSS,2218,12,26,6,9,0,0,1,1,2,0,0,2,4,15.4
True,2016-11-23,11,3,PHOENIX SUNS,AWAY,ORLANDO MAGIC,WIN,2037,4,10,1,3,2,2,0,3,1,2,1,1,4,7.3
True,2016-11-25,11,-12,PHOENIX SUNS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1983,4,10,1,3,2,2,0,2,2,2,1,4,3,5.1
True,2016-11-27,30,14,PHOENIX SUNS,HOME,DENVER NUGGETS,LOSS,2143,11,27,4,10,4,5,0,3,4,1,0,1,5,16.8
True,2016-11-30,13,2,PHOENIX SUNS,HOME,ATLANTA HAWKS,WIN,1952,5,13,1,2,2,6,0,1,4,1,0,1,2,6.6
True,2016-12-03,21,-5,PHOENIX SUNS,AWAY,GOLDEN STATE WARRIORS,LOSS,1956,8,17,1,5,4,5,1,0,5,0,0,2,4,12.5
True,2016-12-06,21,-25,PHOENIX SUNS,AWAY,UTAH JAZZ,LOSS,1568,9,13,1,3,2,3,0,2,1,1,0,4,1,13.0
