active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2016-10-26,8,0,MILWAUKEE BUCKS,HOME,CHARLOTTE HORNETS,LOSS,1285,3,9,0,3,2,2,0,6,5,0,0,0,2,7.4
True,2016-10-29,2,-11,MILWAUKEE BUCKS,HOME,BROOKLYN NETS,WIN,770,0,5,0,1,2,2,0,1,0,1,0,1,1,-1.6
True,2016-10-30,6,-9,MILWAUKEE BUCKS,AWAY,DETROIT PISTONS,LOSS,1023,3,7,0,1,0,1,0,2,1,1,0,0,0,4.2
True,2016-11-01,14,9,MILWAUKEE BUCKS,AWAY,NEW ORLEANS PELICANS,WIN,1424,6,10,1,2,1,1,1,1,4,4,0,3,1,13.8
True,2016-11-03,12,17,MILWAUKEE BUCKS,HOME,INDIANA PACERS,WIN,1453,3,5,2,3,4,4,0,2,4,3,1,0,1,16.4
True,2016-11-05,3,3,MILWAUKEE BUCKS,HOME,SACRAMENTO KINGS,WIN,1618,1,6,0,2,1,1,1,4,6,0,0,3,1,1.9
True,2016-11-06,7,10,MILWAUKEE BUCKS,AWAY,DALLAS MAVERICKS,LOSS,1191,2,7,0,2,3,4,0,1,0,2,0,1,3,2.6
True,2016-11-10,10,-1,MILWAUKEE BUCKS,HOME,NEW ORLEANS PELICANS,LOSS,1343,4,6,0,0,2,2,0,3,3,1,0,2,0,9.4
True,2016-11-12,12,0,MILWAUKEE BUCKS,HOME,MEMPHIS GRIZZLIES,WIN,1341,5,9,2,3,0,0,1,0,3,0,0,2,2,7.7
True,2016-11-16,4,-4,MILWAUKEE BUCKS,AWAY,ATLANTA HAWKS,LOSS,1268,2,6,0,2,0,0,0,2,3,0,0,1,3,1.1
True,2016-11-17,0,-4,MILWAUKEE BUCKS,AWAY,MIAMI HEAT,LOSS,991,0,7,0,1,0,0,1,3,1,0,0,1,2,-4.4
True,2016-11-19,5,-3,MILWAUKEE BUCKS,HOME,GOLDEN STATE WARRIORS,LOSS,862,2,6,1,2,0,0,0,4,1,0,0,1,0,2.5
True,2016-11-21,5,6,MILWAUKEE BUCKS,HOME,ORLANDO MAGIC,WIN,1289,1,6,0,3,3,3,1,1,3,1,0,2,1,2.9
True,2016-11-25,8,-1,MILWAUKEE BUCKS,HOME,TORONTO RAPTORS,LOSS,1119,3,5,2,2,0,0,0,0,1,0,0,0,0,6.4
True,2016-11-27,12,2,MILWAUKEE BUCKS,AWAY,ORLANDO MAGIC,WIN,1218,5,10,2,3,0,0,2,1,2,1,0,0,3,9.9
True,2016-11-29,10,0,MILWAUKEE BUCKS,HOME,CLEVELAND CAVALIERS,WIN,1363,4,5,2,2,0,0,0,1,3,1,0,2,4,7.9
True,2016-12-01,13,13,MILWAUKEE BUCKS,AWAY,BROOKLYN NETS,WIN,1585,4,7,3,4,2,2,1,3,4,0,0,3,1,10.7
True,2016-12-03,5,-4,MILWAUKEE BUCKS,HOME,BROOKLYN NETS,WIN,1243,2,8,0,2,1,1,0,2,4,0,0,0,0,3.6
True,2016-12-05,2,-6,MILWAUKEE BUCKS,HOME,SAN ANTONIO SPURS,LOSS,984,1,6,0,2,0,0,0,0,5,0,0,0,1,1.3
True,2016-12-07,13,7,MILWAUKEE BUCKS,HOME,PORTLAND TRAIL BLAZERS,WIN,1446,4,6,3,3,2,2,0,1,3,2,1,1,4,12.9
True,2016-12-09,12,7,MILWAUKEE BUCKS,HOME,ATLANTA HAWKS,LOSS,1706,5,10,2,3,0,0,0,2,4,2,0,2,3,9.2
True,2016-12-10,11,8,MILWAUKEE BUCKS,AWAY,WASHINGTON WIZARDS,LOSS,1210,4,7,3,3,0,0,0,1,2,1,0,1,3,8.2
True,2016-12-12,4,-19,MILWAUKEE BUCKS,AWAY,TORONTO RAPTORS,LOSS,1378,1,6,0,2,2,2,1,1,2,3,0,2,2,2.8
True,2016-12-15,5,-3,MILWAUKEE BUCKS,HOME,CHICAGO BULLS,WIN,1265,2,4,0,1,1,2,2,0,7,0,0,3,0,5.9
True,2016-12-16,7,14,MILWAUKEE BUCKS,AWAY,CHICAGO BULLS,WIN,1604,3,8,1,4,0,0,0,2,1,0,0,2,1,1.5
True,2016-12-20,6,-11,MILWAUKEE BUCKS,HOME,CLEVELAND CAVALIERS,LOSS,1163,3,6,0,2,0,0,0,1,5,1,0,2,4,4.2
True,2016-12-21,11,2,MILWAUKEE BUCKS,AWAY,CLEVELAND CAVALIERS,LOSS,1648,4,7,1,2,2,4,0,5,7,3,0,1,2,14.5
True,2016-12-23,17,25,MILWAUKEE BUCKS,HOME,WASHINGTON WIZARDS,WIN,1756,7,7,3,3,0,0,0,3,7,2,0,3,4,18.1
True,2016-12-26,6,-1,MILWAUKEE BUCKS,AWAY,WASHINGTON WIZARDS,LOSS,1387,3,3,0,0,0,0,0,1,1,1,0,1,0,6.1
True,2016-12-28,8,20,MILWAUKEE BUCKS,AWAY,DETROIT PISTONS,WIN,1697,4,6,0,1,0,0,0,1,8,1,0,2,1,9.9
True,2016-12-30,11,-7,MILWAUKEE BUCKS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1966,4,8,1,2,2,2,1,3,4,1,0,2,1,10.0
True,2016-12-31,15,22,MILWAUKEE BUCKS,AWAY,CHICAGO BULLS,WIN,2339,7,13,1,2,0,0,1,9,12,0,0,3,4,15.9
True,2017-01-02,12,-5,MILWAUKEE BUCKS,HOME,OKLAHOMA CITY THUNDER,WIN,1940,3,12,1,4,5,5,0,2,5,0,0,2,5,4.9
True,2017-01-04,12,3,MILWAUKEE BUCKS,AWAY,NEW YORK KNICKS,WIN,2306,5,14,0,3,2,2,1,5,8,0,0,0,2,11.2
True,2017-01-06,10,-12,MILWAUKEE BUCKS,HOME,NEW YORK KNICKS,LOSS,1835,4,9,0,1,2,2,0,6,5,0,0,1,2,8.8
True,2017-01-08,22,-5,MILWAUKEE BUCKS,HOME,WASHINGTON WIZARDS,LOSS,2155,9,15,2,4,2,2,0,1,5,3,1,4,2,17.8
