active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2016-10-29,0,7,INDIANA PACERS,AWAY,CHICAGO BULLS,LOSS,403,0,1,0,0,0,0,0,1,1,0,0,0,1,-0.1
True,2016-11-21,3,-3,INDIANA PACERS,HOME,GOLDEN STATE WARRIORS,LOSS,343,1,3,0,0,1,1,1,1,0,0,1,0,0,3.0
True,2016-11-30,0,-5,INDIANA PACERS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2017-01-29,5,-1,INDIANA PACERS,HOME,HOUSTON ROCKETS,WIN,153,1,1,0,0,3,4,1,1,0,0,1,0,0,6.0
True,2017-02-04,0,1,INDIANA PACERS,HOME,DETROIT PISTONS,WIN,98,0,1,0,0,0,0,0,0,0,1,0,0,1,-0.1
True,2017-02-08,0,1,INDIANA PACERS,HOME,CLEVELAND CAVALIERS,LOSS,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2017-02-15,0,5,INDIANA PACERS,AWAY,CLEVELAND CAVALIERS,LOSS,188,0,1,0,0,0,0,2,2,0,0,0,0,0,1.3
True,2017-02-24,4,-7,INDIANA PACERS,HOME,MEMPHIS GRIZZLIES,WIN,813,2,3,0,0,0,0,2,3,0,0,1,1,3,3.5
True,2017-02-25,4,1,INDIANA PACERS,AWAY,MIAMI HEAT,LOSS,965,1,3,0,0,2,2,4,3,0,0,2,2,4,3.8
True,2017-02-27,10,19,INDIANA PACERS,AWAY,HOUSTON ROCKETS,WIN,1227,4,5,0,0,2,2,1,2,0,0,0,1,3,7.2
True,2017-03-01,1,-1,INDIANA PACERS,AWAY,SAN ANTONIO SPURS,LOSS,795,0,1,0,0,1,2,1,0,1,0,0,3,4,-3.3
True,2017-03-05,2,-4,INDIANA PACERS,AWAY,ATLANTA HAWKS,WIN,231,1,1,0,0,0,0,1,1,0,0,0,0,3,1.5
True,2017-03-06,2,3,INDIANA PACERS,AWAY,CHARLOTTE HORNETS,LOSS,557,1,1,0,0,0,0,1,1,0,0,0,0,0,2.7
True,2017-03-08,2,-5,INDIANA PACERS,HOME,DETROIT PISTONS,WIN,321,1,3,0,0,0,0,0,1,0,0,0,0,1,0.2
True,2017-03-10,0,-5,INDIANA PACERS,AWAY,MILWAUKEE BUCKS,LOSS,159,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0
True,2017-03-12,7,1,INDIANA PACERS,HOME,MIAMI HEAT,WIN,1099,3,5,0,0,1,2,3,2,0,0,0,0,2,6.2
True,2017-03-14,2,-4,INDIANA PACERS,AWAY,NEW YORK KNICKS,LOSS,1040,0,1,0,0,2,2,1,4,0,1,0,0,3,3.0
True,2017-03-15,3,-8,INDIANA PACERS,HOME,CHARLOTTE HORNETS,WIN,646,0,1,0,0,3,4,1,1,0,1,0,0,2,3.1
True,2017-03-19,6,-7,INDIANA PACERS,AWAY,TORONTO RAPTORS,LOSS,989,2,4,0,0,2,2,2,3,1,0,0,0,1,6.6
True,2017-03-20,0,0,INDIANA PACERS,HOME,UTAH JAZZ,WIN,121,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.4
True,2017-03-22,0,0,INDIANA PACERS,AWAY,BOSTON CELTICS,LOSS,378,0,0,0,0,0,0,1,0,0,0,0,0,1,0.3
True,2017-03-26,2,-11,INDIANA PACERS,HOME,PHILADELPHIA 76ERS,WIN,197,1,1,0,0,0,0,1,0,0,0,0,0,1,2.0
True,2017-03-28,2,-4,INDIANA PACERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,684,0,1,0,0,2,4,1,2,0,0,0,0,1,1.4
True,2017-03-29,3,8,INDIANA PACERS,AWAY,MEMPHIS GRIZZLIES,LOSS,863,1,4,0,0,1,2,1,1,0,0,1,1,3,-0.3
True,2017-03-31,0,-14,INDIANA PACERS,AWAY,TORONTO RAPTORS,LOSS,507,0,0,0,0,0,0,0,0,1,0,0,0,3,-0.5
True,2017-04-04,0,0,INDIANA PACERS,HOME,TORONTO RAPTORS,WIN,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2017-04-06,0,-2,INDIANA PACERS,HOME,MILWAUKEE BUCKS,WIN,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2017-04-08,0,0,INDIANA PACERS,AWAY,ORLANDO MAGIC,WIN,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2017-04-10,1,1,INDIANA PACERS,AWAY,PHILADELPHIA 76ERS,WIN,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0.6
