active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2016-11-08,9,5,SACRAMENTO KINGS,HOME,NEW ORLEANS PELICANS,WIN,1654,4,9,1,3,0,0,1,0,4,2,0,3,1,6.4
True,2016-11-10,6,-2,SACRAMENTO KINGS,HOME,LOS ANGELES LAKERS,LOSS,1371,2,11,0,0,2,2,0,2,9,2,0,2,1,5.6
True,2016-11-11,20,4,SACRAMENTO KINGS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2269,9,16,0,2,2,2,0,5,4,0,0,3,4,12.1
True,2016-11-16,10,4,SACRAMENTO KINGS,HOME,SAN ANTONIO SPURS,LOSS,1773,4,7,0,1,2,2,1,3,6,2,0,2,1,12.1
True,2016-11-18,16,-10,SACRAMENTO KINGS,HOME,LOS ANGELES CLIPPERS,LOSS,1951,7,11,1,2,1,2,1,1,2,0,0,2,3,9.9
True,2016-11-20,15,1,SACRAMENTO KINGS,HOME,TORONTO RAPTORS,WIN,1937,4,8,1,4,6,8,0,0,9,2,0,1,1,17.1
True,2016-11-23,21,4,SACRAMENTO KINGS,HOME,OKLAHOMA CITY THUNDER,WIN,1882,7,12,3,5,4,4,0,0,6,0,0,4,0,15.6
True,2016-11-25,8,-8,SACRAMENTO KINGS,HOME,HOUSTON ROCKETS,LOSS,1487,2,6,0,3,4,4,0,3,4,2,0,1,1,8.9
True,2016-11-27,18,11,SACRAMENTO KINGS,AWAY,BROOKLYN NETS,WIN,1784,6,10,2,2,4,6,0,2,2,1,0,3,1,12.2
True,2016-11-28,6,-1,SACRAMENTO KINGS,AWAY,WASHINGTON WIZARDS,LOSS,1891,2,6,0,1,2,2,2,1,3,2,1,0,2,8.3
True,2016-12-02,13,-7,SACRAMENTO KINGS,AWAY,BOSTON CELTICS,LOSS,1707,4,8,1,3,4,4,0,0,3,2,0,1,3,10.9
True,2016-12-04,13,8,SACRAMENTO KINGS,AWAY,NEW YORK KNICKS,LOSS,2328,4,10,1,3,4,4,1,2,6,2,0,2,3,11.9
True,2016-12-07,19,29,SACRAMENTO KINGS,AWAY,DALLAS MAVERICKS,WIN,1821,5,10,2,4,7,8,1,2,3,0,0,5,1,11.6
True,2016-12-09,14,-6,SACRAMENTO KINGS,HOME,NEW YORK KNICKS,LOSS,1812,5,11,1,2,3,3,0,3,3,2,0,0,1,12.9
True,2016-12-10,17,-2,SACRAMENTO KINGS,AWAY,UTAH JAZZ,LOSS,1895,7,14,3,5,0,0,1,0,2,1,0,2,1,10.7
True,2016-12-12,20,25,SACRAMENTO KINGS,HOME,LOS ANGELES LAKERS,WIN,1901,7,11,4,7,2,6,0,0,3,1,0,2,2,13.8
