active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2016-10-25,6,7,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,WIN,849,2,6,2,5,0,0,2,2,0,1,1,1,4,3.7
True,2016-11-01,11,5,CLEVELAND CAVALIERS,HOME,HOUSTON ROCKETS,WIN,878,4,12,1,3,2,2,1,3,0,0,0,0,2,5.0
True,2016-11-03,11,10,CLEVELAND CAVALIERS,HOME,BOSTON CELTICS,WIN,877,4,7,3,3,0,0,0,1,0,1,1,1,2,7.9
True,2016-11-05,12,0,CLEVELAND CAVALIERS,AWAY,PHILADELPHIA 76ERS,WIN,1105,4,9,4,8,0,0,0,2,2,2,0,0,3,10.1
True,2016-11-08,13,10,CLEVELAND CAVALIERS,HOME,ATLANTA HAWKS,LOSS,1616,5,15,3,8,0,0,2,5,1,0,0,0,0,8.1
True,2016-11-11,8,-1,CLEVELAND CAVALIERS,AWAY,WASHINGTON WIZARDS,WIN,860,3,8,2,4,0,0,0,0,1,0,1,1,0,4.0
True,2016-11-13,20,10,CLEVELAND CAVALIERS,HOME,CHARLOTTE HORNETS,WIN,1484,7,15,6,12,0,0,0,3,0,0,3,1,3,13.1
True,2016-11-15,21,-9,CLEVELAND CAVALIERS,HOME,TORONTO RAPTORS,WIN,1177,7,10,5,8,2,2,1,2,1,0,1,0,2,18.7
True,2016-11-16,8,-10,CLEVELAND CAVALIERS,AWAY,INDIANA PACERS,LOSS,1647,3,9,2,8,0,0,0,5,2,0,2,4,2,2.4
True,2016-11-18,0,9,CLEVELAND CAVALIERS,HOME,DETROIT PISTONS,WIN,543,0,1,0,1,0,0,0,2,0,0,0,0,1,-0.5
True,2016-11-23,14,1,CLEVELAND CAVALIERS,HOME,PORTLAND TRAIL BLAZERS,WIN,828,4,6,4,6,2,2,0,3,1,0,1,0,0,13.7
True,2016-12-01,5,-5,CLEVELAND CAVALIERS,HOME,LOS ANGELES CLIPPERS,LOSS,914,0,2,0,1,5,6,0,5,0,0,0,1,4,2.1
True,2016-12-02,11,5,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,LOSS,1266,5,6,1,2,0,0,0,2,0,1,0,0,2,9.6
True,2016-12-05,10,-3,CLEVELAND CAVALIERS,AWAY,TORONTO RAPTORS,WIN,1144,3,7,2,5,2,2,1,4,2,0,0,1,1,8.2
True,2016-12-07,6,2,CLEVELAND CAVALIERS,AWAY,NEW YORK KNICKS,WIN,783,2,4,2,3,0,0,0,0,0,1,0,0,2,4.2
True,2016-12-13,8,-3,CLEVELAND CAVALIERS,HOME,MEMPHIS GRIZZLIES,WIN,878,2,6,1,4,3,3,0,1,1,0,0,1,2,3.8
True,2016-12-14,0,-7,CLEVELAND CAVALIERS,AWAY,MEMPHIS GRIZZLIES,LOSS,1357,0,4,0,2,0,0,0,3,0,1,0,0,2,-1.7
True,2016-12-17,8,7,CLEVELAND CAVALIERS,HOME,LOS ANGELES LAKERS,WIN,845,3,3,2,2,0,0,0,0,2,1,0,0,1,9.1
True,2016-12-20,15,12,CLEVELAND CAVALIERS,AWAY,MILWAUKEE BUCKS,WIN,1480,5,11,3,7,2,2,1,2,2,0,0,0,4,10.4
True,2016-12-21,10,10,CLEVELAND CAVALIERS,HOME,MILWAUKEE BUCKS,WIN,1317,4,8,2,5,0,0,0,1,0,0,0,0,3,5.1
True,2016-12-23,12,-10,CLEVELAND CAVALIERS,HOME,BROOKLYN NETS,WIN,1330,5,9,1,5,1,1,0,6,2,0,0,1,1,9.5
True,2016-12-25,10,-3,CLEVELAND CAVALIERS,HOME,GOLDEN STATE WARRIORS,WIN,991,4,7,2,5,0,0,0,2,0,0,0,3,2,3.5
True,2016-12-26,11,-18,CLEVELAND CAVALIERS,AWAY,DETROIT PISTONS,LOSS,1070,4,8,3,5,0,0,0,4,1,0,0,3,5,3.9
True,2016-12-29,3,-9,CLEVELAND CAVALIERS,HOME,BOSTON CELTICS,WIN,926,1,4,1,2,0,0,1,2,0,0,0,0,0,1.9
True,2016-12-31,5,3,CLEVELAND CAVALIERS,AWAY,CHARLOTTE HORNETS,WIN,1032,1,3,1,2,2,2,0,3,0,0,0,0,1,3.8
True,2017-01-02,14,17,CLEVELAND CAVALIERS,HOME,NEW ORLEANS PELICANS,WIN,1499,5,9,4,7,0,2,0,6,0,0,1,2,3,8.2
True,2017-01-04,15,-9,CLEVELAND CAVALIERS,HOME,CHICAGO BULLS,LOSS,1796,6,11,3,6,0,0,2,3,0,1,0,0,0,13.0
True,2017-01-06,5,-5,CLEVELAND CAVALIERS,AWAY,BROOKLYN NETS,WIN,1483,2,6,1,4,0,0,0,5,0,4,1,0,3,6.6
True,2017-01-08,10,13,CLEVELAND CAVALIERS,AWAY,PHOENIX SUNS,WIN,1098,4,8,2,6,0,0,0,4,0,0,0,0,1,6.8
True,2017-01-10,5,-12,CLEVELAND CAVALIERS,AWAY,UTAH JAZZ,LOSS,1110,1,6,0,3,3,3,1,2,0,0,1,1,2,1.4
True,2017-01-11,4,-11,CLEVELAND CAVALIERS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,731,1,6,1,1,1,2,4,1,0,0,1,1,3,1.4
True,2017-01-13,10,-4,CLEVELAND CAVALIERS,AWAY,SACRAMENTO KINGS,WIN,1150,3,7,2,5,2,2,0,0,1,3,0,0,4,8.4
True,2017-01-16,0,-17,CLEVELAND CAVALIERS,AWAY,GOLDEN STATE WARRIORS,LOSS,969,0,3,0,2,0,0,0,2,2,0,0,0,0,-0.1
True,2017-01-19,18,16,CLEVELAND CAVALIERS,HOME,PHOENIX SUNS,WIN,1777,6,11,4,8,2,2,2,8,2,1,0,0,5,16.9
True,2017-01-21,8,-21,CLEVELAND CAVALIERS,HOME,SAN ANTONIO SPURS,LOSS,1017,2,8,0,2,4,5,1,3,0,0,0,1,0,3.4
True,2017-01-23,3,-7,CLEVELAND CAVALIERS,AWAY,NEW ORLEANS PELICANS,LOSS,315,1,4,1,3,0,0,1,0,0,0,1,0,2,1.2
True,2017-01-25,8,-2,CLEVELAND CAVALIERS,HOME,SACRAMENTO KINGS,LOSS,1116,3,6,2,5,0,0,0,2,0,0,1,2,1,3.9
True,2017-01-27,5,-10,CLEVELAND CAVALIERS,HOME,BROOKLYN NETS,WIN,1106,2,7,1,5,0,0,3,5,0,0,1,0,1,4.8
True,2017-01-29,4,-3,CLEVELAND CAVALIERS,HOME,OKLAHOMA CITY THUNDER,WIN,905,2,4,0,2,0,0,0,5,1,0,0,0,1,3.8
True,2017-01-30,13,-2,CLEVELAND CAVALIERS,AWAY,DALLAS MAVERICKS,LOSS,1155,4,8,3,6,2,2,2,5,0,0,2,2,1,10.9
True,2017-02-01,18,17,CLEVELAND CAVALIERS,HOME,MINNESOTA TIMBERWOLVES,WIN,1294,7,13,3,9,1,2,0,4,1,1,2,0,0,15.6
True,2017-02-04,14,14,CLEVELAND CAVALIERS,AWAY,NEW YORK KNICKS,WIN,931,5,9,4,8,0,2,1,2,2,0,0,2,2,8.8
True,2017-02-06,5,-1,CLEVELAND CAVALIERS,AWAY,WASHINGTON WIZARDS,WIN,699,2,4,1,3,0,0,0,4,1,0,0,2,4,1.3
True,2017-02-08,5,-3,CLEVELAND CAVALIERS,AWAY,INDIANA PACERS,WIN,706,2,7,1,3,0,0,0,5,0,0,0,0,1,2.0
True,2017-02-09,7,2,CLEVELAND CAVALIERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,873,2,6,1,4,2,2,0,6,1,0,1,0,0,6.8
True,2017-02-11,8,4,CLEVELAND CAVALIERS,HOME,DENVER NUGGETS,WIN,687,3,4,2,3,0,0,0,1,0,0,0,1,2,4.9
True,2017-02-14,21,17,CLEVELAND CAVALIERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1958,7,15,4,11,3,3,2,8,1,0,2,0,1,18.8
True,2017-02-15,4,13,CLEVELAND CAVALIERS,HOME,INDIANA PACERS,WIN,1818,1,8,0,6,2,2,0,8,2,0,0,1,4,0.0
True,2017-02-23,14,-1,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,WIN,1600,5,14,2,7,2,2,0,3,0,0,2,2,1,6.1
True,2017-02-25,11,-8,CLEVELAND CAVALIERS,HOME,CHICAGO BULLS,LOSS,1941,4,11,3,7,0,0,0,5,2,1,0,0,3,7.6
True,2017-02-27,4,-1,CLEVELAND CAVALIERS,HOME,MILWAUKEE BUCKS,WIN,824,1,6,0,3,2,2,1,2,2,0,0,1,2,1.1
True,2017-03-01,3,-1,CLEVELAND CAVALIERS,AWAY,BOSTON CELTICS,LOSS,759,1,4,1,4,0,0,0,2,0,0,0,0,2,0.4
True,2017-03-03,11,17,CLEVELAND CAVALIERS,AWAY,ATLANTA HAWKS,WIN,1470,4,7,3,6,0,0,1,3,1,0,1,1,3,8.5
True,2017-03-04,21,-12,CLEVELAND CAVALIERS,AWAY,MIAMI HEAT,LOSS,1351,9,12,3,5,0,1,0,4,0,2,1,2,2,16.9
True,2017-03-06,5,-15,CLEVELAND CAVALIERS,HOME,MIAMI HEAT,LOSS,833,1,3,1,2,2,4,0,3,0,0,0,3,2,-0.4
True,2017-03-09,15,18,CLEVELAND CAVALIERS,AWAY,DETROIT PISTONS,LOSS,1317,5,7,5,7,0,0,0,9,0,1,0,0,2,15.0
True,2017-03-11,12,10,CLEVELAND CAVALIERS,AWAY,ORLANDO MAGIC,WIN,986,4,7,2,5,2,2,1,2,1,0,1,0,1,11.0
True,2017-03-12,8,18,CLEVELAND CAVALIERS,AWAY,HOUSTON ROCKETS,LOSS,854,3,4,2,3,0,0,0,4,0,1,0,1,0,7.6
True,2017-03-14,6,16,CLEVELAND CAVALIERS,HOME,DETROIT PISTONS,WIN,1229,2,4,2,3,0,0,0,3,1,0,1,0,2,5.5
True,2017-03-16,3,10,CLEVELAND CAVALIERS,HOME,UTAH JAZZ,WIN,1094,1,6,1,5,0,0,1,4,2,1,0,0,2,2.7
True,2017-03-18,10,-20,CLEVELAND CAVALIERS,AWAY,LOS ANGELES CLIPPERS,LOSS,1654,4,10,2,7,0,0,0,4,1,0,0,0,4,4.9
True,2017-03-19,3,-6,CLEVELAND CAVALIERS,AWAY,LOS ANGELES LAKERS,WIN,767,1,3,1,3,0,0,0,1,0,0,0,2,1,-0.8
True,2017-03-22,4,0,CLEVELAND CAVALIERS,AWAY,DENVER NUGGETS,LOSS,1300,1,4,0,1,2,2,0,5,1,0,0,1,4,1.2
True,2017-03-25,5,3,CLEVELAND CAVALIERS,HOME,WASHINGTON WIZARDS,LOSS,379,2,2,1,1,0,0,0,2,0,0,1,0,0,5.7
True,2017-03-27,8,-8,CLEVELAND CAVALIERS,AWAY,SAN ANTONIO SPURS,LOSS,1310,4,7,0,3,0,0,0,3,0,2,0,1,2,5.8
True,2017-03-30,5,4,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,LOSS,1674,2,3,1,2,0,0,0,7,1,0,1,2,3,4.0
True,2017-03-31,12,6,CLEVELAND CAVALIERS,HOME,PHILADELPHIA 76ERS,WIN,971,5,8,2,2,0,0,0,1,0,0,0,1,0,7.7
True,2017-04-02,10,2,CLEVELAND CAVALIERS,HOME,INDIANA PACERS,WIN,1128,4,7,2,5,0,0,0,7,0,0,1,0,1,9.1
True,2017-04-04,0,-12,CLEVELAND CAVALIERS,HOME,ORLANDO MAGIC,WIN,598,0,2,0,2,0,0,0,3,0,3,0,0,1,2.1
True,2017-04-05,10,7,CLEVELAND CAVALIERS,AWAY,BOSTON CELTICS,WIN,1033,3,7,2,6,2,2,3,5,1,2,0,1,3,10.4
True,2017-04-07,16,8,CLEVELAND CAVALIERS,HOME,ATLANTA HAWKS,LOSS,1539,6,10,2,6,2,2,0,5,0,0,2,0,1,13.9
True,2017-04-09,12,12,CLEVELAND CAVALIERS,AWAY,ATLANTA HAWKS,LOSS,1454,5,8,2,5,0,0,1,7,0,1,2,0,2,12.8
True,2017-04-10,21,-3,CLEVELAND CAVALIERS,AWAY,MIAMI HEAT,LOSS,1980,6,10,3,5,6,6,1,6,0,1,0,2,4,16.3
True,2017-04-12,5,-2,CLEVELAND CAVALIERS,HOME,TORONTO RAPTORS,LOSS,442,2,4,1,2,0,0,0,1,0,0,0,0,0,3.3
