active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2016-10-26,22,26,SACRAMENTO KINGS,AWAY,PHOENIX SUNS,WIN,1991,9,15,1,3,3,4,0,3,2,0,4,0,1,19.4
True,2016-10-27,17,2,SACRAMENTO KINGS,HOME,SAN ANTONIO SPURS,LOSS,1941,3,10,1,3,10,12,0,7,2,2,0,1,4,13.3
True,2016-10-29,28,15,SACRAMENTO KINGS,HOME,MINNESOTA TIMBERWOLVES,WIN,1992,11,20,0,0,6,8,2,4,2,1,2,2,3,20.8
True,2016-10-31,22,0,SACRAMENTO KINGS,AWAY,ATLANTA HAWKS,LOSS,1863,8,13,1,2,5,7,0,3,5,2,0,2,5,17.7
True,2016-11-01,30,-11,SACRAMENTO KINGS,AWAY,MIAMI HEAT,LOSS,2529,11,24,2,4,6,6,0,12,1,1,0,2,2,20.1
True,2016-11-03,16,0,SACRAMENTO KINGS,AWAY,ORLANDO MAGIC,LOSS,1909,6,13,2,3,2,5,0,2,2,1,0,3,3,6.9
True,2016-11-06,23,13,SACRAMENTO KINGS,AWAY,TORONTO RAPTORS,WIN,2122,9,19,2,5,3,4,2,3,1,1,0,2,3,13.7
True,2016-11-08,21,3,SACRAMENTO KINGS,HOME,NEW ORLEANS PELICANS,WIN,1950,7,16,2,4,5,5,0,6,6,2,1,0,1,20.9
True,2016-11-10,15,-8,SACRAMENTO KINGS,HOME,LOS ANGELES LAKERS,LOSS,1955,6,13,0,3,3,4,0,8,1,2,0,1,1,11.6
True,2016-11-11,29,-3,SACRAMENTO KINGS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2572,9,18,2,4,9,10,4,10,3,2,1,6,2,23.4
True,2016-11-16,11,-3,SACRAMENTO KINGS,HOME,SAN ANTONIO SPURS,LOSS,1935,3,11,1,2,4,4,1,2,3,0,1,2,1,6.2
True,2016-11-18,9,5,SACRAMENTO KINGS,HOME,LOS ANGELES CLIPPERS,LOSS,1989,3,11,0,2,3,4,0,3,3,2,0,4,5,1.1
True,2016-11-20,23,14,SACRAMENTO KINGS,HOME,TORONTO RAPTORS,WIN,2180,9,13,1,1,4,4,0,9,4,1,3,4,3,20.9
True,2016-11-23,17,-3,SACRAMENTO KINGS,HOME,OKLAHOMA CITY THUNDER,WIN,2016,6,15,3,6,2,2,2,7,4,0,0,2,3,12.0
True,2016-11-25,10,-14,SACRAMENTO KINGS,HOME,HOUSTON ROCKETS,LOSS,2213,4,12,0,4,2,2,0,4,3,3,0,0,1,9.1
True,2016-11-27,22,8,SACRAMENTO KINGS,AWAY,BROOKLYN NETS,WIN,1897,8,15,3,5,3,4,4,4,8,1,1,2,1,23.2
True,2016-11-28,18,-9,SACRAMENTO KINGS,AWAY,WASHINGTON WIZARDS,LOSS,2291,7,16,1,4,3,3,2,3,2,2,1,6,5,8.0
True,2016-12-02,13,-12,SACRAMENTO KINGS,AWAY,BOSTON CELTICS,LOSS,2091,6,14,1,7,0,0,0,8,3,1,0,6,3,3.9
True,2016-12-04,22,4,SACRAMENTO KINGS,AWAY,NEW YORK KNICKS,LOSS,2074,7,18,2,6,6,6,2,7,4,3,0,3,3,17.3
True,2016-12-07,19,35,SACRAMENTO KINGS,AWAY,DALLAS MAVERICKS,WIN,1856,8,14,1,3,2,2,1,2,4,3,0,2,1,17.1
True,2016-12-09,13,-8,SACRAMENTO KINGS,HOME,NEW YORK KNICKS,LOSS,2081,4,15,0,5,5,6,0,5,1,1,0,0,5,4.9
True,2016-12-10,20,-4,SACRAMENTO KINGS,AWAY,UTAH JAZZ,LOSS,1965,7,15,3,4,3,4,0,5,3,2,0,1,2,15.7
True,2016-12-12,7,8,SACRAMENTO KINGS,HOME,LOS ANGELES LAKERS,WIN,839,2,6,0,3,3,3,0,5,2,2,1,0,0,9.2
True,2016-12-26,17,8,SACRAMENTO KINGS,HOME,PHILADELPHIA 76ERS,WIN,2130,7,16,1,4,2,2,2,7,2,0,1,4,1,9.8
True,2017-01-06,18,0,SACRAMENTO KINGS,HOME,LOS ANGELES CLIPPERS,LOSS,1995,7,17,1,6,3,3,1,6,1,0,0,0,0,12.1
True,2017-01-08,23,-15,SACRAMENTO KINGS,HOME,GOLDEN STATE WARRIORS,LOSS,2128,9,17,2,6,3,4,0,1,3,2,2,4,3,14.9
True,2017-01-10,11,10,SACRAMENTO KINGS,HOME,DETROIT PISTONS,WIN,2278,3,11,1,2,4,4,2,5,4,3,1,7,5,4.9
True,2017-01-13,23,-12,SACRAMENTO KINGS,HOME,CLEVELAND CAVALIERS,LOSS,2111,8,14,3,3,4,5,5,5,2,0,4,2,5,21.2
True,2017-01-15,22,10,SACRAMENTO KINGS,HOME,OKLAHOMA CITY THUNDER,LOSS,2188,6,18,2,5,8,9,2,8,2,2,2,3,4,15.4
True,2017-01-18,21,9,SACRAMENTO KINGS,HOME,INDIANA PACERS,LOSS,1697,8,13,3,4,2,2,3,1,0,2,1,3,3,16.0
