active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2016-10-25,4,-3,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,LOSS,566,2,3,0,0,0,0,1,0,0,0,0,1,1,2.0
True,2016-10-29,4,-10,NEW YORK KNICKS,HOME,MEMPHIS GRIZZLIES,WIN,471,2,3,0,0,0,2,1,1,0,0,0,2,0,0.9
True,2016-11-01,0,-2,NEW YORK KNICKS,AWAY,DETROIT PISTONS,LOSS,303,0,0,0,0,0,0,0,1,0,1,0,1,1,-0.1
True,2016-11-09,14,15,NEW YORK KNICKS,HOME,BROOKLYN NETS,WIN,891,6,7,0,0,2,2,2,4,0,1,2,1,2,14.7
True,2016-11-11,8,-24,NEW YORK KNICKS,AWAY,BOSTON CELTICS,LOSS,1412,4,13,0,0,0,0,6,6,3,2,1,5,5,4.3
True,2016-11-12,0,-5,NEW YORK KNICKS,AWAY,TORONTO RAPTORS,LOSS,245,0,0,0,0,0,0,0,1,0,0,0,1,0,-0.7
True,2016-11-14,4,4,NEW YORK KNICKS,HOME,DALLAS MAVERICKS,WIN,799,2,6,0,0,0,0,2,4,0,1,0,0,1,3.8
True,2016-11-16,2,-7,NEW YORK KNICKS,HOME,DETROIT PISTONS,WIN,236,1,2,0,0,0,0,1,1,0,0,0,0,0,2.0
True,2016-11-17,5,-1,NEW YORK KNICKS,AWAY,WASHINGTON WIZARDS,LOSS,615,2,2,0,0,1,2,0,1,0,0,1,0,0,5.0
True,2016-11-20,7,11,NEW YORK KNICKS,HOME,ATLANTA HAWKS,WIN,1760,3,4,0,0,1,3,2,6,1,0,0,3,3,4.3
True,2016-11-22,9,6,NEW YORK KNICKS,HOME,PORTLAND TRAIL BLAZERS,WIN,1242,4,5,0,0,1,1,0,4,0,0,0,4,3,3.1
True,2016-11-25,6,16,NEW YORK KNICKS,HOME,CHARLOTTE HORNETS,WIN,1184,3,5,0,0,0,0,2,7,2,0,1,4,3,4.1
True,2016-11-26,8,-8,NEW YORK KNICKS,AWAY,CHARLOTTE HORNETS,LOSS,1018,4,5,0,0,0,0,3,5,1,0,1,3,4,6.5
True,2016-11-28,8,-3,NEW YORK KNICKS,HOME,OKLAHOMA CITY THUNDER,LOSS,867,3,5,0,0,2,2,1,1,3,2,0,0,2,10.0
True,2016-11-30,6,-7,NEW YORK KNICKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,499,2,2,0,0,2,2,1,1,1,0,0,1,2,5.3
True,2016-12-02,6,-12,NEW YORK KNICKS,HOME,MINNESOTA TIMBERWOLVES,WIN,999,3,6,0,0,0,0,1,3,1,0,0,2,2,2.5
True,2016-12-04,4,12,NEW YORK KNICKS,HOME,SACRAMENTO KINGS,WIN,718,1,1,0,0,2,2,0,4,3,0,1,0,1,7.3
True,2016-12-06,0,-1,NEW YORK KNICKS,AWAY,MIAMI HEAT,WIN,203,0,0,0,0,0,0,0,2,0,0,1,0,0,1.3
True,2016-12-07,9,-1,NEW YORK KNICKS,HOME,CLEVELAND CAVALIERS,LOSS,899,2,5,1,1,4,4,4,3,0,1,0,0,0,11.0
True,2016-12-11,6,3,NEW YORK KNICKS,AWAY,LOS ANGELES LAKERS,WIN,1194,3,8,0,1,0,0,4,8,1,1,2,0,3,8.7
True,2016-12-15,8,9,NEW YORK KNICKS,AWAY,GOLDEN STATE WARRIORS,LOSS,1247,4,8,0,0,0,2,1,9,2,0,1,0,0,8.7
True,2016-12-17,17,7,NEW YORK KNICKS,AWAY,DENVER NUGGETS,LOSS,1693,5,8,0,0,7,8,2,7,2,0,2,1,4,16.7
True,2016-12-20,0,-4,NEW YORK KNICKS,HOME,INDIANA PACERS,WIN,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2016-12-22,15,1,NEW YORK KNICKS,HOME,ORLANDO MAGIC,WIN,1279,7,11,1,3,0,0,3,2,0,0,0,1,3,10.6
True,2016-12-25,0,-10,NEW YORK KNICKS,HOME,BOSTON CELTICS,LOSS,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2016-12-28,0,-1,NEW YORK KNICKS,AWAY,ATLANTA HAWKS,LOSS,582,0,1,0,0,0,0,1,1,1,0,0,1,1,-0.4
True,2016-12-30,2,-6,NEW YORK KNICKS,AWAY,NEW ORLEANS PELICANS,LOSS,394,1,1,0,0,0,0,1,1,0,0,0,1,1,1.3
True,2016-12-31,3,4,NEW YORK KNICKS,AWAY,HOUSTON ROCKETS,LOSS,1169,1,5,0,1,1,2,3,7,0,0,1,1,1,3.0
True,2017-01-02,4,-1,NEW YORK KNICKS,HOME,ORLANDO MAGIC,LOSS,948,2,3,0,0,0,2,1,2,2,0,0,3,0,1.6
True,2017-01-04,0,1,NEW YORK KNICKS,HOME,MILWAUKEE BUCKS,LOSS,163,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.4
True,2017-01-07,8,3,NEW YORK KNICKS,AWAY,INDIANA PACERS,LOSS,1109,3,9,1,3,1,1,0,4,0,0,2,1,0,4.5
True,2017-01-09,6,10,NEW YORK KNICKS,HOME,NEW ORLEANS PELICANS,LOSS,796,3,4,0,0,0,0,2,2,3,0,0,2,0,6.5
True,2017-01-11,0,2,NEW YORK KNICKS,AWAY,PHILADELPHIA 76ERS,LOSS,174,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.8
True,2017-01-12,0,1,NEW YORK KNICKS,HOME,CHICAGO BULLS,WIN,408,0,0,0,0,0,0,0,0,0,0,0,1,2,-1.8
True,2017-01-15,8,-2,NEW YORK KNICKS,AWAY,TORONTO RAPTORS,LOSS,1252,3,7,0,1,2,3,5,9,0,0,1,3,2,7.0
True,2017-01-18,17,9,NEW YORK KNICKS,AWAY,BOSTON CELTICS,WIN,1175,8,13,0,0,1,1,4,7,1,0,0,1,2,14.9
True,2017-01-21,6,13,NEW YORK KNICKS,HOME,PHOENIX SUNS,LOSS,835,2,4,0,0,2,2,0,8,1,0,0,1,2,5.3
True,2017-01-23,14,12,NEW YORK KNICKS,AWAY,INDIANA PACERS,WIN,1463,5,8,0,0,4,4,2,8,2,1,2,0,1,17.6
True,2017-01-25,8,0,NEW YORK KNICKS,AWAY,DALLAS MAVERICKS,LOSS,1458,4,9,0,0,0,0,6,10,0,3,0,0,2,12.7
True,2017-01-27,4,-3,NEW YORK KNICKS,HOME,CHARLOTTE HORNETS,WIN,910,2,5,0,0,0,0,4,3,3,0,0,2,2,4.3
True,2017-01-29,0,-8,NEW YORK KNICKS,AWAY,ATLANTA HAWKS,LOSS,192,0,1,0,0,0,0,0,0,0,0,0,0,2,-1.5
True,2017-01-31,15,-18,NEW YORK KNICKS,AWAY,WASHINGTON WIZARDS,LOSS,1890,5,12,0,0,5,5,6,8,4,0,0,1,4,15.4
