active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2016-10-26,6,-14,NEW ORLEANS PELICANS,HOME,DENVER NUGGETS,LOSS,1064,2,6,0,1,2,2,1,2,1,3,0,0,0,7.6
True,2016-10-28,7,-8,NEW ORLEANS PELICANS,HOME,GOLDEN STATE WARRIORS,LOSS,758,3,5,0,1,1,2,1,1,2,0,0,0,1,6.3
True,2016-10-29,4,-10,NEW ORLEANS PELICANS,AWAY,SAN ANTONIO SPURS,LOSS,843,2,7,0,3,0,0,0,4,0,1,0,1,0,1.1
True,2016-11-02,7,4,NEW ORLEANS PELICANS,AWAY,MEMPHIS GRIZZLIES,LOSS,1699,3,8,1,3,0,0,2,8,2,0,2,4,1,4.8
True,2016-11-04,19,-3,NEW ORLEANS PELICANS,HOME,PHOENIX SUNS,LOSS,1681,9,14,1,3,0,4,2,5,6,2,4,1,0,22.1
True,2016-11-07,4,-12,NEW ORLEANS PELICANS,AWAY,GOLDEN STATE WARRIORS,LOSS,893,2,5,0,2,0,0,0,1,0,1,0,3,2,-1.2
True,2016-11-08,7,-1,NEW ORLEANS PELICANS,AWAY,SACRAMENTO KINGS,LOSS,1556,3,6,0,0,1,2,1,4,1,3,2,1,3,8.4
True,2016-11-10,10,5,NEW ORLEANS PELICANS,AWAY,MILWAUKEE BUCKS,WIN,2010,2,6,0,1,6,6,3,4,0,0,1,0,2,9.8
True,2016-11-12,6,-15,NEW ORLEANS PELICANS,HOME,LOS ANGELES LAKERS,LOSS,1285,2,7,0,2,2,3,1,3,1,0,0,1,1,2.4
True,2016-11-14,15,5,NEW ORLEANS PELICANS,HOME,BOSTON CELTICS,WIN,1771,7,12,0,1,1,3,3,7,1,1,2,0,2,15.1
True,2016-11-16,26,-3,NEW ORLEANS PELICANS,AWAY,ORLANDO MAGIC,LOSS,2251,9,20,2,4,6,7,0,9,2,0,1,1,2,18.2
True,2016-11-18,15,7,NEW ORLEANS PELICANS,HOME,PORTLAND TRAIL BLAZERS,WIN,1859,6,10,2,3,1,2,0,7,2,2,4,2,0,16.3
True,2016-11-19,7,1,NEW ORLEANS PELICANS,HOME,CHARLOTTE HORNETS,WIN,1228,2,8,0,2,3,4,0,4,1,1,1,1,3,3.2
True,2016-11-22,17,17,NEW ORLEANS PELICANS,AWAY,ATLANTA HAWKS,WIN,1681,7,13,0,2,3,4,0,6,1,1,1,0,2,13.7
True,2016-11-23,17,8,NEW ORLEANS PELICANS,HOME,MINNESOTA TIMBERWOLVES,WIN,1417,7,10,0,1,3,4,1,6,1,1,1,1,1,15.9
True,2016-11-25,11,4,NEW ORLEANS PELICANS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1828,4,10,2,4,1,2,0,3,2,0,0,1,0,6.5
True,2016-11-27,0,3,NEW ORLEANS PELICANS,AWAY,DALLAS MAVERICKS,LOSS,774,0,5,0,1,0,0,0,2,0,2,0,0,2,-1.7
True,2016-11-29,6,8,NEW ORLEANS PELICANS,HOME,LOS ANGELES LAKERS,WIN,1532,2,7,0,3,2,2,1,7,0,0,0,1,2,2.9
True,2016-12-02,14,-2,NEW ORLEANS PELICANS,HOME,LOS ANGELES CLIPPERS,LOSS,1754,5,10,0,1,4,7,2,6,1,1,1,0,2,12.6
True,2016-12-04,9,2,NEW ORLEANS PELICANS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1503,4,6,0,0,1,2,1,6,0,0,1,2,2,6.4
True,2016-12-05,10,1,NEW ORLEANS PELICANS,HOME,MEMPHIS GRIZZLIES,LOSS,1901,4,11,0,0,2,2,1,7,1,0,1,1,1,6.7
True,2016-12-08,6,-3,NEW ORLEANS PELICANS,HOME,PHILADELPHIA 76ERS,LOSS,1120,2,4,0,2,2,4,0,3,0,0,0,1,1,2.7
True,2016-12-10,18,-13,NEW ORLEANS PELICANS,AWAY,LOS ANGELES CLIPPERS,LOSS,1543,7,9,2,3,2,4,1,4,0,0,0,3,4,11.0
True,2016-12-11,6,9,NEW ORLEANS PELICANS,AWAY,PHOENIX SUNS,WIN,1504,2,9,1,3,1,2,2,4,3,0,1,1,0,4.5
True,2016-12-13,8,10,NEW ORLEANS PELICANS,HOME,GOLDEN STATE WARRIORS,LOSS,1286,4,6,0,1,0,0,1,9,0,1,2,1,0,10.2
True,2016-12-15,10,9,NEW ORLEANS PELICANS,HOME,INDIANA PACERS,WIN,1535,4,9,0,0,2,4,2,9,1,1,2,1,0,10.7
True,2016-12-16,16,-17,NEW ORLEANS PELICANS,AWAY,HOUSTON ROCKETS,LOSS,1737,7,14,0,2,2,6,3,5,1,0,1,1,2,10.6
True,2016-12-18,9,-14,NEW ORLEANS PELICANS,AWAY,SAN ANTONIO SPURS,LOSS,1042,3,5,0,0,3,6,1,1,0,1,2,0,2,8.1
True,2016-12-20,17,19,NEW ORLEANS PELICANS,AWAY,PHILADELPHIA 76ERS,WIN,1795,6,15,0,0,5,8,4,6,3,0,0,2,2,11.6
True,2016-12-21,21,-10,NEW ORLEANS PELICANS,HOME,OKLAHOMA CITY THUNDER,LOSS,2016,9,17,0,1,3,5,0,2,1,1,1,1,0,13.9
True,2016-12-26,5,-1,NEW ORLEANS PELICANS,HOME,DALLAS MAVERICKS,WIN,745,1,3,0,1,3,4,0,3,0,0,1,1,0,3.5
True,2016-12-28,10,4,NEW ORLEANS PELICANS,HOME,LOS ANGELES CLIPPERS,WIN,1358,4,12,0,1,2,5,3,2,2,1,0,0,2,6.3
True,2016-12-30,5,10,NEW ORLEANS PELICANS,HOME,NEW YORK KNICKS,WIN,1084,2,6,0,0,1,1,0,4,1,0,2,1,0,3.9
True,2017-01-02,6,-8,NEW ORLEANS PELICANS,AWAY,CLEVELAND CAVALIERS,LOSS,1092,2,5,0,0,2,2,0,3,2,1,0,1,0,5.6
True,2017-01-05,12,-2,NEW ORLEANS PELICANS,HOME,ATLANTA HAWKS,LOSS,1797,6,12,0,0,0,1,4,7,1,1,3,3,0,11.3
True,2017-01-07,4,-2,NEW ORLEANS PELICANS,AWAY,BOSTON CELTICS,LOSS,954,2,5,0,1,0,0,0,1,0,0,0,0,0,1.6
