active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2016-10-28,2,6,DALLAS MAVERICKS,HOME,HOUSTON ROCKETS,LOSS,86,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7
True,2016-10-30,6,-12,DALLAS MAVERICKS,AWAY,HOUSTON ROCKETS,LOSS,1004,3,3,0,0,0,0,5,2,0,0,2,1,3,8.4
True,2016-11-02,0,3,DALLAS MAVERICKS,AWAY,UTAH JAZZ,LOSS,322,0,0,0,0,0,0,0,1,0,0,1,0,3,-0.2
True,2016-11-04,8,1,DALLAS MAVERICKS,HOME,PORTLAND TRAIL BLAZERS,LOSS,772,4,4,0,0,0,0,0,6,0,0,0,0,3,7.4
True,2016-11-06,4,4,DALLAS MAVERICKS,HOME,MILWAUKEE BUCKS,WIN,782,2,4,0,0,0,0,1,5,1,1,1,2,4,3.0
True,2016-11-09,5,-14,DALLAS MAVERICKS,AWAY,GOLDEN STATE WARRIORS,LOSS,864,2,2,0,0,1,1,0,5,0,0,0,0,2,5.1
True,2016-11-14,2,-3,DALLAS MAVERICKS,AWAY,NEW YORK KNICKS,LOSS,638,0,0,0,0,2,2,0,0,0,0,2,0,1,3.0
True,2016-11-18,0,0,DALLAS MAVERICKS,HOME,MEMPHIS GRIZZLIES,LOSS,681,0,1,0,0,0,2,1,2,0,0,1,0,1,0.1
True,2016-11-19,0,-6,DALLAS MAVERICKS,AWAY,ORLANDO MAGIC,LOSS,99,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2016-11-21,8,-2,DALLAS MAVERICKS,AWAY,SAN ANTONIO SPURS,LOSS,1921,4,5,0,0,0,0,1,10,1,4,1,2,5,11.2
True,2016-11-23,1,3,DALLAS MAVERICKS,HOME,LOS ANGELES CLIPPERS,LOSS,296,0,1,0,0,1,2,2,1,1,1,0,0,2,2.5
True,2016-11-25,0,-14,DALLAS MAVERICKS,AWAY,CLEVELAND CAVALIERS,LOSS,371,0,1,0,0,0,0,0,1,1,0,2,0,0,1.7
True,2016-11-30,0,-5,DALLAS MAVERICKS,HOME,SAN ANTONIO SPURS,LOSS,347,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.1
True,2016-12-01,3,-13,DALLAS MAVERICKS,AWAY,CHARLOTTE HORNETS,LOSS,1640,1,4,0,0,1,2,5,6,0,1,1,2,5,3.2
True,2016-12-03,0,5,DALLAS MAVERICKS,HOME,CHICAGO BULLS,WIN,156,0,2,0,2,0,0,1,1,0,0,0,0,0,-0.4
True,2016-12-05,0,-1,DALLAS MAVERICKS,HOME,CHARLOTTE HORNETS,LOSS,473,0,0,0,0,0,0,0,1,1,0,0,2,2,-1.8
True,2016-12-07,2,-6,DALLAS MAVERICKS,HOME,SACRAMENTO KINGS,LOSS,675,1,3,0,0,0,0,3,4,0,0,0,1,4,1.0
True,2016-12-09,6,17,DALLAS MAVERICKS,HOME,INDIANA PACERS,WIN,1616,3,4,0,0,0,0,1,4,0,4,1,0,0,11.0
True,2016-12-10,0,-12,DALLAS MAVERICKS,AWAY,HOUSTON ROCKETS,LOSS,690,0,1,0,0,0,0,1,2,0,1,1,1,3,0.1
True,2016-12-12,7,15,DALLAS MAVERICKS,HOME,DENVER NUGGETS,WIN,1329,3,3,0,0,1,2,4,4,1,1,4,1,2,12.4
True,2016-12-14,4,6,DALLAS MAVERICKS,HOME,DETROIT PISTONS,LOSS,1612,2,4,0,0,0,0,1,7,0,2,3,2,3,5.7
True,2016-12-16,7,3,DALLAS MAVERICKS,AWAY,UTAH JAZZ,LOSS,1273,3,3,0,0,1,1,2,3,1,0,0,0,5,7.1
True,2016-12-18,0,5,DALLAS MAVERICKS,HOME,SACRAMENTO KINGS,WIN,1395,0,0,0,0,0,0,1,6,0,0,3,0,1,4.2
True,2016-12-19,2,-8,DALLAS MAVERICKS,AWAY,DENVER NUGGETS,LOSS,792,1,1,0,0,0,1,0,2,0,0,0,0,4,0.3
True,2016-12-21,2,7,DALLAS MAVERICKS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1455,1,1,0,0,0,0,1,5,1,1,3,1,5,4.7
True,2016-12-23,5,-12,DALLAS MAVERICKS,AWAY,LOS ANGELES CLIPPERS,WIN,1271,1,1,0,0,3,5,5,3,1,0,1,1,0,8.7
True,2016-12-26,0,5,DALLAS MAVERICKS,AWAY,NEW ORLEANS PELICANS,LOSS,955,0,0,0,0,0,0,0,5,0,1,0,0,4,0.9
True,2016-12-27,0,-5,DALLAS MAVERICKS,HOME,HOUSTON ROCKETS,LOSS,308,0,0,0,0,0,0,2,2,0,0,1,1,3,0.5
True,2016-12-29,4,1,DALLAS MAVERICKS,AWAY,LOS ANGELES LAKERS,WIN,720,2,2,0,0,0,0,3,3,0,0,1,0,0,7.1
True,2016-12-30,0,-6,DALLAS MAVERICKS,AWAY,GOLDEN STATE WARRIORS,LOSS,183,0,0,0,0,0,0,1,1,0,0,0,1,0,0.0
True,2017-01-03,0,-2,DALLAS MAVERICKS,HOME,WASHINGTON WIZARDS,WIN,232,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.1
True,2017-01-07,0,-2,DALLAS MAVERICKS,HOME,ATLANTA HAWKS,LOSS,140,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2017-01-09,2,0,DALLAS MAVERICKS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,608,1,2,0,0,0,0,0,3,0,0,0,0,2,1.1
True,2017-01-12,4,2,DALLAS MAVERICKS,AWAY,PHOENIX SUNS,WIN,973,2,2,0,0,0,0,2,5,0,2,2,1,3,7.5
True,2017-01-15,4,2,DALLAS MAVERICKS,HOME,MINNESOTA TIMBERWOLVES,WIN,1106,2,3,0,0,0,0,3,5,0,0,1,1,5,4.0
True,2017-01-17,3,1,DALLAS MAVERICKS,AWAY,CHICAGO BULLS,WIN,1119,1,2,0,0,1,2,3,2,1,0,0,1,5,2.0
True,2017-01-19,4,-3,DALLAS MAVERICKS,AWAY,MIAMI HEAT,LOSS,1160,2,2,0,0,0,0,0,3,0,1,1,2,2,3.2
True,2017-01-20,0,0,DALLAS MAVERICKS,HOME,UTAH JAZZ,LOSS,713,0,1,0,0,0,0,1,1,0,1,1,0,2,1.2
True,2017-01-22,2,5,DALLAS MAVERICKS,HOME,LOS ANGELES LAKERS,WIN,902,0,1,0,0,2,2,1,4,0,0,2,2,3,1.4
True,2017-01-26,3,-10,DALLAS MAVERICKS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1004,1,2,0,0,1,2,3,3,0,0,0,1,5,1.6
True,2017-01-29,0,-2,DALLAS MAVERICKS,AWAY,SAN ANTONIO SPURS,WIN,461,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2017-01-30,0,-6,DALLAS MAVERICKS,HOME,CLEVELAND CAVALIERS,WIN,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2017-02-01,16,18,DALLAS MAVERICKS,HOME,PHILADELPHIA 76ERS,WIN,1263,7,9,0,0,2,4,8,9,0,1,1,1,2,19.9
True,2017-02-03,4,-4,DALLAS MAVERICKS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1055,0,0,0,0,4,4,1,4,0,0,3,0,3,6.8
True,2017-02-06,2,-4,DALLAS MAVERICKS,AWAY,DENVER NUGGETS,LOSS,410,1,1,0,0,0,0,0,1,0,0,0,1,0,1.0
True,2017-02-07,6,0,DALLAS MAVERICKS,HOME,PORTLAND TRAIL BLAZERS,LOSS,909,2,2,0,0,2,2,1,4,0,0,3,0,3,8.2
True,2017-02-09,6,2,DALLAS MAVERICKS,HOME,UTAH JAZZ,WIN,891,3,4,0,0,0,0,1,1,0,1,3,0,0,8.5
True,2017-02-11,4,21,DALLAS MAVERICKS,HOME,ORLANDO MAGIC,WIN,1166,2,3,0,0,0,0,4,11,1,1,2,1,5,8.9
True,2017-02-13,2,0,DALLAS MAVERICKS,HOME,BOSTON CELTICS,LOSS,812,1,2,0,0,0,0,3,7,0,1,1,1,1,5.5
True,2017-02-15,0,-11,DALLAS MAVERICKS,AWAY,DETROIT PISTONS,LOSS,282,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2017-02-24,5,-2,DALLAS MAVERICKS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1162,2,4,0,0,1,2,1,6,0,1,2,1,5,4.5
True,2017-02-25,0,5,DALLAS MAVERICKS,HOME,NEW ORLEANS PELICANS,WIN,335,0,0,0,0,0,0,0,0,0,0,0,1,6,-3.4
True,2017-02-27,0,7,DALLAS MAVERICKS,HOME,MIAMI HEAT,WIN,153,0,1,0,0,0,0,3,1,1,0,0,0,0,2.4
True,2017-03-01,1,9,DALLAS MAVERICKS,AWAY,ATLANTA HAWKS,LOSS,767,0,0,0,0,1,2,1,2,0,3,2,1,2,4.5
True,2017-03-03,4,-1,DALLAS MAVERICKS,HOME,MEMPHIS GRIZZLIES,WIN,614,2,2,0,0,0,0,1,2,0,0,1,2,4,1.8
