active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2016-10-26,14,2,MILWAUKEE BUCKS,HOME,CHARLOTTE HORNETS,LOSS,1760,5,13,0,0,4,5,5,5,3,1,3,1,0,15.7
True,2016-10-29,11,14,MILWAUKEE BUCKS,HOME,BROOKLYN NETS,WIN,1139,3,7,0,0,5,5,1,2,3,4,0,2,0,12.7
True,2016-10-30,11,-10,MILWAUKEE BUCKS,AWAY,DETROIT PISTONS,LOSS,1066,4,9,0,0,3,3,1,4,0,2,0,1,2,8.4
True,2016-11-01,6,1,MILWAUKEE BUCKS,AWAY,NEW ORLEANS PELICANS,WIN,1054,2,6,0,0,2,2,4,8,6,0,1,2,4,9.1
True,2016-11-03,16,0,MILWAUKEE BUCKS,HOME,INDIANA PACERS,WIN,1539,6,11,0,0,4,5,6,10,7,0,1,1,2,21.3
True,2016-11-05,6,16,MILWAUKEE BUCKS,HOME,SACRAMENTO KINGS,WIN,832,2,4,0,0,2,2,0,3,2,1,1,1,3,5.8
True,2016-11-06,14,-1,MILWAUKEE BUCKS,AWAY,DALLAS MAVERICKS,LOSS,1735,5,10,0,0,4,4,1,11,1,3,0,5,2,10.9
True,2016-11-10,8,-5,MILWAUKEE BUCKS,HOME,NEW ORLEANS PELICANS,LOSS,1176,3,5,0,0,2,2,1,2,2,1,0,1,1,8.0
True,2016-11-12,7,8,MILWAUKEE BUCKS,HOME,MEMPHIS GRIZZLIES,WIN,1285,2,3,0,0,3,4,1,6,3,2,0,2,3,8.7
True,2016-11-16,4,-7,MILWAUKEE BUCKS,AWAY,ATLANTA HAWKS,LOSS,442,1,4,0,0,2,2,2,1,0,0,0,0,0,3.3
True,2016-11-19,2,-6,MILWAUKEE BUCKS,HOME,GOLDEN STATE WARRIORS,LOSS,125,1,2,0,0,0,0,0,0,1,0,0,0,0,1.7
True,2016-11-21,2,9,MILWAUKEE BUCKS,HOME,ORLANDO MAGIC,WIN,506,1,4,0,0,0,0,0,2,0,1,1,0,1,1.5
True,2016-11-25,8,-1,MILWAUKEE BUCKS,HOME,TORONTO RAPTORS,LOSS,1139,4,8,0,0,0,0,4,6,1,0,0,1,3,7.1
True,2016-11-27,11,7,MILWAUKEE BUCKS,AWAY,ORLANDO MAGIC,WIN,994,4,6,0,0,3,4,2,5,1,1,0,0,2,11.8
True,2016-11-29,14,23,MILWAUKEE BUCKS,HOME,CLEVELAND CAVALIERS,WIN,1541,6,8,0,0,2,2,3,3,4,2,1,3,2,15.5
True,2016-12-01,2,8,MILWAUKEE BUCKS,AWAY,BROOKLYN NETS,WIN,1187,1,4,0,0,0,0,3,3,2,1,1,3,2,1.9
