active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2016-10-27,5,-10,WASHINGTON WIZARDS,AWAY,ATLANTA HAWKS,LOSS,1332,1,6,1,4,2,4,0,1,1,1,0,0,1,2.0
True,2016-10-30,5,-4,WASHINGTON WIZARDS,AWAY,MEMPHIS GRIZZLIES,LOSS,872,2,4,0,2,1,1,1,1,1,0,0,2,0,2.7
True,2016-11-02,0,-9,WASHINGTON WIZARDS,HOME,TORONTO RAPTORS,LOSS,426,0,0,0,0,0,0,0,0,0,1,0,1,2,-0.8
True,2016-11-05,5,-8,WASHINGTON WIZARDS,AWAY,ORLANDO MAGIC,LOSS,1029,2,5,1,1,0,0,0,0,0,0,0,0,1,1.9
True,2016-11-07,10,4,WASHINGTON WIZARDS,HOME,HOUSTON ROCKETS,LOSS,828,3,7,2,3,2,2,1,0,0,0,0,0,2,6.2
True,2016-11-09,0,4,WASHINGTON WIZARDS,HOME,BOSTON CELTICS,WIN,179,0,0,0,0,0,0,0,2,0,0,0,0,1,0.2
True,2016-11-11,10,1,WASHINGTON WIZARDS,HOME,CLEVELAND CAVALIERS,LOSS,1276,5,8,0,1,0,0,0,6,0,1,1,1,4,7.3
True,2016-11-12,3,-6,WASHINGTON WIZARDS,AWAY,CHICAGO BULLS,LOSS,550,1,2,1,2,0,0,0,1,0,0,0,0,3,1.1
True,2016-11-16,2,-5,WASHINGTON WIZARDS,AWAY,PHILADELPHIA 76ERS,LOSS,229,1,2,0,0,0,0,0,0,0,0,0,0,0,1.0
True,2016-11-17,8,-14,WASHINGTON WIZARDS,HOME,NEW YORK KNICKS,WIN,1360,3,6,2,4,0,0,0,3,1,0,0,1,2,4.8
True,2016-11-19,2,7,WASHINGTON WIZARDS,HOME,MIAMI HEAT,LOSS,886,1,6,0,2,0,0,2,2,0,1,0,2,3,-2.0
True,2016-11-21,5,4,WASHINGTON WIZARDS,HOME,PHOENIX SUNS,WIN,1514,2,5,0,2,1,4,0,4,2,0,0,0,1,3.3
True,2016-11-25,0,-10,WASHINGTON WIZARDS,AWAY,ORLANDO MAGIC,WIN,874,0,3,0,2,0,0,2,1,0,1,0,0,2,-0.2
True,2016-11-26,1,-4,WASHINGTON WIZARDS,HOME,SAN ANTONIO SPURS,LOSS,156,0,1,0,1,1,2,0,1,0,0,0,0,0,0.2
True,2016-11-28,10,2,WASHINGTON WIZARDS,HOME,SACRAMENTO KINGS,WIN,1416,2,3,0,1,6,6,4,7,2,2,0,1,2,15.2
True,2016-11-30,12,5,WASHINGTON WIZARDS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1676,4,6,2,3,2,2,0,6,1,1,0,1,2,11.1
True,2016-12-02,4,-16,WASHINGTON WIZARDS,AWAY,SAN ANTONIO SPURS,LOSS,760,2,4,0,1,0,0,0,1,2,0,0,2,2,0.9
True,2016-12-05,10,-11,WASHINGTON WIZARDS,AWAY,BROOKLYN NETS,WIN,1069,3,8,2,5,2,2,1,4,0,1,0,1,3,6.3
True,2016-12-06,3,-2,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,1266,1,4,1,2,0,0,1,4,0,0,0,0,3,1.3
True,2016-12-08,8,11,WASHINGTON WIZARDS,HOME,DENVER NUGGETS,WIN,1514,4,9,0,2,0,0,2,3,2,2,0,0,4,7.4
True,2016-12-10,19,7,WASHINGTON WIZARDS,HOME,MILWAUKEE BUCKS,WIN,1749,7,11,3,6,2,2,1,8,1,3,0,0,4,19.3
True,2016-12-12,6,-6,WASHINGTON WIZARDS,AWAY,MIAMI HEAT,LOSS,1469,2,5,0,2,2,2,1,4,0,1,0,1,2,4.4
True,2016-12-14,15,2,WASHINGTON WIZARDS,HOME,CHARLOTTE HORNETS,WIN,2423,7,12,1,4,0,1,0,4,1,2,0,1,2,11.1
True,2016-12-16,7,5,WASHINGTON WIZARDS,HOME,DETROIT PISTONS,WIN,2022,1,6,0,3,5,6,0,6,0,1,0,0,3,4.4
True,2016-12-19,5,-8,WASHINGTON WIZARDS,AWAY,INDIANA PACERS,LOSS,1135,2,8,0,2,1,2,4,3,1,0,1,0,3,3.7
True,2016-12-21,4,2,WASHINGTON WIZARDS,AWAY,CHICAGO BULLS,WIN,1321,1,4,0,2,2,2,1,4,0,1,0,2,5,0.5
True,2016-12-23,5,-15,WASHINGTON WIZARDS,AWAY,MILWAUKEE BUCKS,LOSS,837,2,4,1,3,0,0,0,3,0,1,0,0,1,4.5
True,2016-12-26,5,-4,WASHINGTON WIZARDS,HOME,MILWAUKEE BUCKS,WIN,1043,2,6,1,4,0,0,1,1,3,1,0,1,2,3.9
True,2016-12-28,2,1,WASHINGTON WIZARDS,HOME,INDIANA PACERS,WIN,1262,1,3,0,1,0,0,0,2,1,0,0,3,3,-2.6
True,2016-12-30,3,5,WASHINGTON WIZARDS,HOME,BROOKLYN NETS,WIN,758,1,3,0,1,1,1,0,1,0,0,1,2,1,-0.1
True,2017-01-02,0,-11,WASHINGTON WIZARDS,AWAY,HOUSTON ROCKETS,LOSS,1383,0,4,0,1,0,0,1,6,0,2,0,0,3,0.5
True,2017-01-03,8,-8,WASHINGTON WIZARDS,AWAY,DALLAS MAVERICKS,LOSS,1526,3,5,2,4,0,0,0,3,2,0,0,0,3,6.8
True,2017-01-06,6,-1,WASHINGTON WIZARDS,HOME,MINNESOTA TIMBERWOLVES,WIN,822,2,4,2,3,0,0,0,1,0,0,0,1,4,1.7
True,2017-01-08,17,5,WASHINGTON WIZARDS,AWAY,MILWAUKEE BUCKS,WIN,1503,7,14,3,7,0,0,3,2,1,1,0,1,4,11.8
True,2017-01-10,3,-5,WASHINGTON WIZARDS,HOME,CHICAGO BULLS,WIN,1401,1,6,0,3,1,2,0,5,1,1,0,1,4,-0.6
True,2017-01-11,0,-2,WASHINGTON WIZARDS,AWAY,BOSTON CELTICS,LOSS,780,0,2,0,0,0,0,0,2,0,1,1,1,1,-0.5
True,2017-01-14,6,8,WASHINGTON WIZARDS,HOME,PHILADELPHIA 76ERS,WIN,1647,3,6,0,2,0,0,0,2,0,2,0,0,1,5.2
True,2017-01-16,18,2,WASHINGTON WIZARDS,HOME,PORTLAND TRAIL BLAZERS,WIN,1666,5,8,3,4,5,5,3,1,2,0,1,2,3,15.7
True,2017-01-18,3,3,WASHINGTON WIZARDS,HOME,MEMPHIS GRIZZLIES,WIN,1183,1,3,0,2,1,1,0,4,3,0,0,1,2,2.8
True,2017-01-19,10,7,WASHINGTON WIZARDS,AWAY,NEW YORK KNICKS,WIN,1521,3,6,1,4,3,3,0,3,1,0,0,0,4,7.0
True,2017-01-21,11,3,WASHINGTON WIZARDS,AWAY,DETROIT PISTONS,LOSS,1620,5,9,1,2,0,0,2,2,0,2,0,0,2,9.9
True,2017-01-23,10,7,WASHINGTON WIZARDS,AWAY,CHARLOTTE HORNETS,WIN,1356,4,5,2,3,0,2,0,2,1,1,1,0,2,9.5
True,2017-01-24,11,10,WASHINGTON WIZARDS,HOME,BOSTON CELTICS,WIN,1780,4,10,3,6,0,0,0,3,0,1,1,1,5,5.2
True,2017-01-27,4,12,WASHINGTON WIZARDS,AWAY,ATLANTA HAWKS,WIN,1797,2,11,0,5,0,0,0,1,2,3,1,1,4,-0.1
True,2017-01-29,2,7,WASHINGTON WIZARDS,AWAY,NEW ORLEANS PELICANS,WIN,1469,1,4,0,1,0,0,2,5,0,0,0,0,4,0.9
True,2017-01-31,14,11,WASHINGTON WIZARDS,HOME,NEW YORK KNICKS,WIN,1706,5,7,2,4,2,2,0,2,0,0,0,0,4,10.1
