active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2016-11-18,6,-1,LOS ANGELES CLIPPERS,AWAY,SACRAMENTO KINGS,WIN,520,2,2,2,2,0,0,0,0,1,0,0,0,2,5.3
True,2016-11-19,5,-3,LOS ANGELES CLIPPERS,HOME,CHICAGO BULLS,WIN,511,2,4,1,3,0,0,0,0,0,0,0,0,1,2.6
True,2016-11-29,5,5,LOS ANGELES CLIPPERS,AWAY,BROOKLYN NETS,LOSS,1733,1,7,1,5,2,2,0,3,0,1,0,1,5,-0.6
True,2016-12-01,4,-2,LOS ANGELES CLIPPERS,AWAY,CLEVELAND CAVALIERS,WIN,898,1,2,0,1,2,2,0,4,1,0,0,1,5,1.9
True,2016-12-02,5,-4,LOS ANGELES CLIPPERS,AWAY,NEW ORLEANS PELICANS,WIN,530,1,2,1,2,2,2,0,0,0,0,1,1,3,2.5
True,2016-12-04,0,-7,LOS ANGELES CLIPPERS,HOME,INDIANA PACERS,LOSS,457,0,2,0,1,0,0,0,1,0,0,1,0,1,-0.8
True,2016-12-10,0,3,LOS ANGELES CLIPPERS,HOME,NEW ORLEANS PELICANS,WIN,211,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0
True,2016-12-20,7,28,LOS ANGELES CLIPPERS,HOME,DENVER NUGGETS,WIN,1087,2,6,2,5,1,2,0,1,0,0,0,2,3,0.3
True,2016-12-22,0,-1,LOS ANGELES CLIPPERS,HOME,SAN ANTONIO SPURS,WIN,622,0,3,0,2,0,0,0,0,0,0,0,0,1,-2.5
True,2016-12-23,3,3,LOS ANGELES CLIPPERS,HOME,DALLAS MAVERICKS,LOSS,641,1,2,1,2,0,0,0,3,0,0,0,1,1,1.5
True,2016-12-25,5,0,LOS ANGELES CLIPPERS,AWAY,LOS ANGELES LAKERS,LOSS,727,2,4,1,2,0,0,0,3,0,1,1,1,1,4.2
True,2016-12-31,5,-17,LOS ANGELES CLIPPERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,941,2,5,0,1,1,2,0,3,0,0,0,1,2,1.0
True,2017-02-05,3,-6,LOS ANGELES CLIPPERS,AWAY,BOSTON CELTICS,LOSS,317,1,2,1,1,0,0,0,0,0,0,0,0,0,2.0
True,2017-03-16,5,8,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,LOSS,982,2,7,1,5,0,0,0,4,0,0,0,1,0,1.1
True,2017-03-18,7,14,LOS ANGELES CLIPPERS,HOME,CLEVELAND CAVALIERS,WIN,857,3,3,1,1,0,0,1,5,3,0,1,2,1,8.7
True,2017-03-20,2,-1,LOS ANGELES CLIPPERS,HOME,NEW YORK KNICKS,WIN,665,1,2,0,1,0,0,0,2,1,0,0,0,2,1.5
True,2017-03-21,0,18,LOS ANGELES CLIPPERS,AWAY,LOS ANGELES LAKERS,WIN,443,0,0,0,0,0,0,0,2,0,0,1,0,1,0.9
True,2017-03-23,0,-1,LOS ANGELES CLIPPERS,AWAY,DALLAS MAVERICKS,LOSS,566,0,0,0,0,0,0,0,1,1,0,0,2,1,-1.4
True,2017-03-25,4,11,LOS ANGELES CLIPPERS,HOME,UTAH JAZZ,WIN,925,1,2,0,0,2,2,0,2,0,1,0,0,3,3.4
True,2017-03-26,2,-12,LOS ANGELES CLIPPERS,HOME,SACRAMENTO KINGS,LOSS,956,1,5,0,2,0,0,0,6,0,0,0,1,1,-0.7
True,2017-03-29,0,-12,LOS ANGELES CLIPPERS,HOME,WASHINGTON WIZARDS,WIN,481,0,0,0,0,0,0,0,3,0,0,0,0,2,0.1
True,2017-03-30,3,-1,LOS ANGELES CLIPPERS,AWAY,PHOENIX SUNS,WIN,588,1,2,1,1,0,0,0,2,2,0,0,1,1,2.6
True,2017-04-08,0,3,LOS ANGELES CLIPPERS,AWAY,SAN ANTONIO SPURS,WIN,463,0,1,0,1,0,0,0,1,1,0,0,0,2,-0.5
True,2017-04-10,10,6,LOS ANGELES CLIPPERS,HOME,HOUSTON ROCKETS,WIN,402,4,5,2,3,0,1,0,1,0,0,0,1,1,6.6
True,2017-04-12,0,-3,LOS ANGELES CLIPPERS,HOME,SACRAMENTO KINGS,WIN,103,0,2,0,2,0,0,0,0,0,0,0,0,0,-1.4
