active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2016-10-28,0,-1,LOS ANGELES LAKERS,AWAY,UTAH JAZZ,LOSS,114,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.1
True,2016-11-04,0,0,LOS ANGELES LAKERS,HOME,GOLDEN STATE WARRIORS,WIN,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2016-11-06,0,-5,LOS ANGELES LAKERS,HOME,PHOENIX SUNS,WIN,301,0,1,0,0,0,0,1,0,0,0,1,0,0,0.7
True,2016-11-08,0,2,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,LOSS,142,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2016-11-12,4,1,LOS ANGELES LAKERS,AWAY,NEW ORLEANS PELICANS,WIN,438,2,2,0,0,0,0,2,2,1,0,0,0,0,6.1
True,2016-11-13,0,-9,LOS ANGELES LAKERS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,256,0,1,0,0,0,0,0,1,0,0,0,0,1,-0.8
True,2016-11-23,0,-19,LOS ANGELES LAKERS,AWAY,GOLDEN STATE WARRIORS,LOSS,718,0,4,0,0,0,0,0,1,1,1,0,1,3,-3.0
True,2016-11-25,6,-3,LOS ANGELES LAKERS,HOME,GOLDEN STATE WARRIORS,LOSS,941,3,8,0,0,0,2,3,7,0,1,1,1,3,4.5
True,2016-11-27,9,-10,LOS ANGELES LAKERS,HOME,ATLANTA HAWKS,WIN,927,4,11,0,0,1,2,5,3,0,0,0,1,1,5.5
True,2016-11-29,6,2,LOS ANGELES LAKERS,AWAY,NEW ORLEANS PELICANS,LOSS,584,1,2,0,0,4,4,1,1,0,0,0,0,1,5.6
True,2016-11-30,2,7,LOS ANGELES LAKERS,AWAY,CHICAGO BULLS,WIN,554,1,2,0,0,0,0,3,3,1,1,0,0,1,5.3
True,2016-12-02,4,-8,LOS ANGELES LAKERS,AWAY,TORONTO RAPTORS,LOSS,597,2,4,0,0,0,4,2,2,0,0,0,1,0,1.4
True,2016-12-03,0,3,LOS ANGELES LAKERS,AWAY,MEMPHIS GRIZZLIES,LOSS,711,0,1,0,0,0,0,1,3,0,0,0,0,2,0.1
True,2016-12-05,3,11,LOS ANGELES LAKERS,HOME,UTAH JAZZ,LOSS,976,1,2,0,0,1,2,1,5,1,1,0,1,4,2.9
True,2016-12-07,2,-18,LOS ANGELES LAKERS,AWAY,HOUSTON ROCKETS,LOSS,907,0,1,0,0,2,4,1,3,1,1,0,1,2,2.0
True,2016-12-09,5,-4,LOS ANGELES LAKERS,HOME,PHOENIX SUNS,LOSS,676,1,1,0,0,3,4,2,3,1,0,0,0,1,6.9
True,2016-12-11,4,4,LOS ANGELES LAKERS,HOME,NEW YORK KNICKS,LOSS,641,2,3,0,0,0,1,0,4,0,0,0,1,2,1.7
True,2016-12-12,4,-6,LOS ANGELES LAKERS,AWAY,SACRAMENTO KINGS,LOSS,1151,2,5,0,0,0,0,3,3,1,3,2,2,0,7.4
True,2016-12-22,8,-5,LOS ANGELES LAKERS,AWAY,MIAMI HEAT,LOSS,1085,3,4,0,0,2,2,5,7,2,0,1,1,2,12.3
True,2016-12-23,7,-8,LOS ANGELES LAKERS,AWAY,ORLANDO MAGIC,LOSS,1166,3,5,0,0,1,2,5,6,1,0,1,1,1,9.6
True,2016-12-25,4,-2,LOS ANGELES LAKERS,HOME,LOS ANGELES CLIPPERS,WIN,937,2,3,0,0,0,0,2,7,1,0,0,3,3,2.7
True,2016-12-27,10,4,LOS ANGELES LAKERS,HOME,UTAH JAZZ,LOSS,1056,5,6,0,0,0,0,1,2,0,1,0,1,2,8.3
True,2016-12-29,8,-1,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,LOSS,1133,4,5,0,0,0,0,4,6,0,1,1,2,3,9.2
True,2017-01-01,12,-5,LOS ANGELES LAKERS,HOME,TORONTO RAPTORS,LOSS,1045,6,9,0,0,0,0,7,2,2,1,0,1,2,14.2
True,2017-01-03,0,-7,LOS ANGELES LAKERS,HOME,MEMPHIS GRIZZLIES,WIN,254,0,2,0,0,0,0,0,0,1,0,0,1,2,-2.5
True,2017-01-05,6,5,LOS ANGELES LAKERS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,889,3,5,0,0,0,0,3,2,2,2,0,0,2,9.0
True,2017-01-06,7,0,LOS ANGELES LAKERS,HOME,MIAMI HEAT,WIN,1049,3,5,0,0,1,6,3,6,1,2,0,2,4,5.7
True,2017-01-08,4,0,LOS ANGELES LAKERS,HOME,ORLANDO MAGIC,WIN,600,2,5,0,0,0,0,2,4,0,1,1,1,2,3.8
True,2017-01-10,8,-9,LOS ANGELES LAKERS,HOME,PORTLAND TRAIL BLAZERS,LOSS,958,4,6,0,0,0,0,1,1,2,0,1,1,2,6.7
True,2017-01-12,4,-15,LOS ANGELES LAKERS,AWAY,SAN ANTONIO SPURS,LOSS,587,2,2,0,0,0,0,1,2,2,0,0,0,2,5.3
True,2017-01-14,2,-3,LOS ANGELES LAKERS,AWAY,LOS ANGELES CLIPPERS,LOSS,533,1,4,0,0,0,2,0,3,0,0,0,0,1,-0.7
True,2017-01-17,0,-2,LOS ANGELES LAKERS,HOME,DENVER NUGGETS,LOSS,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2017-01-20,0,0,LOS ANGELES LAKERS,HOME,INDIANA PACERS,WIN,112,0,0,0,0,0,0,0,1,1,0,0,0,1,0.6
True,2017-01-22,2,-8,LOS ANGELES LAKERS,AWAY,DALLAS MAVERICKS,LOSS,336,1,1,0,0,0,0,0,1,1,0,0,2,2,-0.1
True,2017-02-26,9,2,LOS ANGELES LAKERS,HOME,SAN ANTONIO SPURS,LOSS,1004,4,7,0,0,1,2,4,4,0,4,0,2,0,11.3
True,2017-03-05,0,2,LOS ANGELES LAKERS,HOME,NEW ORLEANS PELICANS,LOSS,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2017-03-07,0,8,LOS ANGELES LAKERS,AWAY,DALLAS MAVERICKS,LOSS,508,0,2,0,0,0,0,0,6,0,1,0,0,2,0.6
