active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2016-10-25,17,-19,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,LOSS,1775,7,17,1,2,2,2,2,1,1,0,1,4,1,6.6
True,2016-10-29,13,7,NEW YORK KNICKS,HOME,MEMPHIS GRIZZLIES,WIN,1936,6,13,0,1,1,2,1,3,3,2,1,0,2,11.5
True,2016-11-01,19,-4,NEW YORK KNICKS,AWAY,DETROIT PISTONS,LOSS,1901,8,17,0,1,3,3,1,4,2,0,1,2,0,12.3
True,2016-11-02,16,-15,NEW YORK KNICKS,HOME,HOUSTON ROCKETS,LOSS,1784,8,18,0,0,0,0,1,3,4,2,0,2,2,10.2
True,2016-11-04,15,12,NEW YORK KNICKS,AWAY,CHICAGO BULLS,WIN,2286,6,16,0,0,3,3,0,7,11,1,1,3,2,13.9
True,2016-11-06,18,1,NEW YORK KNICKS,HOME,UTAH JAZZ,LOSS,2171,7,14,0,0,4,4,2,2,8,1,0,4,3,14.4
True,2016-11-09,14,-10,NEW YORK KNICKS,HOME,BROOKLYN NETS,WIN,1331,6,10,1,1,1,2,1,2,4,0,0,2,1,10.7
True,2016-11-11,11,-10,NEW YORK KNICKS,AWAY,BOSTON CELTICS,LOSS,1626,3,10,1,3,4,4,0,4,6,0,0,7,4,2.0
True,2016-11-12,21,0,NEW YORK KNICKS,AWAY,TORONTO RAPTORS,LOSS,2288,10,20,0,3,1,2,2,2,4,0,0,4,0,11.4
True,2016-11-14,3,20,NEW YORK KNICKS,HOME,DALLAS MAVERICKS,WIN,1652,1,6,0,1,1,2,0,4,5,0,0,5,4,-3.1
True,2016-11-16,15,2,NEW YORK KNICKS,HOME,DETROIT PISTONS,WIN,2059,7,15,0,2,1,2,0,5,3,0,1,1,1,9.8
True,2016-11-17,27,-8,NEW YORK KNICKS,AWAY,WASHINGTON WIZARDS,LOSS,2317,8,18,3,5,8,8,2,0,4,1,0,2,1,20.4
True,2016-11-20,14,12,NEW YORK KNICKS,HOME,ATLANTA HAWKS,WIN,1790,5,14,0,2,4,4,1,2,7,0,0,4,0,8.4
True,2016-11-22,18,-3,NEW YORK KNICKS,HOME,PORTLAND TRAIL BLAZERS,WIN,1685,8,15,0,0,2,2,2,2,5,2,1,1,4,16.3
True,2016-11-25,16,7,NEW YORK KNICKS,HOME,CHARLOTTE HORNETS,WIN,2287,6,13,0,1,4,5,2,1,5,1,1,3,1,12.4
True,2016-11-26,18,-9,NEW YORK KNICKS,AWAY,CHARLOTTE HORNETS,LOSS,2049,6,20,1,3,5,6,5,3,8,2,2,1,3,17.2
True,2016-11-28,30,-1,NEW YORK KNICKS,HOME,OKLAHOMA CITY THUNDER,LOSS,2282,10,20,0,2,10,10,2,5,4,0,0,1,0,24.7
True,2016-11-30,11,-9,NEW YORK KNICKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1415,5,12,1,3,0,0,0,0,2,1,0,2,4,3.4
True,2016-12-02,24,13,NEW YORK KNICKS,HOME,MINNESOTA TIMBERWOLVES,WIN,2034,9,15,0,1,6,10,1,4,5,1,0,1,1,20.5
True,2016-12-04,20,-2,NEW YORK KNICKS,HOME,SACRAMENTO KINGS,WIN,2017,9,14,0,0,2,3,2,4,6,0,0,4,1,15.8
True,2016-12-06,10,7,NEW YORK KNICKS,AWAY,MIAMI HEAT,WIN,1495,4,12,0,1,2,2,1,1,3,2,0,1,0,7.3
True,2016-12-11,25,13,NEW YORK KNICKS,AWAY,LOS ANGELES LAKERS,WIN,2035,12,16,0,1,1,2,0,3,2,0,1,2,1,18.8
True,2016-12-13,2,-5,NEW YORK KNICKS,AWAY,PHOENIX SUNS,LOSS,594,0,6,0,1,2,2,0,1,0,0,0,0,0,-1.9
True,2016-12-20,24,10,NEW YORK KNICKS,HOME,INDIANA PACERS,WIN,2154,9,18,0,0,6,7,0,4,6,0,2,4,0,17.4
True,2016-12-22,19,-4,NEW YORK KNICKS,HOME,ORLANDO MAGIC,WIN,1562,7,16,1,2,4,4,1,4,3,0,0,0,2,13.8
True,2016-12-25,25,-5,NEW YORK KNICKS,HOME,BOSTON CELTICS,LOSS,2270,10,19,0,0,5,6,3,2,3,0,0,3,3,15.9
True,2016-12-28,26,6,NEW YORK KNICKS,AWAY,ATLANTA HAWKS,LOSS,2553,9,28,0,2,8,9,2,5,6,0,0,2,3,13.5
True,2016-12-30,20,-7,NEW YORK KNICKS,AWAY,NEW ORLEANS PELICANS,LOSS,2298,9,21,1,2,1,1,0,2,1,3,0,4,2,8.4
True,2016-12-31,21,-9,NEW YORK KNICKS,AWAY,HOUSTON ROCKETS,LOSS,2443,8,23,1,3,4,5,2,3,7,2,0,0,0,16.9
True,2017-01-02,18,-8,NEW YORK KNICKS,HOME,ORLANDO MAGIC,LOSS,1694,8,15,0,1,2,2,2,1,4,0,0,3,0,12.2
True,2017-01-04,15,7,NEW YORK KNICKS,HOME,MILWAUKEE BUCKS,LOSS,2001,7,18,1,2,0,0,0,3,4,1,0,5,0,4.9
True,2017-01-06,12,-2,NEW YORK KNICKS,AWAY,MILWAUKEE BUCKS,WIN,1906,4,14,0,1,4,4,0,2,8,0,0,1,1,8.6
True,2017-01-07,14,-7,NEW YORK KNICKS,AWAY,INDIANA PACERS,LOSS,1554,6,12,0,2,2,2,0,2,3,2,0,2,2,9.9
True,2017-01-11,25,-21,NEW YORK KNICKS,AWAY,PHILADELPHIA 76ERS,LOSS,1901,11,16,0,0,3,4,0,2,4,1,0,2,1,19.8
True,2017-01-12,17,15,NEW YORK KNICKS,HOME,CHICAGO BULLS,WIN,2052,7,15,0,0,3,3,0,4,3,0,0,2,0,10.6
True,2017-01-15,16,-23,NEW YORK KNICKS,AWAY,TORONTO RAPTORS,LOSS,1769,6,12,0,0,4,5,0,2,3,0,1,2,0,11.0
True,2017-01-16,18,3,NEW YORK KNICKS,HOME,ATLANTA HAWKS,LOSS,1919,8,16,0,0,2,4,1,3,9,1,1,6,4,11.2
True,2017-01-18,30,-1,NEW YORK KNICKS,AWAY,BOSTON CELTICS,WIN,1966,13,24,0,0,4,4,4,6,5,2,2,4,3,24.7
True,2017-01-19,20,-12,NEW YORK KNICKS,HOME,WASHINGTON WIZARDS,LOSS,1894,7,16,0,0,6,6,2,3,2,0,0,1,0,14.3
True,2017-01-21,26,1,NEW YORK KNICKS,HOME,PHOENIX SUNS,LOSS,2165,12,26,0,1,2,2,3,0,5,0,0,0,2,17.4
True,2017-01-23,20,8,NEW YORK KNICKS,AWAY,INDIANA PACERS,WIN,2423,7,16,0,1,6,6,0,3,6,0,0,4,1,12.3
True,2017-01-25,13,-13,NEW YORK KNICKS,AWAY,DALLAS MAVERICKS,LOSS,2104,6,15,1,1,0,0,2,1,3,0,0,3,2,4.9
True,2017-01-27,13,-14,NEW YORK KNICKS,HOME,CHARLOTTE HORNETS,WIN,1297,5,10,0,0,3,3,1,1,4,2,0,2,2,11.0
True,2017-02-06,5,-12,NEW YORK KNICKS,HOME,LOS ANGELES LAKERS,LOSS,1894,2,8,0,1,1,1,0,4,3,0,0,3,2,-0.3
True,2017-02-08,20,-9,NEW YORK KNICKS,HOME,LOS ANGELES CLIPPERS,LOSS,2241,10,16,0,1,0,0,2,5,8,1,0,3,1,18.9
True,2017-02-10,13,-15,NEW YORK KNICKS,HOME,DENVER NUGGETS,LOSS,1674,6,9,0,0,1,1,1,2,4,1,0,1,0,13.2
True,2017-02-12,18,6,NEW YORK KNICKS,HOME,SAN ANTONIO SPURS,WIN,1821,6,11,0,0,6,8,0,4,2,0,1,3,0,12.2
True,2017-02-15,25,-10,NEW YORK KNICKS,AWAY,OKLAHOMA CITY THUNDER,LOSS,2292,11,21,0,0,3,3,1,3,7,2,0,3,2,19.4
True,2017-02-23,13,-12,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,LOSS,1918,6,14,0,0,1,1,0,2,4,0,0,1,1,7.6
True,2017-02-25,18,1,NEW YORK KNICKS,HOME,PHILADELPHIA 76ERS,WIN,2161,8,17,0,1,2,2,0,5,3,0,0,1,1,11.5
True,2017-02-27,16,8,NEW YORK KNICKS,HOME,TORONTO RAPTORS,LOSS,2416,5,12,0,1,6,6,0,6,4,2,0,3,3,12.0
True,2017-03-01,19,17,NEW YORK KNICKS,AWAY,ORLANDO MAGIC,WIN,1958,8,14,0,1,3,5,2,6,4,1,0,3,1,15.2
True,2017-03-03,20,6,NEW YORK KNICKS,AWAY,PHILADELPHIA 76ERS,LOSS,2280,5,13,0,0,10,13,1,3,5,2,0,3,0,15.8
True,2017-03-05,28,-8,NEW YORK KNICKS,HOME,GOLDEN STATE WARRIORS,LOSS,2086,9,18,0,1,10,11,0,1,4,1,0,2,4,19.1
True,2017-03-06,12,-23,NEW YORK KNICKS,AWAY,ORLANDO MAGIC,WIN,1634,2,9,0,0,8,8,0,5,6,0,0,2,0,10.2
True,2017-03-08,26,4,NEW YORK KNICKS,AWAY,MILWAUKEE BUCKS,LOSS,2323,13,16,0,0,0,0,0,1,6,0,0,2,0,22.5
True,2017-03-11,11,-11,NEW YORK KNICKS,AWAY,DETROIT PISTONS,LOSS,1614,5,12,0,1,1,2,1,1,2,1,0,4,0,3.6
True,2017-03-12,17,-6,NEW YORK KNICKS,AWAY,BROOKLYN NETS,LOSS,2229,5,15,0,0,7,8,3,2,2,2,0,0,2,13.4
True,2017-03-14,16,-1,NEW YORK KNICKS,HOME,INDIANA PACERS,WIN,1916,7,12,0,1,2,2,0,2,4,0,0,0,0,13.8
True,2017-03-16,22,-13,NEW YORK KNICKS,HOME,BROOKLYN NETS,LOSS,1997,7,17,0,0,8,9,0,2,2,0,0,2,2,11.7
True,2017-03-20,18,-20,NEW YORK KNICKS,AWAY,LOS ANGELES CLIPPERS,LOSS,1654,6,11,0,0,6,6,1,3,5,0,0,1,1,16.4
True,2017-03-22,17,-5,NEW YORK KNICKS,AWAY,UTAH JAZZ,LOSS,1937,7,12,0,0,3,3,0,1,6,0,0,3,0,12.9
True,2017-03-25,24,2,NEW YORK KNICKS,AWAY,SAN ANTONIO SPURS,LOSS,2174,10,22,0,0,4,4,3,2,5,0,0,1,0,17.8
True,2017-03-27,27,13,NEW YORK KNICKS,HOME,DETROIT PISTONS,WIN,1958,12,17,0,0,3,3,0,4,6,1,0,0,0,26.3
