active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2016-10-26,4,16,TORONTO RAPTORS,HOME,DETROIT PISTONS,WIN,1304,2,2,0,0,0,0,2,7,0,1,0,0,2,7.1
True,2016-10-28,4,-7,TORONTO RAPTORS,HOME,CLEVELAND CAVALIERS,LOSS,895,2,4,0,0,0,0,3,0,0,1,0,2,3,1.9
True,2016-10-31,2,-4,TORONTO RAPTORS,HOME,DENVER NUGGETS,WIN,909,1,4,0,0,0,0,1,3,0,0,0,0,3,0.0
True,2016-11-02,4,-6,TORONTO RAPTORS,AWAY,WASHINGTON WIZARDS,WIN,1066,2,4,0,0,0,0,0,3,0,1,0,1,3,1.7
True,2016-11-04,8,0,TORONTO RAPTORS,HOME,MIAMI HEAT,WIN,975,4,6,0,0,0,0,1,2,0,0,0,1,0,5.7
True,2016-11-06,10,9,TORONTO RAPTORS,HOME,SACRAMENTO KINGS,LOSS,1439,4,8,0,0,2,3,3,3,1,0,1,0,4,8.4
True,2016-11-09,4,-5,TORONTO RAPTORS,AWAY,OKLAHOMA CITY THUNDER,WIN,763,2,3,0,0,0,0,0,4,0,0,2,0,1,4.9
True,2016-11-11,0,-11,TORONTO RAPTORS,AWAY,CHARLOTTE HORNETS,WIN,643,0,4,0,0,0,0,1,0,0,0,0,0,3,-3.3
True,2016-11-12,9,-6,TORONTO RAPTORS,HOME,NEW YORK KNICKS,WIN,1215,4,5,0,0,1,1,0,2,0,1,0,1,2,6.9
True,2016-11-15,8,5,TORONTO RAPTORS,AWAY,CLEVELAND CAVALIERS,LOSS,951,4,5,0,0,0,0,2,1,2,0,3,1,5,8.3
True,2016-11-16,10,6,TORONTO RAPTORS,HOME,GOLDEN STATE WARRIORS,LOSS,1785,5,10,0,0,0,0,4,5,0,1,0,1,4,7.7
True,2016-11-18,8,-2,TORONTO RAPTORS,AWAY,DENVER NUGGETS,WIN,1386,4,6,0,0,0,0,1,2,0,1,0,0,2,6.9
True,2016-11-20,4,-12,TORONTO RAPTORS,AWAY,SACRAMENTO KINGS,LOSS,1285,2,5,0,0,0,0,3,3,1,1,2,0,1,7.0
True,2016-11-21,2,-1,TORONTO RAPTORS,AWAY,LOS ANGELES CLIPPERS,LOSS,807,1,2,0,0,0,0,0,1,0,2,0,0,5,1.3
True,2016-11-23,2,9,TORONTO RAPTORS,AWAY,HOUSTON ROCKETS,WIN,1278,1,3,0,0,0,0,0,1,1,0,0,0,1,0.9
True,2016-11-25,6,2,TORONTO RAPTORS,AWAY,MILWAUKEE BUCKS,WIN,1376,2,3,0,0,2,4,3,4,0,0,1,2,1,5.5
True,2016-11-28,11,6,TORONTO RAPTORS,HOME,PHILADELPHIA 76ERS,WIN,1394,4,6,0,0,3,4,0,2,0,1,1,1,2,8.5
True,2016-11-30,4,0,TORONTO RAPTORS,HOME,MEMPHIS GRIZZLIES,WIN,1103,2,2,0,0,0,0,2,0,2,0,1,3,1,3.5
True,2016-12-02,8,14,TORONTO RAPTORS,HOME,LOS ANGELES LAKERS,WIN,1451,4,5,0,1,0,0,2,5,1,1,1,1,2,9.6
True,2016-12-03,14,23,TORONTO RAPTORS,HOME,ATLANTA HAWKS,WIN,1621,7,12,0,1,0,0,1,2,0,1,2,1,2,10.3
True,2016-12-05,6,-21,TORONTO RAPTORS,HOME,CLEVELAND CAVALIERS,LOSS,1093,3,6,0,0,0,0,1,1,1,1,0,0,1,5.3
True,2016-12-08,6,-2,TORONTO RAPTORS,HOME,MINNESOTA TIMBERWOLVES,WIN,675,1,1,0,0,4,4,0,1,0,0,0,0,2,5.2
True,2016-12-09,2,-1,TORONTO RAPTORS,AWAY,BOSTON CELTICS,WIN,860,1,3,0,0,0,0,1,3,1,0,0,0,1,2.2
True,2016-12-12,0,8,TORONTO RAPTORS,HOME,MILWAUKEE BUCKS,WIN,987,0,4,0,1,0,0,1,2,1,0,1,0,4,-1.7
True,2016-12-14,4,-12,TORONTO RAPTORS,AWAY,PHILADELPHIA 76ERS,WIN,902,2,8,0,0,0,0,3,2,1,2,0,2,4,1.0
True,2016-12-16,4,-9,TORONTO RAPTORS,HOME,ATLANTA HAWKS,LOSS,505,2,3,0,0,0,0,0,0,0,0,3,0,1,4.4
True,2016-12-18,6,16,TORONTO RAPTORS,AWAY,ORLANDO MAGIC,WIN,1684,2,4,0,1,2,2,3,4,0,0,4,2,4,6.5
True,2016-12-20,9,9,TORONTO RAPTORS,HOME,BROOKLYN NETS,WIN,1651,3,3,0,0,3,4,0,3,2,0,2,3,3,7.2
True,2016-12-23,0,1,TORONTO RAPTORS,AWAY,UTAH JAZZ,WIN,330,0,1,0,0,0,0,0,2,0,0,0,0,1,-0.5
True,2016-12-26,0,-3,TORONTO RAPTORS,AWAY,PORTLAND TRAIL BLAZERS,WIN,367,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2016-12-28,0,-15,TORONTO RAPTORS,AWAY,GOLDEN STATE WARRIORS,LOSS,260,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0
True,2016-12-29,4,-14,TORONTO RAPTORS,AWAY,PHOENIX SUNS,LOSS,1302,2,5,0,0,0,0,3,2,0,2,0,0,5,4.0
True,2017-01-01,3,-2,TORONTO RAPTORS,AWAY,LOS ANGELES LAKERS,WIN,1855,1,4,0,0,1,2,1,9,0,0,4,2,5,2.4
