active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2016-10-26,5,8,OKLAHOMA CITY THUNDER,AWAY,PHILADELPHIA 76ERS,WIN,1291,1,6,1,5,2,2,0,1,0,0,0,1,2,-0.3
True,2016-10-28,4,21,OKLAHOMA CITY THUNDER,HOME,PHOENIX SUNS,WIN,1971,2,6,0,4,0,0,0,3,0,0,0,0,2,0.7
True,2016-10-30,4,4,OKLAHOMA CITY THUNDER,HOME,LOS ANGELES LAKERS,WIN,1091,2,3,0,1,0,0,1,1,0,1,0,2,3,1.5
True,2016-11-02,2,-4,OKLAHOMA CITY THUNDER,AWAY,LOS ANGELES CLIPPERS,WIN,284,1,2,0,1,0,0,0,2,0,0,1,0,0,2.3
True,2016-11-03,6,3,OKLAHOMA CITY THUNDER,AWAY,GOLDEN STATE WARRIORS,LOSS,1025,2,5,1,2,1,2,0,2,0,0,1,1,1,2.8
True,2016-11-05,0,-2,OKLAHOMA CITY THUNDER,HOME,MINNESOTA TIMBERWOLVES,WIN,180,0,3,0,0,0,0,0,0,0,0,0,0,1,-2.5
True,2016-11-09,0,-6,OKLAHOMA CITY THUNDER,HOME,TORONTO RAPTORS,LOSS,437,0,1,0,1,0,0,0,3,1,0,0,0,1,0.5
True,2016-11-13,0,-1,OKLAHOMA CITY THUNDER,HOME,ORLANDO MAGIC,LOSS,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2016-11-18,0,-1,OKLAHOMA CITY THUNDER,HOME,BROOKLYN NETS,WIN,792,0,2,0,2,0,0,0,1,0,0,0,1,2,-2.9
True,2016-11-23,0,1,OKLAHOMA CITY THUNDER,AWAY,SACRAMENTO KINGS,LOSS,83,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2016-12-11,2,5,OKLAHOMA CITY THUNDER,HOME,BOSTON CELTICS,WIN,422,1,2,0,0,0,0,0,0,0,0,0,0,0,1.0
True,2016-12-13,5,2,OKLAHOMA CITY THUNDER,AWAY,PORTLAND TRAIL BLAZERS,LOSS,372,1,1,1,1,2,2,0,2,1,0,0,0,0,6.0
True,2016-12-14,2,-12,OKLAHOMA CITY THUNDER,AWAY,UTAH JAZZ,LOSS,978,1,2,0,0,0,0,0,2,0,0,0,1,0,0.6
True,2016-12-17,4,-3,OKLAHOMA CITY THUNDER,HOME,PHOENIX SUNS,WIN,835,1,2,0,1,2,2,0,1,1,0,0,2,0,2.0
True,2016-12-19,2,1,OKLAHOMA CITY THUNDER,HOME,ATLANTA HAWKS,LOSS,720,1,1,0,0,0,0,0,1,0,0,1,1,0,1.7
True,2016-12-23,3,-4,OKLAHOMA CITY THUNDER,AWAY,BOSTON CELTICS,WIN,500,1,2,1,2,0,0,0,0,1,0,0,0,2,1.9
True,2016-12-25,0,8,OKLAHOMA CITY THUNDER,HOME,MINNESOTA TIMBERWOLVES,WIN,306,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2016-12-27,0,6,OKLAHOMA CITY THUNDER,AWAY,MIAMI HEAT,WIN,598,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0
True,2016-12-29,2,-9,OKLAHOMA CITY THUNDER,AWAY,MEMPHIS GRIZZLIES,LOSS,376,1,1,0,0,0,0,0,0,0,0,0,0,1,1.3
True,2016-12-31,3,-6,OKLAHOMA CITY THUNDER,HOME,LOS ANGELES CLIPPERS,WIN,282,1,1,1,1,0,0,0,2,0,0,0,0,0,3.3
True,2017-01-13,0,0,OKLAHOMA CITY THUNDER,AWAY,MINNESOTA TIMBERWOLVES,LOSS,368,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2017-01-16,2,1,OKLAHOMA CITY THUNDER,AWAY,LOS ANGELES CLIPPERS,LOSS,409,1,1,0,0,0,0,0,1,0,0,0,0,0,2.0
True,2017-01-18,5,-6,OKLAHOMA CITY THUNDER,AWAY,GOLDEN STATE WARRIORS,LOSS,1030,2,4,1,2,0,0,1,1,0,0,0,0,1,3.6
True,2017-01-26,0,-2,OKLAHOMA CITY THUNDER,HOME,DALLAS MAVERICKS,WIN,437,0,1,0,1,0,0,0,1,0,0,0,0,0,-0.4
True,2017-01-29,2,2,OKLAHOMA CITY THUNDER,AWAY,CLEVELAND CAVALIERS,LOSS,946,1,5,0,2,0,0,1,1,0,0,0,1,1,-1.5
True,2017-02-01,0,-5,OKLAHOMA CITY THUNDER,HOME,CHICAGO BULLS,LOSS,189,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.8
True,2017-02-13,6,6,OKLAHOMA CITY THUNDER,AWAY,WASHINGTON WIZARDS,LOSS,990,2,3,0,0,2,3,1,2,1,1,0,0,0,7.3
True,2017-03-05,0,3,OKLAHOMA CITY THUNDER,AWAY,DALLAS MAVERICKS,LOSS,175,0,0,0,0,0,0,0,0,0,0,0,1,1,-1.4
True,2017-04-07,2,2,OKLAHOMA CITY THUNDER,AWAY,PHOENIX SUNS,LOSS,720,1,2,0,1,0,0,2,0,0,0,0,0,1,2.0
True,2017-04-09,8,10,OKLAHOMA CITY THUNDER,AWAY,DENVER NUGGETS,WIN,2050,4,8,0,4,0,0,2,2,3,3,1,0,3,10.6
True,2017-04-11,11,2,OKLAHOMA CITY THUNDER,AWAY,MINNESOTA TIMBERWOLVES,WIN,1690,4,12,1,4,2,2,0,4,0,0,0,0,3,4.2
True,2017-04-12,8,-16,OKLAHOMA CITY THUNDER,HOME,DENVER NUGGETS,LOSS,1539,3,6,0,2,2,4,0,6,1,1,1,0,1,8.0
