active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2017-01-19,0,-11,MIAMI HEAT,HOME,DALLAS MAVERICKS,WIN,512,0,1,0,1,0,0,0,1,0,0,0,1,1,-1.8
True,2017-01-21,0,6,MIAMI HEAT,HOME,MILWAUKEE BUCKS,WIN,1133,0,2,0,0,0,0,0,3,0,1,0,1,2,-1.3
True,2017-01-23,5,3,MIAMI HEAT,HOME,GOLDEN STATE WARRIORS,WIN,656,2,3,0,1,1,1,1,0,0,0,0,0,0,4.4
True,2017-01-25,10,12,MIAMI HEAT,AWAY,BROOKLYN NETS,WIN,1629,3,4,2,3,2,2,0,7,1,1,4,1,4,12.4
True,2017-01-27,3,-1,MIAMI HEAT,AWAY,CHICAGO BULLS,WIN,1289,1,2,1,1,0,0,0,4,0,1,0,0,3,3.0
True,2017-01-28,7,10,MIAMI HEAT,HOME,DETROIT PISTONS,WIN,1138,2,3,1,2,2,2,0,2,0,0,0,0,2,5.5
True,2017-01-30,7,7,MIAMI HEAT,HOME,BROOKLYN NETS,WIN,868,2,4,1,3,2,2,1,1,0,0,0,0,1,5.6
True,2017-02-01,0,-3,MIAMI HEAT,HOME,ATLANTA HAWKS,WIN,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2017-02-04,5,0,MIAMI HEAT,HOME,PHILADELPHIA 76ERS,WIN,1473,2,6,1,2,0,0,1,2,2,0,0,2,1,1.9
True,2017-02-06,3,1,MIAMI HEAT,AWAY,MINNESOTA TIMBERWOLVES,WIN,339,1,1,0,0,1,1,1,0,1,0,0,2,4,0.5
True,2017-02-08,7,0,MIAMI HEAT,AWAY,MILWAUKEE BUCKS,WIN,1007,2,3,1,2,2,2,1,4,1,0,0,0,2,7.5
True,2017-02-10,10,16,MIAMI HEAT,AWAY,BROOKLYN NETS,WIN,1836,2,6,1,2,5,6,4,1,1,0,0,2,4,6.4
True,2017-02-11,2,1,MIAMI HEAT,AWAY,PHILADELPHIA 76ERS,LOSS,1098,1,2,0,1,0,0,0,0,0,0,0,0,2,0.2
True,2017-02-13,0,-5,MIAMI HEAT,HOME,ORLANDO MAGIC,LOSS,443,0,2,0,1,0,0,0,1,0,0,0,0,2,-1.9
True,2017-02-24,4,2,MIAMI HEAT,AWAY,ATLANTA HAWKS,WIN,1066,1,3,1,1,1,2,2,6,2,2,0,0,1,8.1
True,2017-02-25,0,7,MIAMI HEAT,HOME,INDIANA PACERS,WIN,313,0,0,0,0,0,0,1,0,2,0,0,0,0,2.1
True,2017-02-27,3,-2,MIAMI HEAT,AWAY,DALLAS MAVERICKS,LOSS,626,1,1,1,1,0,0,0,0,0,1,0,0,1,3.3
True,2017-03-01,4,20,MIAMI HEAT,HOME,PHILADELPHIA 76ERS,WIN,1528,2,6,0,0,0,0,1,2,2,1,3,0,3,5.2
True,2017-03-03,0,-4,MIAMI HEAT,AWAY,ORLANDO MAGIC,LOSS,293,0,3,0,1,0,0,1,1,0,0,0,0,1,-1.5
True,2017-03-04,6,7,MIAMI HEAT,HOME,CLEVELAND CAVALIERS,WIN,1478,2,5,0,0,2,2,3,4,0,0,0,3,3,2.4
True,2017-03-06,2,4,MIAMI HEAT,AWAY,CLEVELAND CAVALIERS,WIN,1321,1,6,0,2,0,0,2,3,3,0,1,1,3,1.1
True,2017-03-12,0,-5,MIAMI HEAT,AWAY,INDIANA PACERS,LOSS,319,0,0,0,0,0,0,0,1,0,0,0,0,2,-0.5
True,2017-03-15,0,-4,MIAMI HEAT,HOME,NEW ORLEANS PELICANS,WIN,597,0,1,0,0,0,0,1,1,0,0,0,0,2,-0.5
True,2017-03-17,0,0,MIAMI HEAT,HOME,MINNESOTA TIMBERWOLVES,WIN,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2017-03-21,4,1,MIAMI HEAT,HOME,PHOENIX SUNS,WIN,530,1,3,0,0,2,2,3,1,1,0,0,2,0,3.4
True,2017-03-23,0,-6,MIAMI HEAT,HOME,TORONTO RAPTORS,LOSS,134,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.1
True,2017-03-28,0,0,MIAMI HEAT,AWAY,DETROIT PISTONS,WIN,257,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0
True,2017-03-29,7,9,MIAMI HEAT,AWAY,NEW YORK KNICKS,WIN,1200,3,3,1,1,0,0,1,4,0,0,0,1,2,6.2
True,2017-03-31,2,-2,MIAMI HEAT,HOME,NEW YORK KNICKS,LOSS,308,1,2,0,1,0,0,1,1,0,0,0,1,0,1.0
True,2017-04-02,0,6,MIAMI HEAT,HOME,DENVER NUGGETS,LOSS,541,0,1,0,1,0,0,0,3,1,0,1,0,0,1.6
True,2017-04-05,3,-9,MIAMI HEAT,AWAY,CHARLOTTE HORNETS,WIN,1048,1,3,1,2,0,0,0,1,2,0,0,0,1,2.6
True,2017-04-07,0,2,MIAMI HEAT,AWAY,TORONTO RAPTORS,LOSS,874,0,3,0,2,0,0,0,1,0,1,0,1,1,-2.2
True,2017-04-08,2,-4,MIAMI HEAT,AWAY,WASHINGTON WIZARDS,WIN,642,1,2,0,0,0,0,0,0,1,0,0,0,0,1.7
True,2017-04-10,2,10,MIAMI HEAT,HOME,CLEVELAND CAVALIERS,WIN,796,1,5,0,3,0,0,0,1,1,0,1,0,3,-0.6
True,2017-04-12,0,0,MIAMI HEAT,HOME,WASHINGTON WIZARDS,WIN,747,0,1,0,0,0,0,0,0,0,1,0,0,0,0.3
