active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2017-10-18,12,1,SAN ANTONIO SPURS,HOME,MINNESOTA TIMBERWOLVES,WIN,1781,5,9,1,1,1,2,0,9,1,0,1,0,1,11.0
True,2017-10-21,4,-3,SAN ANTONIO SPURS,AWAY,CHICAGO BULLS,WIN,1918,2,7,0,0,0,0,2,6,1,0,0,2,0,1.8
True,2017-10-23,10,-1,SAN ANTONIO SPURS,HOME,TORONTO RAPTORS,WIN,1693,4,9,0,1,2,4,2,2,1,0,2,2,4,5.0
True,2017-10-25,12,5,SAN ANTONIO SPURS,AWAY,MIAMI HEAT,WIN,1636,4,8,0,0,4,6,1,9,2,1,0,0,1,12.6
True,2017-10-27,4,-17,SAN ANTONIO SPURS,AWAY,ORLANDO MAGIC,LOSS,1312,1,4,0,0,2,2,3,3,3,1,0,1,1,6.3
True,2017-10-29,8,-15,SAN ANTONIO SPURS,AWAY,INDIANA PACERS,LOSS,1411,4,7,0,1,0,0,5,3,3,1,1,2,0,10.9
True,2017-10-30,5,-14,SAN ANTONIO SPURS,AWAY,BOSTON CELTICS,LOSS,1430,2,8,1,2,0,0,3,2,2,0,0,0,2,3.5
True,2017-11-02,16,-3,SAN ANTONIO SPURS,HOME,GOLDEN STATE WARRIORS,LOSS,1573,5,8,0,0,6,6,3,4,4,1,3,1,1,20.2
True,2017-11-03,4,-12,SAN ANTONIO SPURS,HOME,CHARLOTTE HORNETS,WIN,1328,2,3,0,1,0,0,0,6,1,1,3,1,3,6.1
True,2017-11-05,2,8,SAN ANTONIO SPURS,HOME,PHOENIX SUNS,WIN,1269,1,3,0,0,0,0,0,4,2,2,1,0,3,4.4
True,2017-11-07,8,9,SAN ANTONIO SPURS,HOME,LOS ANGELES CLIPPERS,WIN,1900,4,6,0,0,0,1,2,2,4,2,0,1,3,9.6
True,2017-11-10,10,6,SAN ANTONIO SPURS,HOME,MILWAUKEE BUCKS,LOSS,1965,5,8,0,0,0,0,2,8,4,1,1,2,2,11.9
True,2017-11-11,13,16,SAN ANTONIO SPURS,HOME,CHICAGO BULLS,WIN,1487,5,8,0,0,3,3,0,3,5,1,0,1,1,13.4
True,2017-11-14,7,9,SAN ANTONIO SPURS,AWAY,DALLAS MAVERICKS,WIN,2034,1,4,0,0,5,6,2,6,3,1,2,0,2,11.1
True,2017-11-15,8,-11,SAN ANTONIO SPURS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1529,4,7,0,0,0,0,1,4,0,0,1,2,2,4.5
True,2017-11-17,10,7,SAN ANTONIO SPURS,HOME,OKLAHOMA CITY THUNDER,WIN,1882,4,7,0,0,2,4,0,3,6,1,1,1,1,11.3
True,2017-11-20,13,-1,SAN ANTONIO SPURS,HOME,ATLANTA HAWKS,WIN,1818,5,8,1,2,2,2,2,4,10,0,1,2,0,17.7
True,2017-11-22,12,-14,SAN ANTONIO SPURS,AWAY,NEW ORLEANS PELICANS,LOSS,1532,4,10,0,0,4,4,1,4,4,1,1,2,2,10.2
True,2017-11-25,14,20,SAN ANTONIO SPURS,AWAY,CHARLOTTE HORNETS,WIN,1878,6,8,0,0,2,2,1,4,3,5,0,2,0,17.8
True,2017-11-27,12,13,SAN ANTONIO SPURS,HOME,DALLAS MAVERICKS,WIN,2039,4,10,0,2,4,6,0,10,5,2,0,3,2,10.5
True,2017-11-29,10,7,SAN ANTONIO SPURS,HOME,MEMPHIS GRIZZLIES,WIN,1748,4,7,0,0,2,3,1,3,2,4,0,1,0,12.3
True,2017-12-01,5,6,SAN ANTONIO SPURS,AWAY,MEMPHIS GRIZZLIES,WIN,1386,2,3,1,1,0,0,0,4,0,0,1,1,4,3.0
True,2017-12-03,5,5,SAN ANTONIO SPURS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1320,2,4,0,0,1,2,0,3,4,2,0,3,2,4.5
True,2017-12-20,5,5,SAN ANTONIO SPURS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1461,2,4,1,2,0,0,1,5,3,2,1,1,0,9.0
True,2017-12-21,6,-17,SAN ANTONIO SPURS,AWAY,UTAH JAZZ,LOSS,1364,3,5,0,0,0,2,0,2,1,0,0,1,1,2.8
True,2017-12-23,6,3,SAN ANTONIO SPURS,AWAY,SACRAMENTO KINGS,WIN,1618,1,4,0,0,4,4,1,4,2,0,0,1,1,5.5
True,2017-12-26,5,9,SAN ANTONIO SPURS,HOME,BROOKLYN NETS,WIN,1094,2,3,0,0,1,1,0,5,0,2,0,1,0,6.2
True,2017-12-28,16,26,SAN ANTONIO SPURS,HOME,NEW YORK KNICKS,WIN,1745,4,4,0,0,8,8,2,6,0,1,0,1,3,16.8
True,2017-12-30,8,8,SAN ANTONIO SPURS,AWAY,DETROIT PISTONS,LOSS,1182,4,7,0,1,0,0,1,6,2,2,0,0,2,9.8
True,2018-01-02,1,6,SAN ANTONIO SPURS,AWAY,NEW YORK KNICKS,WIN,1676,0,3,0,0,1,2,1,5,2,1,1,1,2,2.0
True,2018-01-03,14,-3,SAN ANTONIO SPURS,AWAY,PHILADELPHIA 76ERS,LOSS,2157,7,8,0,0,0,0,0,7,2,1,2,5,4,10.5
True,2018-01-05,4,11,SAN ANTONIO SPURS,HOME,PHOENIX SUNS,WIN,1562,1,4,1,1,1,2,1,4,2,3,1,0,1,7.8
True,2018-01-07,8,6,SAN ANTONIO SPURS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2141,2,4,0,1,4,4,0,6,5,1,0,3,2,8.5
True,2018-01-08,3,8,SAN ANTONIO SPURS,AWAY,SACRAMENTO KINGS,WIN,1686,1,3,0,1,1,2,0,7,2,5,0,2,2,6.6
True,2018-01-11,6,-3,SAN ANTONIO SPURS,AWAY,LOS ANGELES LAKERS,LOSS,1732,3,5,0,0,0,0,0,7,1,1,0,2,0,5.5
True,2018-01-13,8,15,SAN ANTONIO SPURS,HOME,DENVER NUGGETS,WIN,1508,3,9,0,3,2,2,2,4,6,1,0,1,0,9.7
True,2018-01-15,13,1,SAN ANTONIO SPURS,AWAY,ATLANTA HAWKS,LOSS,1912,3,6,1,2,6,6,1,5,1,3,0,2,1,13.5
True,2018-01-17,2,-5,SAN ANTONIO SPURS,AWAY,BROOKLYN NETS,WIN,1332,0,2,0,0,2,2,1,0,2,0,1,2,1,1.0
True,2018-01-19,5,5,SAN ANTONIO SPURS,AWAY,TORONTO RAPTORS,LOSS,1804,2,5,1,1,0,0,4,7,3,2,3,2,1,11.0
True,2018-01-21,10,-2,SAN ANTONIO SPURS,HOME,INDIANA PACERS,LOSS,2050,4,6,2,4,0,0,0,9,3,4,3,3,1,14.9
True,2018-01-23,10,13,SAN ANTONIO SPURS,HOME,CLEVELAND CAVALIERS,WIN,2022,5,10,0,0,0,0,3,9,5,1,1,0,3,13.8
True,2018-01-24,5,18,SAN ANTONIO SPURS,AWAY,MEMPHIS GRIZZLIES,WIN,1653,2,7,1,2,0,0,1,2,1,4,2,1,3,6.1
True,2018-01-26,4,-16,SAN ANTONIO SPURS,HOME,PHILADELPHIA 76ERS,LOSS,1552,2,5,0,0,0,0,1,3,1,1,0,2,2,1.8
True,2018-01-28,2,4,SAN ANTONIO SPURS,HOME,SACRAMENTO KINGS,WIN,1275,1,1,0,0,0,0,0,3,4,0,0,0,1,5.0
True,2018-01-30,18,5,SAN ANTONIO SPURS,HOME,DENVER NUGGETS,WIN,2070,9,12,0,0,0,0,1,3,5,1,2,1,0,19.7
True,2018-02-01,7,-9,SAN ANTONIO SPURS,HOME,HOUSTON ROCKETS,LOSS,1785,3,7,0,2,1,1,0,4,2,1,1,0,1,7.2
True,2018-02-03,8,-12,SAN ANTONIO SPURS,HOME,UTAH JAZZ,LOSS,1225,4,6,0,1,0,0,1,2,1,3,0,1,1,9.0
True,2018-02-07,0,22,SAN ANTONIO SPURS,AWAY,PHOENIX SUNS,WIN,1163,0,2,0,0,0,0,0,5,4,0,0,0,1,2.5
True,2018-02-10,20,2,SAN ANTONIO SPURS,AWAY,GOLDEN STATE WARRIORS,LOSS,1821,9,13,0,1,2,5,3,3,4,3,2,4,2,18.7
True,2018-02-12,16,-14,SAN ANTONIO SPURS,AWAY,UTAH JAZZ,LOSS,2077,5,12,0,3,6,8,1,4,3,0,1,4,2,8.7
True,2018-02-13,2,-24,SAN ANTONIO SPURS,AWAY,DENVER NUGGETS,LOSS,1288,1,3,0,0,0,2,0,2,2,0,2,2,2,0.1
True,2018-02-23,8,8,SAN ANTONIO SPURS,AWAY,DENVER NUGGETS,LOSS,1709,3,4,0,1,2,4,1,2,3,1,0,0,2,9.2
True,2018-02-25,10,8,SAN ANTONIO SPURS,AWAY,CLEVELAND CAVALIERS,WIN,1772,4,7,0,0,2,4,1,5,4,2,3,0,2,14.2
True,2018-02-28,4,-5,SAN ANTONIO SPURS,HOME,NEW ORLEANS PELICANS,LOSS,1674,2,6,0,0,0,0,4,4,2,1,1,0,1,7.3
True,2018-03-03,8,8,SAN ANTONIO SPURS,HOME,LOS ANGELES LAKERS,LOSS,1309,4,4,0,0,0,0,1,3,5,2,0,1,0,12.9
True,2018-03-05,11,-4,SAN ANTONIO SPURS,HOME,MEMPHIS GRIZZLIES,WIN,1547,3,5,0,0,5,7,0,2,4,5,0,2,1,13.9
True,2018-03-08,12,-2,SAN ANTONIO SPURS,AWAY,GOLDEN STATE WARRIORS,LOSS,2007,5,12,0,1,2,2,2,9,4,5,0,1,4,14.9
True,2018-03-10,6,-8,SAN ANTONIO SPURS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1551,3,7,0,2,0,2,0,4,2,2,0,2,1,3.7
True,2018-03-12,6,-17,SAN ANTONIO SPURS,AWAY,HOUSTON ROCKETS,LOSS,880,2,6,0,2,2,4,1,0,1,0,0,0,2,2.4
True,2018-03-13,5,28,SAN ANTONIO SPURS,HOME,ORLANDO MAGIC,WIN,1322,2,2,1,1,0,0,2,4,4,2,1,3,2,8.7
True,2018-03-15,6,-5,SAN ANTONIO SPURS,HOME,NEW ORLEANS PELICANS,WIN,2039,2,5,0,1,2,2,0,5,4,3,2,0,1,11.6
True,2018-03-17,3,-14,SAN ANTONIO SPURS,HOME,MINNESOTA TIMBERWOLVES,WIN,817,1,1,1,1,0,0,0,3,0,2,0,0,1,5.2
True,2018-03-19,0,30,SAN ANTONIO SPURS,HOME,GOLDEN STATE WARRIORS,WIN,1354,0,2,0,2,0,0,3,7,4,1,0,2,1,4.2
True,2018-03-21,16,24,SAN ANTONIO SPURS,HOME,WASHINGTON WIZARDS,WIN,1770,7,8,1,1,1,2,3,1,4,0,1,3,3,14.5
True,2018-03-23,5,2,SAN ANTONIO SPURS,HOME,UTAH JAZZ,WIN,1529,2,5,1,1,0,0,0,7,3,4,1,3,0,8.2
True,2018-03-25,6,-3,SAN ANTONIO SPURS,AWAY,MILWAUKEE BUCKS,LOSS,1453,3,6,0,0,0,0,3,3,0,1,0,2,0,5.0
True,2018-03-27,7,3,SAN ANTONIO SPURS,AWAY,WASHINGTON WIZARDS,LOSS,1123,3,4,0,0,1,2,1,2,2,1,1,0,2,8.6
True,2018-03-29,10,7,SAN ANTONIO SPURS,HOME,OKLAHOMA CITY THUNDER,WIN,1395,4,4,1,1,1,2,0,0,2,2,0,0,4,10.2
True,2018-04-01,5,6,SAN ANTONIO SPURS,HOME,HOUSTON ROCKETS,WIN,1547,2,4,0,1,1,2,0,1,5,2,1,0,0,9.1
True,2018-04-03,7,2,SAN ANTONIO SPURS,AWAY,LOS ANGELES CLIPPERS,LOSS,1759,3,5,1,1,0,1,2,4,2,0,4,1,2,9.3
True,2018-04-04,9,-14,SAN ANTONIO SPURS,AWAY,LOS ANGELES LAKERS,LOSS,1990,4,10,1,3,0,0,1,3,1,3,1,1,3,7.4
True,2018-04-07,7,12,SAN ANTONIO SPURS,HOME,PORTLAND TRAIL BLAZERS,WIN,1707,3,4,0,0,1,1,2,3,3,2,1,0,2,11.7
True,2018-04-09,8,6,SAN ANTONIO SPURS,HOME,SACRAMENTO KINGS,WIN,1547,2,4,0,1,4,6,0,5,2,2,1,0,2,10.0
True,2018-04-11,10,-11,SAN ANTONIO SPURS,AWAY,NEW ORLEANS PELICANS,LOSS,1077,4,7,1,1,1,1,0,0,2,2,0,0,1,9.7
