active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2017-11-17,2,-7,DALLAS MAVERICKS,HOME,MINNESOTA TIMBERWOLVES,LOSS,416,1,2,0,0,0,0,0,2,0,0,0,0,2,0.8
True,2017-11-18,0,0,DALLAS MAVERICKS,HOME,MILWAUKEE BUCKS,WIN,190,0,0,0,0,0,0,0,0,1,1,0,0,0,1.7
True,2017-11-22,0,9,DALLAS MAVERICKS,AWAY,MEMPHIS GRIZZLIES,WIN,309,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7
True,2017-11-25,1,1,DALLAS MAVERICKS,HOME,OKLAHOMA CITY THUNDER,WIN,110,0,0,0,0,1,2,0,0,0,0,0,0,0,0.6
True,2017-11-27,0,0,DALLAS MAVERICKS,AWAY,SAN ANTONIO SPURS,LOSS,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2017-12-02,3,-2,DALLAS MAVERICKS,HOME,LOS ANGELES CLIPPERS,WIN,473,1,3,0,0,1,2,2,1,0,0,0,1,2,0.8
True,2017-12-06,0,0,DALLAS MAVERICKS,AWAY,BOSTON CELTICS,LOSS,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2017-12-08,2,0,DALLAS MAVERICKS,AWAY,MILWAUKEE BUCKS,LOSS,454,1,1,0,0,0,0,0,2,0,0,1,0,2,2.2
True,2017-12-10,2,-11,DALLAS MAVERICKS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1071,1,4,0,0,0,0,0,2,0,3,2,0,2,3.8
True,2017-12-12,0,-1,DALLAS MAVERICKS,HOME,SAN ANTONIO SPURS,WIN,425,0,2,0,1,0,0,0,0,0,1,1,1,0,-0.7
True,2017-12-14,0,-6,DALLAS MAVERICKS,AWAY,GOLDEN STATE WARRIORS,LOSS,1240,0,2,0,0,0,0,0,1,0,1,0,0,2,-0.9
True,2017-12-16,0,-4,DALLAS MAVERICKS,AWAY,SAN ANTONIO SPURS,LOSS,79,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2017-12-18,0,-8,DALLAS MAVERICKS,HOME,PHOENIX SUNS,LOSS,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2018-04-04,5,-2,ATLANTA HAWKS,HOME,MIAMI HEAT,LOSS,735,1,2,1,1,2,2,0,2,0,0,1,2,3,2.1
True,2018-04-06,3,5,ATLANTA HAWKS,AWAY,WASHINGTON WIZARDS,WIN,560,1,1,1,1,0,0,0,0,0,0,0,1,2,0.9
True,2018-04-08,0,1,ATLANTA HAWKS,AWAY,BOSTON CELTICS,WIN,435,0,2,0,0,0,0,1,1,0,1,0,2,1,-1.8
True,2018-04-10,5,-20,ATLANTA HAWKS,HOME,PHILADELPHIA 76ERS,LOSS,762,2,2,1,1,0,0,0,0,0,0,0,0,6,2.0
