active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2017-10-18,5,-1,ATLANTA HAWKS,AWAY,DALLAS MAVERICKS,WIN,679,2,4,1,2,0,0,0,1,0,0,0,1,1,1.9
True,2017-10-20,3,-26,ATLANTA HAWKS,AWAY,CHARLOTTE HORNETS,LOSS,1372,1,6,0,2,1,2,0,2,4,1,1,0,1,3.5
True,2017-10-22,5,-9,ATLANTA HAWKS,AWAY,BROOKLYN NETS,LOSS,1324,1,5,1,1,2,4,1,2,4,0,0,1,0,4.2
True,2017-10-23,10,-16,ATLANTA HAWKS,AWAY,MIAMI HEAT,LOSS,1984,3,9,1,2,3,4,0,4,1,2,0,3,5,3.4
True,2017-10-26,6,-15,ATLANTA HAWKS,AWAY,CHICAGO BULLS,LOSS,2122,3,11,0,3,0,0,0,2,4,1,0,0,4,2.3
True,2017-10-27,7,-11,ATLANTA HAWKS,HOME,DENVER NUGGETS,LOSS,1128,3,4,1,2,0,0,0,1,4,0,0,1,0,7.5
True,2017-10-29,0,-11,ATLANTA HAWKS,HOME,MILWAUKEE BUCKS,LOSS,429,0,2,0,1,0,0,1,0,2,0,0,1,0,-0.3
True,2017-11-01,8,6,ATLANTA HAWKS,AWAY,PHILADELPHIA 76ERS,LOSS,552,3,3,1,1,1,1,0,1,1,2,0,1,1,8.7
True,2017-11-06,13,-3,ATLANTA HAWKS,HOME,BOSTON CELTICS,LOSS,1672,4,7,3,3,2,3,1,3,1,2,0,2,2,10.8
True,2017-11-10,0,1,ATLANTA HAWKS,AWAY,DETROIT PISTONS,LOSS,927,0,1,0,1,0,0,0,3,2,0,0,0,1,1.2
True,2017-11-11,11,-3,ATLANTA HAWKS,AWAY,WASHINGTON WIZARDS,LOSS,901,4,5,3,4,0,0,0,2,2,2,0,3,2,9.3
True,2017-11-13,0,10,ATLANTA HAWKS,AWAY,NEW ORLEANS PELICANS,LOSS,1214,0,3,0,1,0,0,1,0,0,2,0,1,0,-0.4
True,2017-11-15,10,13,ATLANTA HAWKS,HOME,SACRAMENTO KINGS,WIN,1398,4,7,2,4,0,0,0,4,1,1,0,3,1,6.2
True,2017-11-18,4,-15,ATLANTA HAWKS,HOME,BOSTON CELTICS,LOSS,1491,1,5,0,1,2,2,0,1,1,1,1,1,2,1.8
True,2017-11-20,0,-15,ATLANTA HAWKS,AWAY,SAN ANTONIO SPURS,LOSS,1783,0,5,0,3,0,0,0,1,5,0,0,0,1,-0.1
True,2017-11-22,2,1,ATLANTA HAWKS,HOME,LOS ANGELES CLIPPERS,LOSS,891,0,4,0,3,2,2,0,2,2,0,0,1,2,-0.6
True,2017-11-25,8,-2,ATLANTA HAWKS,HOME,TORONTO RAPTORS,LOSS,950,2,4,0,1,4,6,1,0,0,0,0,2,0,3.9
True,2017-12-04,6,4,ATLANTA HAWKS,HOME,BROOKLYN NETS,LOSS,271,2,2,0,0,2,3,0,0,1,0,0,1,1,4.3
True,2017-12-10,0,0,ATLANTA HAWKS,AWAY,NEW YORK KNICKS,LOSS,497,0,2,0,1,0,0,0,0,2,0,0,0,0,0.0
True,2017-12-12,2,6,ATLANTA HAWKS,AWAY,CLEVELAND CAVALIERS,LOSS,317,1,2,0,0,0,0,0,0,1,0,0,0,1,1.3
True,2017-12-14,6,9,ATLANTA HAWKS,HOME,DETROIT PISTONS,LOSS,975,2,5,0,3,2,3,0,3,3,0,0,1,0,4.9
True,2017-12-18,11,-2,ATLANTA HAWKS,HOME,MIAMI HEAT,WIN,1487,3,6,1,2,4,4,0,3,1,0,0,1,2,7.8
True,2017-12-20,9,5,ATLANTA HAWKS,HOME,INDIANA PACERS,LOSS,716,2,3,1,1,4,5,0,2,2,0,0,0,2,8.5
True,2017-12-22,20,8,ATLANTA HAWKS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1598,7,10,4,6,2,2,0,2,6,1,0,1,3,19.4
True,2017-12-23,7,0,ATLANTA HAWKS,HOME,DALLAS MAVERICKS,WIN,1651,2,5,1,3,2,2,0,3,5,0,0,1,2,6.9
True,2017-12-27,7,21,ATLANTA HAWKS,HOME,WASHINGTON WIZARDS,WIN,1126,2,8,1,5,2,2,0,1,2,3,0,1,3,4.7
True,2017-12-29,3,-19,ATLANTA HAWKS,AWAY,TORONTO RAPTORS,LOSS,1185,1,5,0,2,1,2,0,1,0,1,0,1,2,-1.0
True,2017-12-30,5,4,ATLANTA HAWKS,HOME,PORTLAND TRAIL BLAZERS,WIN,1005,2,7,1,4,0,0,0,1,2,1,0,0,0,3.6
True,2018-01-02,1,-1,ATLANTA HAWKS,AWAY,PHOENIX SUNS,LOSS,815,0,3,0,1,1,1,0,0,3,0,0,1,3,-1.2
True,2018-01-05,8,-5,ATLANTA HAWKS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1087,2,5,2,3,2,2,0,0,2,0,0,0,1,6.3
True,2018-01-07,9,-24,ATLANTA HAWKS,AWAY,LOS ANGELES LAKERS,LOSS,1284,4,8,1,3,0,0,0,1,2,0,0,0,1,6.3
True,2018-01-08,9,14,ATLANTA HAWKS,AWAY,LOS ANGELES CLIPPERS,LOSS,1588,4,11,1,4,0,0,1,6,6,0,0,1,5,6.6
True,2018-01-10,10,16,ATLANTA HAWKS,AWAY,DENVER NUGGETS,WIN,1221,5,8,0,2,0,0,0,3,6,2,0,0,2,12.7
True,2018-01-12,9,-2,ATLANTA HAWKS,HOME,BROOKLYN NETS,LOSS,1618,2,6,1,3,4,4,0,2,5,0,0,3,4,5.1
True,2018-01-15,5,4,ATLANTA HAWKS,HOME,SAN ANTONIO SPURS,WIN,1176,1,5,1,2,2,2,0,4,3,0,0,1,2,3.4
True,2018-01-17,7,4,ATLANTA HAWKS,HOME,NEW ORLEANS PELICANS,WIN,985,2,5,1,2,2,4,0,2,2,0,0,3,1,2.1
True,2018-01-20,5,-1,ATLANTA HAWKS,HOME,CHICAGO BULLS,LOSS,964,2,5,0,3,1,2,0,3,4,0,0,1,2,3.8
True,2018-01-22,7,25,ATLANTA HAWKS,HOME,UTAH JAZZ,WIN,1411,2,5,2,2,1,1,0,1,8,1,1,3,3,7.7
True,2018-01-24,4,-4,ATLANTA HAWKS,HOME,TORONTO RAPTORS,LOSS,811,2,8,0,1,0,0,1,2,4,0,0,6,0,-2.7
True,2018-01-26,3,9,ATLANTA HAWKS,AWAY,CHARLOTTE HORNETS,LOSS,1573,1,4,1,3,0,0,0,2,6,0,0,3,1,2.0
True,2018-01-27,7,2,ATLANTA HAWKS,HOME,WASHINGTON WIZARDS,LOSS,938,2,6,1,3,2,2,1,1,3,1,1,1,1,7.0
True,2018-01-29,9,9,ATLANTA HAWKS,HOME,MINNESOTA TIMBERWOLVES,WIN,1506,4,6,1,2,0,0,0,1,7,2,0,2,1,11.2
True,2018-01-31,0,-9,ATLANTA HAWKS,HOME,CHARLOTTE HORNETS,LOSS,790,0,4,0,1,0,0,0,0,3,0,0,1,1,-2.1
True,2018-02-02,0,-5,ATLANTA HAWKS,AWAY,BOSTON CELTICS,LOSS,556,0,3,0,1,0,0,0,1,5,0,0,1,0,0.7
True,2018-02-04,5,-5,ATLANTA HAWKS,AWAY,NEW YORK KNICKS,WIN,998,1,4,1,2,2,2,0,0,8,1,0,1,3,7.0
True,2018-02-06,6,1,ATLANTA HAWKS,HOME,MEMPHIS GRIZZLIES,WIN,885,2,5,1,3,1,1,0,1,1,0,0,2,2,1.5
True,2018-02-08,11,2,ATLANTA HAWKS,AWAY,ORLANDO MAGIC,LOSS,1190,4,6,2,3,1,2,0,3,1,0,0,1,0,8.6
True,2018-02-09,8,-15,ATLANTA HAWKS,HOME,CLEVELAND CAVALIERS,LOSS,1311,3,6,2,4,0,0,1,2,3,1,1,2,2,7.3
True,2018-02-11,10,-13,ATLANTA HAWKS,HOME,DETROIT PISTONS,WIN,1426,3,7,1,4,3,3,0,1,5,1,0,1,0,10.1
True,2018-02-13,4,-9,ATLANTA HAWKS,AWAY,MILWAUKEE BUCKS,LOSS,919,0,3,0,1,4,5,0,7,2,0,0,1,0,4.0
True,2018-02-14,11,-18,ATLANTA HAWKS,AWAY,DETROIT PISTONS,LOSS,1644,3,9,1,2,4,5,0,0,7,3,0,3,3,9.2
True,2018-02-28,4,-10,ATLANTA HAWKS,HOME,INDIANA PACERS,WIN,705,0,2,0,1,4,4,0,1,1,0,0,0,0,3.6
True,2018-03-02,6,-9,ATLANTA HAWKS,HOME,GOLDEN STATE WARRIORS,LOSS,899,1,2,1,1,3,3,0,1,4,1,0,0,3,7.9
