active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2017-10-18,13,4,DETROIT PISTONS,HOME,CHARLOTTE HORNETS,WIN,973,5,10,2,4,1,1,0,4,1,1,0,0,2,10.1
True,2017-10-21,0,-6,DETROIT PISTONS,AWAY,NEW YORK KNICKS,WIN,243,0,0,0,0,0,0,0,0,0,0,0,1,1,-1.4
True,2017-10-25,14,24,DETROIT PISTONS,HOME,MINNESOTA TIMBERWOLVES,WIN,1269,6,12,2,7,0,0,0,5,1,0,0,1,0,9.2
True,2017-10-28,0,0,DETROIT PISTONS,AWAY,LOS ANGELES CLIPPERS,WIN,729,0,5,0,2,0,0,1,4,0,1,0,2,3,-3.8
True,2017-10-31,3,-5,DETROIT PISTONS,AWAY,LOS ANGELES LAKERS,LOSS,565,1,4,1,2,0,0,0,1,1,0,0,1,0,0.6
True,2017-11-20,6,11,DETROIT PISTONS,HOME,CLEVELAND CAVALIERS,LOSS,720,2,5,2,3,0,0,0,2,1,1,0,0,0,5.6
True,2017-11-29,2,-10,DETROIT PISTONS,HOME,PHOENIX SUNS,WIN,323,1,2,0,1,0,0,0,4,1,0,0,1,0,1.9
True,2017-12-01,0,-1,DETROIT PISTONS,AWAY,WASHINGTON WIZARDS,LOSS,195,0,1,0,0,0,0,0,2,0,0,0,0,1,-0.5
True,2017-12-04,0,0,DETROIT PISTONS,AWAY,SAN ANTONIO SPURS,LOSS,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2017-12-12,7,2,DETROIT PISTONS,HOME,DENVER NUGGETS,LOSS,497,3,6,1,1,0,0,1,1,1,0,0,2,1,3.3
True,2017-12-14,2,-3,DETROIT PISTONS,AWAY,ATLANTA HAWKS,WIN,119,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7
True,2017-12-20,2,3,DETROIT PISTONS,AWAY,DALLAS MAVERICKS,LOSS,232,1,3,0,1,0,0,1,0,0,0,0,0,0,1.0
True,2017-12-26,0,0,DETROIT PISTONS,HOME,INDIANA PACERS,WIN,130,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.4
True,2017-12-28,0,2,DETROIT PISTONS,AWAY,ORLANDO MAGIC,LOSS,82,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2017-12-30,0,-4,DETROIT PISTONS,HOME,SAN ANTONIO SPURS,WIN,68,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2018-01-05,5,0,DETROIT PISTONS,AWAY,PHILADELPHIA 76ERS,LOSS,720,2,5,1,1,0,2,0,3,0,0,0,1,0,1.4
True,2018-01-10,0,1,DETROIT PISTONS,AWAY,BROOKLYN NETS,WIN,295,0,1,0,1,0,0,0,4,0,0,0,0,0,0.5
True,2018-01-19,0,-2,DETROIT PISTONS,HOME,WASHINGTON WIZARDS,LOSS,27,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2018-01-30,0,-5,DETROIT PISTONS,HOME,CLEVELAND CAVALIERS,WIN,635,0,3,0,2,0,0,0,1,2,0,0,0,0,-0.4
True,2018-02-03,0,-11,DETROIT PISTONS,HOME,MIAMI HEAT,WIN,494,0,3,0,1,0,0,1,0,0,0,0,0,1,-1.8
True,2018-02-05,0,-3,DETROIT PISTONS,HOME,PORTLAND TRAIL BLAZERS,WIN,153,0,1,0,0,0,0,1,0,0,0,0,0,1,-0.4
