active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2017-10-18,3,-5,MIAMI HEAT,AWAY,ORLANDO MAGIC,LOSS,597,1,5,0,4,1,1,0,0,0,1,0,1,0,-0.1
True,2017-10-21,8,5,MIAMI HEAT,HOME,INDIANA PACERS,WIN,924,3,8,2,6,0,0,0,3,1,1,0,2,0,4.2
True,2017-10-23,20,15,MIAMI HEAT,HOME,ATLANTA HAWKS,WIN,1490,6,9,6,8,2,2,1,1,2,1,0,1,1,18.1
True,2017-10-25,0,-1,MIAMI HEAT,HOME,SAN ANTONIO SPURS,LOSS,378,0,0,0,0,0,0,0,1,1,0,0,0,2,0.2
True,2017-10-28,3,-10,MIAMI HEAT,HOME,BOSTON CELTICS,LOSS,1024,1,7,1,6,0,0,0,1,0,0,0,0,1,-1.6
True,2017-10-30,0,0,MIAMI HEAT,HOME,MINNESOTA TIMBERWOLVES,LOSS,232,0,1,0,1,0,0,0,0,0,0,0,0,2,-1.5
True,2017-11-01,6,7,MIAMI HEAT,HOME,CHICAGO BULLS,WIN,1389,2,7,2,6,0,0,0,2,4,1,0,0,1,5.9
True,2017-11-03,0,-1,MIAMI HEAT,AWAY,DENVER NUGGETS,LOSS,747,0,4,0,4,0,0,0,3,2,0,0,0,1,-0.9
True,2017-11-05,17,-3,MIAMI HEAT,AWAY,LOS ANGELES CLIPPERS,WIN,1626,6,11,5,9,0,0,0,1,2,0,1,0,2,13.3
True,2017-11-06,9,-7,MIAMI HEAT,AWAY,GOLDEN STATE WARRIORS,LOSS,1665,3,10,3,9,0,0,0,1,1,1,0,1,0,4.2
True,2017-11-08,15,6,MIAMI HEAT,AWAY,PHOENIX SUNS,WIN,2057,4,9,4,9,3,4,0,3,0,0,0,0,1,10.4
True,2017-11-10,5,-15,MIAMI HEAT,AWAY,UTAH JAZZ,WIN,914,2,3,1,2,0,0,0,1,0,0,0,0,0,4.0
True,2017-11-12,6,-3,MIAMI HEAT,AWAY,DETROIT PISTONS,LOSS,564,2,4,2,4,0,0,0,1,1,0,0,1,0,4.0
True,2017-11-15,3,1,MIAMI HEAT,HOME,WASHINGTON WIZARDS,LOSS,482,1,3,1,1,0,0,0,0,0,0,0,1,1,-0.1
True,2017-11-17,4,2,MIAMI HEAT,AWAY,WASHINGTON WIZARDS,WIN,1270,1,4,1,4,1,1,0,3,0,0,0,0,2,1.7
True,2017-11-19,21,-2,MIAMI HEAT,HOME,INDIANA PACERS,LOSS,1489,7,12,7,12,0,0,1,1,0,1,0,0,0,17.4
True,2017-11-22,9,8,MIAMI HEAT,HOME,BOSTON CELTICS,WIN,1347,3,7,2,6,1,1,0,5,1,0,0,0,2,6.7
True,2017-11-24,21,4,MIAMI HEAT,AWAY,MINNESOTA TIMBERWOLVES,WIN,1640,6,9,6,9,3,3,1,2,1,0,0,1,1,17.7
True,2017-11-26,19,3,MIAMI HEAT,AWAY,CHICAGO BULLS,WIN,1799,5,8,5,8,4,4,0,2,2,1,0,1,1,17.0
True,2017-11-28,0,13,MIAMI HEAT,AWAY,CLEVELAND CAVALIERS,LOSS,1426,0,4,0,4,0,0,0,2,3,2,0,0,0,1.9
True,2017-11-29,3,-8,MIAMI HEAT,AWAY,NEW YORK KNICKS,LOSS,1624,1,7,1,7,0,0,1,0,0,2,0,0,0,1.2
