active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2017-10-17,9,7,GOLDEN STATE WARRIORS,HOME,HOUSTON ROCKETS,LOSS,1659,2,6,1,2,4,4,1,10,13,0,0,2,3,15.2
True,2017-10-20,8,4,GOLDEN STATE WARRIORS,AWAY,NEW ORLEANS PELICANS,WIN,2074,3,11,2,7,0,0,0,5,9,0,0,5,4,2.7
True,2017-10-21,3,-13,GOLDEN STATE WARRIORS,AWAY,MEMPHIS GRIZZLIES,LOSS,2185,1,6,0,5,1,2,1,6,6,2,1,3,5,3.2
True,2017-10-23,10,17,GOLDEN STATE WARRIORS,AWAY,DALLAS MAVERICKS,WIN,1778,4,8,1,3,1,1,0,7,8,2,1,2,4,12.8
True,2017-10-25,15,11,GOLDEN STATE WARRIORS,HOME,TORONTO RAPTORS,WIN,2202,4,7,1,2,6,6,4,7,6,2,1,6,2,16.7
True,2017-10-27,3,-14,GOLDEN STATE WARRIORS,HOME,WASHINGTON WIZARDS,WIN,996,1,2,0,1,1,1,0,3,6,0,3,4,1,4.8
True,2017-10-29,2,-12,GOLDEN STATE WARRIORS,HOME,DETROIT PISTONS,LOSS,1941,1,4,0,3,0,0,2,11,4,0,1,6,3,0.6
True,2017-10-30,16,16,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES CLIPPERS,WIN,1863,5,8,1,2,5,8,2,7,6,2,1,2,2,18.8
True,2017-11-02,16,15,GOLDEN STATE WARRIORS,AWAY,SAN ANTONIO SPURS,WIN,1747,7,8,1,2,1,2,1,4,6,1,0,3,5,14.9
True,2017-11-04,15,31,GOLDEN STATE WARRIORS,AWAY,DENVER NUGGETS,WIN,1603,6,8,3,4,0,0,1,6,8,2,1,0,2,21.8
True,2017-11-06,18,9,GOLDEN STATE WARRIORS,HOME,MIAMI HEAT,WIN,1648,5,10,4,6,4,4,2,7,2,0,1,3,4,14.0
True,2017-11-08,7,15,GOLDEN STATE WARRIORS,HOME,MINNESOTA TIMBERWOLVES,WIN,1636,3,6,0,2,1,2,0,6,6,0,2,4,1,6.6
True,2017-11-11,10,8,GOLDEN STATE WARRIORS,HOME,PHILADELPHIA 76ERS,WIN,1864,3,7,1,3,3,4,0,10,7,2,5,1,3,17.1
True,2017-11-13,20,25,GOLDEN STATE WARRIORS,HOME,ORLANDO MAGIC,WIN,1916,8,11,3,5,1,2,2,2,5,2,0,3,1,19.2
True,2017-11-16,11,7,GOLDEN STATE WARRIORS,AWAY,BOSTON CELTICS,LOSS,2297,3,11,1,4,4,6,2,6,5,1,3,4,2,8.7
True,2017-11-18,8,11,GOLDEN STATE WARRIORS,AWAY,PHILADELPHIA 76ERS,WIN,2150,4,6,0,1,0,0,2,5,8,1,2,0,5,14.3
True,2017-11-19,5,-4,GOLDEN STATE WARRIORS,AWAY,BROOKLYN NETS,WIN,2119,1,8,1,5,2,2,0,7,8,2,2,1,4,8.3
True,2017-11-22,4,-13,GOLDEN STATE WARRIORS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1864,1,6,0,3,2,2,0,4,6,3,2,2,4,6.4
True,2017-11-25,6,5,GOLDEN STATE WARRIORS,HOME,NEW ORLEANS PELICANS,WIN,1574,2,4,0,2,2,2,2,5,8,2,1,2,5,11.2
True,2017-11-27,14,-6,GOLDEN STATE WARRIORS,HOME,SACRAMENTO KINGS,LOSS,2330,4,15,4,11,2,4,0,4,8,1,0,2,0,10.1
True,2017-11-29,15,-2,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES LAKERS,WIN,2300,5,10,1,3,4,6,4,7,9,4,0,4,2,19.6
True,2017-12-01,12,34,GOLDEN STATE WARRIORS,AWAY,ORLANDO MAGIC,WIN,2038,5,8,2,3,0,0,0,4,10,3,1,5,3,14.1
True,2017-12-03,4,32,GOLDEN STATE WARRIORS,AWAY,MIAMI HEAT,WIN,1921,2,5,0,2,0,0,0,7,9,0,0,0,0,9.7
True,2017-12-04,19,21,GOLDEN STATE WARRIORS,AWAY,NEW ORLEANS PELICANS,WIN,2287,6,12,3,5,4,5,0,9,7,4,2,2,1,23.2
True,2017-12-08,2,2,GOLDEN STATE WARRIORS,AWAY,DETROIT PISTONS,WIN,2299,1,6,0,5,0,0,0,6,13,3,6,2,4,12.7
True,2017-12-22,13,6,GOLDEN STATE WARRIORS,HOME,LOS ANGELES LAKERS,WIN,1806,4,9,1,3,4,4,1,10,7,2,0,6,4,11.3
True,2017-12-23,10,-6,GOLDEN STATE WARRIORS,HOME,DENVER NUGGETS,LOSS,1997,4,10,1,4,1,1,2,3,6,2,2,2,1,12.1
True,2017-12-25,12,5,GOLDEN STATE WARRIORS,HOME,CLEVELAND CAVALIERS,WIN,2422,5,11,2,8,0,1,1,11,11,2,1,4,1,15.9
True,2017-12-27,14,6,GOLDEN STATE WARRIORS,HOME,UTAH JAZZ,WIN,1482,6,10,2,5,0,0,0,8,8,0,0,3,1,14.0
True,2017-12-29,8,-9,GOLDEN STATE WARRIORS,HOME,CHARLOTTE HORNETS,LOSS,2020,4,11,0,2,0,0,4,7,16,0,3,5,2,14.3
True,2017-12-30,3,0,GOLDEN STATE WARRIORS,HOME,MEMPHIS GRIZZLIES,WIN,604,1,2,1,1,0,0,0,0,5,0,0,2,2,2.7
True,2018-01-03,18,-10,GOLDEN STATE WARRIORS,AWAY,DALLAS MAVERICKS,WIN,2259,7,11,3,5,1,1,0,11,6,1,1,6,2,15.5
True,2018-01-04,17,16,GOLDEN STATE WARRIORS,AWAY,HOUSTON ROCKETS,WIN,2282,5,9,0,3,7,8,2,12,10,2,1,4,3,21.8
True,2018-01-06,9,29,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES CLIPPERS,WIN,1721,4,11,1,2,0,3,5,7,7,1,0,2,2,10.4
True,2018-01-08,23,0,GOLDEN STATE WARRIORS,HOME,DENVER NUGGETS,WIN,2125,8,12,2,6,5,6,0,5,10,1,3,2,1,26.6
True,2018-01-10,7,-16,GOLDEN STATE WARRIORS,HOME,LOS ANGELES CLIPPERS,LOSS,1760,1,9,0,6,5,6,0,10,4,0,0,0,2,5.7
True,2018-01-12,21,11,GOLDEN STATE WARRIORS,AWAY,MILWAUKEE BUCKS,WIN,2230,8,17,1,4,4,4,1,9,7,1,0,0,3,20.4
True,2018-01-13,14,24,GOLDEN STATE WARRIORS,AWAY,TORONTO RAPTORS,WIN,2292,5,10,2,6,2,2,0,3,8,0,1,0,2,15.4
True,2018-01-15,11,14,GOLDEN STATE WARRIORS,AWAY,CLEVELAND CAVALIERS,WIN,2287,5,14,0,5,1,2,3,13,9,0,2,3,5,11.5
True,2018-01-20,21,-5,GOLDEN STATE WARRIORS,AWAY,HOUSTON ROCKETS,LOSS,2158,7,9,2,3,5,6,0,7,6,2,1,5,2,20.3
True,2018-01-23,12,11,GOLDEN STATE WARRIORS,HOME,NEW YORK KNICKS,WIN,1960,5,9,2,3,0,0,0,5,6,1,1,1,2,13.3
True,2018-01-25,9,3,GOLDEN STATE WARRIORS,HOME,MINNESOTA TIMBERWOLVES,WIN,1937,3,7,0,4,3,4,0,8,3,1,3,2,0,10.5
True,2018-01-27,15,-1,GOLDEN STATE WARRIORS,HOME,BOSTON CELTICS,WIN,2299,4,11,1,4,6,6,5,6,5,1,3,4,4,15.2
True,2018-01-30,8,-23,GOLDEN STATE WARRIORS,AWAY,UTAH JAZZ,LOSS,1814,3,11,1,3,1,2,2,4,4,0,1,4,1,2.8
True,2018-02-02,13,7,GOLDEN STATE WARRIORS,AWAY,SACRAMENTO KINGS,WIN,2046,4,9,0,1,5,5,0,9,6,1,1,5,4,10.3
True,2018-02-03,8,-11,GOLDEN STATE WARRIORS,AWAY,DENVER NUGGETS,LOSS,2134,4,12,0,4,0,2,0,6,8,1,2,3,3,6.0
True,2018-02-06,5,-13,GOLDEN STATE WARRIORS,HOME,OKLAHOMA CITY THUNDER,LOSS,1831,2,4,0,0,1,3,1,7,7,0,4,5,3,6.5
True,2018-02-08,12,11,GOLDEN STATE WARRIORS,HOME,DALLAS MAVERICKS,WIN,1943,4,17,1,3,3,4,7,3,6,2,2,2,2,11.9
True,2018-02-10,17,14,GOLDEN STATE WARRIORS,HOME,SAN ANTONIO SPURS,WIN,2129,8,16,1,5,0,0,1,7,11,1,1,3,2,17.4
True,2018-02-14,16,4,GOLDEN STATE WARRIORS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2314,6,13,1,3,3,3,3,9,7,2,4,0,5,21.8
