active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2017-10-18,10,3,DALLAS MAVERICKS,HOME,ATLANTA HAWKS,LOSS,984,4,9,1,5,1,1,0,0,2,0,0,2,1,4.3
True,2017-10-25,6,6,DALLAS MAVERICKS,HOME,MEMPHIS GRIZZLIES,WIN,626,2,6,0,1,2,4,0,1,0,0,0,1,4,-0.5
True,2017-10-28,2,7,DALLAS MAVERICKS,HOME,PHILADELPHIA 76ERS,LOSS,993,0,3,0,2,2,2,1,5,1,0,0,0,3,1.6
True,2017-10-30,15,13,DALLAS MAVERICKS,AWAY,UTAH JAZZ,LOSS,1477,4,10,1,4,6,6,0,2,6,1,0,0,3,14.2
True,2017-11-01,12,2,DALLAS MAVERICKS,AWAY,LOS ANGELES CLIPPERS,LOSS,1156,4,7,3,4,1,2,1,1,2,0,1,1,3,9.2
True,2017-11-03,10,14,DALLAS MAVERICKS,HOME,NEW ORLEANS PELICANS,LOSS,1250,2,5,0,2,6,6,0,1,1,1,0,0,3,8.1
True,2017-11-04,15,-12,DALLAS MAVERICKS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1248,5,8,2,3,3,5,0,0,1,2,0,1,3,11.1
True,2017-11-07,5,2,DALLAS MAVERICKS,AWAY,WASHINGTON WIZARDS,WIN,1119,2,8,0,3,1,1,1,3,2,1,0,1,3,2.0
True,2017-11-11,9,-3,DALLAS MAVERICKS,HOME,CLEVELAND CAVALIERS,LOSS,732,3,8,0,2,3,4,1,1,0,0,0,3,2,1.4
True,2017-11-17,9,-3,DALLAS MAVERICKS,HOME,MINNESOTA TIMBERWOLVES,LOSS,867,3,7,1,3,2,2,2,1,4,0,0,2,4,6.2
True,2017-11-18,6,24,DALLAS MAVERICKS,HOME,MILWAUKEE BUCKS,WIN,1191,2,7,2,4,0,0,0,3,1,1,0,0,4,2.9
True,2017-11-20,0,-5,DALLAS MAVERICKS,HOME,BOSTON CELTICS,LOSS,773,0,5,0,1,0,0,0,0,1,1,0,2,3,-5.0
True,2017-11-22,11,10,DALLAS MAVERICKS,AWAY,MEMPHIS GRIZZLIES,WIN,1073,5,9,0,2,1,2,0,2,0,4,0,0,1,10.5
True,2017-11-25,4,22,DALLAS MAVERICKS,HOME,OKLAHOMA CITY THUNDER,WIN,1168,1,4,0,2,2,2,1,3,4,0,0,0,4,4.4
True,2017-11-27,13,10,DALLAS MAVERICKS,AWAY,SAN ANTONIO SPURS,LOSS,1541,5,8,3,4,0,0,0,4,2,0,0,0,1,11.6
True,2017-11-29,11,0,DALLAS MAVERICKS,HOME,BROOKLYN NETS,LOSS,1376,5,8,1,2,0,1,0,2,3,2,0,2,6,7.3
True,2017-12-02,15,21,DALLAS MAVERICKS,HOME,LOS ANGELES CLIPPERS,WIN,1244,2,5,1,3,10,11,0,3,3,1,0,0,1,15.5
True,2017-12-04,14,10,DALLAS MAVERICKS,HOME,DENVER NUGGETS,WIN,1369,5,8,3,4,1,3,0,1,2,1,2,1,2,11.9
True,2017-12-06,4,7,DALLAS MAVERICKS,AWAY,BOSTON CELTICS,LOSS,1129,1,4,0,1,2,2,0,0,3,1,0,0,3,3.5
True,2017-12-08,7,-13,DALLAS MAVERICKS,AWAY,MILWAUKEE BUCKS,LOSS,1414,1,7,1,4,4,5,0,1,2,2,0,2,1,3.4
True,2017-12-10,5,-6,DALLAS MAVERICKS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,981,2,4,0,1,1,1,0,1,1,0,0,3,3,-0.2
True,2017-12-12,5,6,DALLAS MAVERICKS,HOME,SAN ANTONIO SPURS,WIN,1167,1,9,1,3,2,2,1,2,3,2,1,1,3,3.0
True,2017-12-14,13,-10,DALLAS MAVERICKS,AWAY,GOLDEN STATE WARRIORS,LOSS,1445,5,8,1,2,2,2,0,0,6,4,0,4,3,12.4
True,2017-12-16,2,3,DALLAS MAVERICKS,AWAY,SAN ANTONIO SPURS,LOSS,1073,0,5,0,2,2,2,0,1,1,0,0,0,1,-0.9
True,2017-12-18,14,-15,DALLAS MAVERICKS,HOME,PHOENIX SUNS,LOSS,1332,2,9,1,5,9,10,0,6,2,1,0,2,2,9.5
True,2017-12-20,7,18,DALLAS MAVERICKS,HOME,DETROIT PISTONS,WIN,1035,3,4,0,1,1,1,0,0,3,1,1,2,3,6.0
True,2017-12-22,2,-1,DALLAS MAVERICKS,AWAY,MIAMI HEAT,LOSS,500,1,1,0,0,0,0,0,0,0,0,0,1,0,0.7
True,2017-12-23,10,5,DALLAS MAVERICKS,AWAY,ATLANTA HAWKS,LOSS,1057,3,7,2,4,2,2,0,1,2,1,0,1,1,7.6
True,2017-12-26,4,-4,DALLAS MAVERICKS,HOME,TORONTO RAPTORS,WIN,854,2,2,0,0,0,0,0,3,1,1,1,1,1,5.3
True,2017-12-27,10,3,DALLAS MAVERICKS,AWAY,INDIANA PACERS,WIN,1340,4,8,1,3,1,1,0,3,2,0,1,0,2,8.2
True,2017-12-29,17,12,DALLAS MAVERICKS,AWAY,NEW ORLEANS PELICANS,WIN,1208,5,8,5,7,2,2,0,3,1,0,0,0,1,14.6
True,2017-12-31,9,2,DALLAS MAVERICKS,AWAY,OKLAHOMA CITY THUNDER,WIN,956,3,8,2,4,1,2,0,0,0,0,0,0,3,3.0
True,2018-01-03,6,-18,DALLAS MAVERICKS,HOME,GOLDEN STATE WARRIORS,LOSS,1153,2,7,1,5,1,1,0,3,1,1,0,1,3,2.3
True,2018-01-05,5,-3,DALLAS MAVERICKS,HOME,CHICAGO BULLS,LOSS,988,2,6,0,2,1,2,0,1,2,0,0,2,1,0.5
True,2018-01-07,11,12,DALLAS MAVERICKS,HOME,NEW YORK KNICKS,LOSS,1363,4,9,2,4,1,1,0,5,6,1,0,2,5,9.0
True,2018-01-09,4,-13,DALLAS MAVERICKS,HOME,ORLANDO MAGIC,WIN,815,2,5,0,1,0,0,0,1,1,1,0,0,0,3.3
True,2018-01-10,9,-2,DALLAS MAVERICKS,AWAY,CHARLOTTE HORNETS,WIN,1185,2,6,0,1,5,7,0,0,1,0,0,0,1,5.1
True,2018-01-13,9,5,DALLAS MAVERICKS,HOME,LOS ANGELES LAKERS,LOSS,1142,1,3,1,3,6,8,0,3,1,0,0,2,2,5.3
True,2018-01-16,16,-8,DALLAS MAVERICKS,AWAY,DENVER NUGGETS,LOSS,1106,5,11,4,9,2,2,0,0,1,0,0,4,1,6.6
True,2018-01-20,0,-7,DALLAS MAVERICKS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,361,0,2,0,1,0,0,0,0,0,0,0,0,0,-1.4
True,2018-01-29,2,-6,DALLAS MAVERICKS,HOME,MIAMI HEAT,LOSS,989,1,7,0,2,0,0,0,1,1,0,1,0,3,-2.0
True,2018-01-31,10,5,DALLAS MAVERICKS,AWAY,PHOENIX SUNS,LOSS,1407,4,8,1,4,1,1,0,4,5,0,0,3,4,6.1
True,2018-02-03,9,15,DALLAS MAVERICKS,AWAY,SACRAMENTO KINGS,WIN,991,4,5,1,2,0,0,1,3,3,1,0,0,0,11.8
True,2018-02-05,16,4,DALLAS MAVERICKS,AWAY,LOS ANGELES CLIPPERS,LOSS,1224,4,6,2,3,6,6,0,1,1,1,0,2,5,11.4
True,2018-02-10,9,17,DENVER NUGGETS,AWAY,PHOENIX SUNS,WIN,1309,3,7,1,3,2,2,0,2,1,2,0,2,4,5.0
True,2018-02-13,7,-2,DENVER NUGGETS,HOME,SAN ANTONIO SPURS,WIN,1223,1,4,1,4,4,4,0,1,3,1,0,1,3,5.8
True,2018-02-15,6,4,DENVER NUGGETS,AWAY,MILWAUKEE BUCKS,WIN,1148,2,6,2,5,0,0,0,1,4,0,0,0,0,5.7
True,2018-02-23,3,-3,DENVER NUGGETS,HOME,SAN ANTONIO SPURS,WIN,995,1,7,0,6,1,1,1,3,3,0,0,0,5,0.2
True,2018-02-25,6,-5,DENVER NUGGETS,HOME,HOUSTON ROCKETS,LOSS,703,2,3,1,1,1,1,0,0,1,0,0,0,4,3.8
True,2018-02-27,5,-8,DENVER NUGGETS,HOME,LOS ANGELES CLIPPERS,LOSS,749,2,6,0,3,1,1,0,0,2,0,0,1,1,1.6
True,2018-03-02,8,-2,DENVER NUGGETS,AWAY,MEMPHIS GRIZZLIES,WIN,1055,2,5,1,2,3,3,0,0,1,2,0,1,3,5.8
True,2018-03-03,4,-9,DENVER NUGGETS,AWAY,CLEVELAND CAVALIERS,WIN,999,1,3,1,2,1,2,0,1,1,0,0,2,2,0.1
True,2018-03-06,7,6,DENVER NUGGETS,AWAY,DALLAS MAVERICKS,LOSS,1302,3,9,1,5,0,0,1,4,3,0,2,1,2,5.5
