active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2017-10-18,19,3,SACRAMENTO KINGS,HOME,HOUSTON ROCKETS,LOSS,1969,8,17,3,7,0,0,1,4,4,1,0,2,5,12.0
True,2017-10-20,13,7,SACRAMENTO KINGS,AWAY,DALLAS MAVERICKS,WIN,1648,4,11,1,6,4,4,1,5,3,0,0,1,1,9.8
True,2017-10-21,3,-10,SACRAMENTO KINGS,AWAY,DENVER NUGGETS,LOSS,1336,1,10,0,4,1,1,0,3,3,0,0,0,2,-1.4
True,2017-10-23,14,-18,SACRAMENTO KINGS,AWAY,PHOENIX SUNS,LOSS,1006,6,15,1,4,1,2,1,1,0,5,0,1,3,9.3
True,2017-10-26,12,-1,SACRAMENTO KINGS,HOME,NEW ORLEANS PELICANS,LOSS,1172,5,9,1,3,1,1,1,2,0,0,0,2,2,6.2
True,2017-10-29,7,-24,SACRAMENTO KINGS,HOME,WASHINGTON WIZARDS,LOSS,1609,3,11,1,4,0,0,2,1,1,0,0,1,2,1.1
True,2017-10-31,4,-20,SACRAMENTO KINGS,AWAY,INDIANA PACERS,LOSS,1158,2,9,0,3,0,0,1,1,0,1,0,2,1,-1.9
True,2017-11-01,17,-18,SACRAMENTO KINGS,AWAY,BOSTON CELTICS,LOSS,1605,7,11,2,4,1,1,0,7,2,3,0,5,4,12.0
True,2017-11-04,13,2,SACRAMENTO KINGS,AWAY,DETROIT PISTONS,LOSS,1269,5,11,1,3,2,2,1,7,0,0,1,1,2,9.0
True,2017-11-07,21,5,SACRAMENTO KINGS,HOME,OKLAHOMA CITY THUNDER,WIN,1657,7,9,4,4,3,3,0,7,1,2,0,3,3,18.1
True,2017-11-09,8,4,SACRAMENTO KINGS,HOME,PHILADELPHIA 76ERS,WIN,1227,3,10,2,4,0,0,0,4,4,1,0,0,0,7.2
True,2017-11-11,17,-10,SACRAMENTO KINGS,AWAY,NEW YORK KNICKS,LOSS,1627,6,13,4,5,1,2,2,5,4,0,0,1,1,14.2
True,2017-11-13,12,-10,SACRAMENTO KINGS,AWAY,WASHINGTON WIZARDS,LOSS,1561,5,11,2,5,0,0,1,2,3,3,0,2,2,9.9
True,2017-11-15,6,-28,SACRAMENTO KINGS,AWAY,ATLANTA HAWKS,LOSS,1235,2,8,1,4,1,2,1,1,2,2,1,1,4,3.3
True,2017-11-17,8,12,SACRAMENTO KINGS,HOME,PORTLAND TRAIL BLAZERS,WIN,993,3,5,2,3,0,0,0,1,0,1,0,2,2,4.2
True,2017-11-22,10,14,SACRAMENTO KINGS,HOME,LOS ANGELES LAKERS,WIN,900,4,7,1,3,1,1,0,1,0,1,0,0,1,7.6
True,2017-11-25,27,-4,SACRAMENTO KINGS,HOME,LOS ANGELES CLIPPERS,LOSS,1558,10,18,7,9,0,0,2,3,2,0,1,1,0,21.8
True,2017-11-27,5,-8,SACRAMENTO KINGS,AWAY,GOLDEN STATE WARRIORS,WIN,910,2,5,1,2,0,0,0,1,0,0,0,0,0,2.6
True,2017-11-28,13,0,SACRAMENTO KINGS,HOME,MILWAUKEE BUCKS,LOSS,1279,5,10,1,2,2,2,0,2,0,1,0,1,1,8.2
True,2017-12-01,0,-6,SACRAMENTO KINGS,AWAY,CHICAGO BULLS,WIN,447,0,2,0,0,0,0,0,0,0,1,0,1,0,-1.4
True,2017-12-02,19,11,SACRAMENTO KINGS,AWAY,MILWAUKEE BUCKS,LOSS,1788,6,12,4,6,3,3,1,5,4,1,0,1,3,16.8
True,2017-12-06,17,-3,SACRAMENTO KINGS,AWAY,CLEVELAND CAVALIERS,LOSS,1543,7,13,2,6,1,1,0,4,3,3,1,3,3,13.5
