active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2017-12-09,2,-5,PHOENIX SUNS,HOME,SAN ANTONIO SPURS,LOSS,675,1,3,0,2,0,0,0,1,0,0,0,1,0,-0.4
True,2017-12-13,2,8,PHOENIX SUNS,HOME,TORONTO RAPTORS,LOSS,1179,0,3,0,1,2,2,0,1,1,0,0,0,1,0.5
True,2017-12-16,8,17,PHOENIX SUNS,AWAY,MINNESOTA TIMBERWOLVES,WIN,882,2,3,1,1,3,3,0,0,1,0,0,0,1,7.0
True,2017-12-18,3,10,PHOENIX SUNS,AWAY,DALLAS MAVERICKS,WIN,758,1,2,0,1,1,1,0,3,1,0,0,1,3,1.4
True,2017-12-20,7,11,PHOENIX SUNS,AWAY,LOS ANGELES CLIPPERS,LOSS,465,2,4,1,3,2,2,0,1,0,0,0,0,1,4.9
True,2017-12-21,6,3,PHOENIX SUNS,HOME,MEMPHIS GRIZZLIES,WIN,864,3,8,0,3,0,0,0,2,0,0,0,1,0,1.2
True,2017-12-23,3,-7,PHOENIX SUNS,HOME,MINNESOTA TIMBERWOLVES,LOSS,509,0,2,0,2,3,3,0,1,1,1,0,0,0,3.6
True,2018-01-03,1,-5,PHOENIX SUNS,AWAY,DENVER NUGGETS,LOSS,193,0,1,0,0,1,2,0,2,0,1,0,0,0,1.5
True,2018-01-05,9,1,PHOENIX SUNS,AWAY,SAN ANTONIO SPURS,LOSS,1283,3,9,1,2,2,2,4,2,2,1,0,0,1,9.3
True,2018-01-12,8,-7,PHOENIX SUNS,HOME,HOUSTON ROCKETS,LOSS,1040,3,5,2,2,0,0,1,4,0,1,0,2,2,5.8
True,2018-01-14,1,-11,PHOENIX SUNS,HOME,INDIANA PACERS,LOSS,700,0,3,0,2,1,2,0,1,0,0,0,0,1,-1.6
True,2018-01-26,3,3,PHOENIX SUNS,HOME,NEW YORK KNICKS,LOSS,315,1,3,1,2,0,0,1,1,0,0,0,0,1,1.9
True,2018-01-31,6,6,PHOENIX SUNS,HOME,DALLAS MAVERICKS,WIN,660,2,6,2,3,0,0,2,3,2,0,0,0,3,5.1
True,2018-02-02,4,11,PHOENIX SUNS,HOME,UTAH JAZZ,LOSS,509,2,3,0,1,0,1,0,2,0,0,0,0,0,2.9
True,2018-02-04,5,-19,PHOENIX SUNS,HOME,CHARLOTTE HORNETS,LOSS,670,2,4,0,2,1,1,0,3,0,0,1,0,1,4.2
True,2018-02-07,6,-6,PHOENIX SUNS,HOME,SAN ANTONIO SPURS,LOSS,904,3,8,0,4,0,0,1,1,0,1,0,0,0,3.6
True,2018-03-28,0,-3,PHOENIX SUNS,HOME,LOS ANGELES CLIPPERS,LOSS,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2018-03-30,5,1,PHOENIX SUNS,AWAY,HOUSTON ROCKETS,LOSS,1480,2,3,1,2,0,0,0,8,0,1,1,1,0,6.8
True,2018-04-01,16,-2,PHOENIX SUNS,AWAY,GOLDEN STATE WARRIORS,LOSS,2044,6,11,1,5,3,3,2,4,3,0,2,0,1,16.4
True,2018-04-03,14,12,PHOENIX SUNS,HOME,SACRAMENTO KINGS,WIN,1694,5,9,2,4,2,2,0,6,5,0,0,3,3,10.8
True,2018-04-06,5,-21,PHOENIX SUNS,HOME,NEW ORLEANS PELICANS,LOSS,2091,2,9,0,4,1,2,0,3,3,0,2,1,1,2.1
True,2018-04-08,22,-8,PHOENIX SUNS,HOME,GOLDEN STATE WARRIORS,LOSS,2671,9,18,2,9,2,3,1,7,3,1,0,0,2,17.7
True,2018-04-10,16,30,PHOENIX SUNS,AWAY,DALLAS MAVERICKS,WIN,2394,7,12,1,3,1,2,1,7,3,0,0,1,1,13.5
